id,juz_number,surah_number,surah_ayat,juz_ayat,ayat_number,quran_transliteration
34,1,2,26,33,33,Innal laaha laa yastahyeee ai yadriba masalam maa ba`oodatan famaa fawqahaa; faammal lazeena aamanoo faya`lamoona annahul haqqu mir rabbihim wa ammal lazeena kafaroo fayaqooloona maazaaa araadal laahu bihaazaa masalaa; yudillu bihee kaseeranw wa yahdee bihee kaseeraa; wa maa yudillu biheee illal faasiqeen
35,1,2,27,34,34,Allazeena yanqudoona `ahdal laahi mim ba`di meesaaqihee wa yaqta`oona maaa amaral laahu biheee ai yoosala wa yufsidoona fil ard; ulaaa`ika humul khaasiroon
36,1,2,28,35,35,Kaifa takfuroona billaahi wa kuntum amwaatan fa ahyaakum summa yumeetukum summa yuhyeekum summaa ilaihi turja`oon
37,1,2,29,36,36,Huwal lazee khalaqa lakum maa fil ardi jamee`an summas tawaaa ilas samaaa`i fasaw waahunna sab`a samaa waat; wa Huwa bikulli shai`in Aleem (section 3)
38,1,2,30,37,37,Wa iz qaala rabbuka lil malaaa`ikati innee jaa`ilun fil ardi khaleefatan qaalooo ataj`alu feehaa mai yufsidu feehaa wa yasfikud dimaaa`a wa nahnu nusabbihu bihamdika wa nuqaddisu laka qaala inneee a`lamu maa laa ta`lamoon
39,1,2,31,38,38,Wa `allama Aadamal asmaaa`a kullahaa summa `aradahum `alal malaaa`ikati faqaala ambi`oonee bias maaa`i haaa`ulaaa`i in kuntum saadiqeen
40,1,2,32,39,39,Qaaloo subhaanaka laa `ilma lanaaa illaa maa `allamtanaaa innaka antal`aleemul hakeem
41,1,2,33,40,40,Qaala yaaa Aadamu ambi` hum biasmaaa`ihim falammaa amba ahum bi asmaaa`ihim qaala alam aqul lakum inneee a`lamu ghaibas samaawaati wal ardi wa a`lamu maa tubdoona wa maa kuntum taktumoon
42,1,2,34,41,41,Wa iz qulnaa lilmalaaa`i katis judoo liAadama fasajadooo illaaa Ibleesa abaa wastakbara wa kaana minal kaafireen
43,1,2,35,42,42,Wa qulnaa yaaa Aadamus kun anta wa zawjukal jannata wa kulaa minhaa raghadan haisu shi`tumaa wa laa taqrabaa haazihish shajarata fatakoonaa minaz zaalimeen
44,1,2,36,43,43,Fa azallahumash Shaitaanu `anhaa fa akhrajahumaa mimmaa kaanaa fee wa qulnah bitoo ba`dukum liba`din `aduwwunw wa lakum fil ardi mustaqarrunw wa mataa`un ilaa heen
45,1,2,37,44,44,Fatalaqqaaa Aadamu mir Rabbihee Kalimaatin fataaba `alaihi; innahoo Huwat Tawwaabur Raheem
46,1,2,38,45,45,Qulnah bitoo minhaa jamee `an fa immaa ya`tiyannakum minnee hudan faman tabi`a hudaaya falaa khawfun `alaihim wa laa hum yahza noon
47,1,2,39,46,46,Wallazeena kafaroo wa kaz zabooo bi aayaatinaa ulaaa`ika Ashaabun Naari hum feehaa khaalidoon (section 4)
48,1,2,40,47,47,Yaa Baneee Israaa`eelaz kuroo ni`matiyal lateee an`amtu `alaikum wa awfoo bi`Ahdeee oofi bi ahdikum wa iyyaaya farhaboon
49,1,2,41,48,48,Wa aaminoo bimaaa anzaltu musaddiqal limaa ma`akum wa laa takoonooo awwala kaafirim bihee wa laa tashtaroo bi Aayaatee samanan qaleelanw wa iyyaaya fattaqoon
50,1,2,42,49,49,Wa laa talbisul haqqa bilbaatili wa taktumul haqqa wa antum ta`lamoon
51,1,2,43,50,50,Wa aqeemus salaata wa aatuz zakaata warka`oo ma`ar raaki`een
52,1,2,44,51,51,Ataamuroonan naasa bilbirri wa tansawna anfusakum wa antum tatloonal Kitaab; afalaa ta`qiloon
53,1,2,45,52,52,Wasta`eenoo bissabri was Salaah; wa innahaa lakabee ratun illaa alal khaashi`een
54,1,2,46,53,53,Allazeena yazunnoona annahum mulaaqoo Rabbihim wa annahum ilaihi raaji`oon (section 5)
55,1,2,47,54,54,Yaa Baneee Israaa`eelaz kuroo ni`matiyal lateee an`amtu `alaikum wa annee faddaltukum `alal `aalameen
56,1,2,48,55,55,Wattaqoo Yawmal laa tajzee nafsun `an nafsin shai`anw wa laa yuqbalu minhaa shafaa`atunw wa laa yu`khazu minhaa `adlunw wa laa hum yunsaroon
57,1,2,49,56,56,Wa iz najjainaakum min Aali Fir`awna yasoomoonakum sooo`al azaabi yuzabbihoona abnaaa`akum wa yastahyoona nisaaa`akum; wa fee zaalikum balaaa`um mir Rabbikum `azeem
58,1,2,50,57,57,Wa iz faraqnaa bikumul bahra fa anjainaakum wa agh-raqnaaa Aala Fir`awna wa antum tanzuroon
59,1,2,51,58,58,Wa iz waa`adnaa Moosaaa arba`eena lailatan summattakhaztumul `ijla mim ba`dihee wa antum zaalimoon
60,1,2,52,59,59,Summa `afawnaa `ankum mim ba`di zaalika la`allakum tashkuroon
61,1,2,53,60,60,Wa iz aatainaa Moosal kitaaba wal Furqaana la`allakum tahtadoon
62,1,2,54,61,61,Wa iz qaala Moosaa liqawmihee yaa qawmi innakum zalamtum anfusakum bittikhaa zikumul `ijla fatoobooo ilaa Baari`ikum faqtulooo anfusakum zaalikum khairul lakum `inda Baari`ikum fataaba `alaikum; innahoo Huwat Tawwaabur Raheem
63,1,2,55,62,62,Wa iz qultum yaa Moosaa lan nu`mina laka hattaa naral laaha jahratan fa akhazat kumus saa`iqatu wa antum tanzuroon
64,1,2,56,63,63,Summa ba`asnaakum mim ba`di mawtikum la`allakum tashkuroon
65,1,2,57,64,64,Wa zallalnaa `alaikumul ghamaama wa anzalnaa `alaikumul Manna was Salwaa kuloo min taiyibaati maa razaqnaakum wa maa zalamoonaa wa laakin kaanooo anfusahum yazlimoon
66,1,2,58,65,65,Wa iz qulnad khuloo haazihil qaryata fakuloo minhaa haisu shi`tum raghadanw wadkhulul baaba sujjadanw wa qooloo hittatun naghfir lakum khataayaakum; wa sanazeedul muhsineen
67,1,2,59,66,66,Fabaddalal lazeena zalamoo qawlan ghairal lazee qeela lahum fa anzalnaa `alal lazeena zalamoo rijzam minas samaaa`i bimaa kaanoo yafsuqoon (section 6)
68,1,2,60,67,67,Wa izis tasqaa Moosaa liqawmihee faqulnad rib bi`asaakal hajara fanfajarat minhusnataaa `ashrata `aynan qad `alima kullu unaasim mash rabahum kuloo washraboo mir rizqil laahi wa laa ta`saw fil ardi mufsideen
69,1,2,61,68,68,Wa iz qultum yaa Moosaa lan nasbira `alaa ta`aaminw waahidin fad`u lanaa rabbaka yukhrij lanaa mimmaa tumbitul ardu mimbaqlihaa wa qis saaa`ihaa wa foomihaa wa `adasihaa wa basalihaa qaala atastabdiloonal lazee huwa adnaa billazee huwa khayr; ihbitoo misran fa inna lakum maa sa altum; wa duribat `alaihimuz zillatu walmaskanatu wa baaa`oo bighadabim minal laah; zaalika bi annahum kaano yakfuroona bi aayaatil laahi wa yaqtuloonan Nabiyyeena bighairil haqq; zaalika bimaa `asaw wa kaanoo ya`tadoon (section 7)
70,1,2,62,69,69,Innal lazeena aamanoo wallazeena haadoo wan nasaaraa was Saabi`eena man aamana billaahi wal yawmil aakhiri wa `amila saalihan falahum ajruhum `inda Rabbihim wa laa khawfun `alaihim wa laa hum yahzanoon
71,1,2,63,70,70,Wa iz akhaznaa meesaaqakum wa rafa`naa fawqakumut Toora khuzoo maaa aatainaakum biquwwatinw wazkuroo maa feehi la`allakum tattaqoon
72,1,2,64,71,71,Summa tawallaitum mim ba`di zaalika falawlaa fadlul laahi `alaikum wa rahmatuhoo lakuntum minal khaasireen
73,1,2,65,72,72,Wa laqad `alimtumul lazeena`-tadaw minkum fis Sabti faqulnaa lahum koonoo qiradatan khaasi`een
74,1,2,66,73,73,Faja`alnaahaa nakaalal limaa baina yadihaa wa maa khalfahaa wa maw`izatal lilmuttaqeen
75,1,2,67,74,74,Wa iz qaala Moosaa liqawmiheee innal laaha yaamurukum an tazbahoo baqaratan qaalooo atattakhizunna huzuwan qaala a`oozu billaahi an akoona minal jaahileen
76,1,2,68,75,75,Qaalud-`u lanaa rabbaka yubaiyil lanaa maa hee; qaala innahoo yaqoolu innahaa baqaratul laa faaridunw wa laa bikrun `awaanum baina zaalika faf`aloo maa tu`maroon
77,1,2,69,76,76,Qaalud-`u lanaa Rabbaka yubaiyil lanaa maa lawnuhaa; qaala innahoo yaqoolu innahaa baqaratun safraaa`u faaqi`ul lawnuhaa tasurrunnaazireen
78,1,2,70,77,77,Qaalud-`u lanaa Rabbaka yubaiyil lanaa maa hiya innal baqara tashaabaha `alainaa wa innaaa in shaaa`al laahu lamuhtadoon
79,1,2,71,78,78,Qaala innahoo yaqoolu innahaa baqaratul laa zaloolun tuseerul arda wa laa tasqil harsa musallamatullaa shiyata feehaa; qaalul `aana jita bilhaqq; fazabahoohaa wa maa kaado yaf`aloon (section 8)
80,1,2,72,79,79,Wa iz qataltum nafsan faddaara`tum feehaa wallaahu mukhrijum maa kuntum taktumoon
81,1,2,73,80,80,Faqulnad riboohu biba`dihaa; kazaalika yuhyil laa hul mawtaa wa yureekum aayaatihee la`allakum ta`qiloon
82,1,2,74,81,81,Summa qasat quloobukum mim ba`di zaalika fahiya kalhijaarati aw-ashaadu qaswah; wa inna minal hijaarati lamaa yatafajjaru minhul anhaar; wa inna minhaa lamaa yash shaqqaqu fayakhruju minhul maaa`; wa inna minhaa lamaa yahbitu min khashyatil laa; wa mal laahu bighaafilin `ammaa ta`maloon
83,1,2,75,82,82,Afatatma`oona ai yu`minoo lakum wa qad kaana fareequm minhum yasma`oona Kalaamal laahi summa yuharri foonahoo mim ba`di maa`aqaloohu wa hum ya`lamoon
84,1,2,76,83,83,Wa izaa laqul lazeena aamanoo qaalooo aamannaa wa izaakhalaa ba`duhum ilaa ba`din qaalooo atuhaddisoonahum bimaa fatahal laahu `alaikum liyuhaajjookum bihee `inda rabbikum; afalaa ta`qiloon
85,1,2,77,84,84,Awalaa ya`lamoona annal laaha ya`lamu maa yusirroona wa maa yu`linoon
86,1,2,78,85,85,Wa minhum ummiyyoona laa ya`lamoonal kitaaba illaaa amaaniyya wa in hum illaa yazunnoon
87,1,2,79,86,86,Fawailul lillazeena yaktuboonal kitaaba bi aidihim summa yaqooloona haazaa min `indil laahi liyashtaroo bihee samanan qaleelan fawailul lahum mimaa katabat aydeehim wa wailul lahum mimmaa yaksiboon
88,1,2,80,87,87,Wa qaaloo lan tamassanan Naaru illaaa ayyaamam ma`doo dah; qul attakhaztum `indal laahi `ahdan falai yukhlifal laahu `ahdahooo am taqooloona `alal laahi maa laa ta`lamoon
89,1,2,81,88,88,Balaa man kasaba sayyi`atanw wa ahaatat bihee khateee`atuhoo fa-ulaaa`ika Ashaabun Naari hum feehaa khaalidoon
90,1,2,82,89,89,Wallazeena aamanoo wa `amilus saalihaati ulaaa`ika Ashaabul Jannati hum feeha khaalidoon (section 9)
91,1,2,83,90,90,Wa iz akhaznaa meesaaqa Baneee Israaa`eela laa ta`budoona illal laaha wa bil waalidaini ihsaananw wa zil qurbaa walyataamaa walmasaakeeni wa qooloo linnaasi husnanw wa aqeemus salaata wa aatuzZakaata summa tawallaitum illaa qaleelam minkum wa antum mu`ridoon
92,1,2,84,91,91,Wa iz akhaznaa meesaa qakum laa tasfikoona dimaaa`akum wa laa tukhrijoona anfusakum min diyaarikum summa aqrartum wa antum tashhadoon
93,1,2,85,92,92,Summa antum haaa`ulaaa`i taqtuloona anfusakum wa tukhrijoona fareeqam minkum min diyaarihim tazaaharoona `alaihim bil ismi wal`udwaani wa iny yaatookum usaaraa tufaadoohum wahuwa muharramun `alaikum ikhraajuhum; afatu` mi-noona biba`dil Kitaabi wa takfuroona biba`d; famaa jazaaa`u mai yaf`alu zaalika minkum illaa khizyun fil hayaatid-dunyaa wa yawmal qiyaamati yuraddoona ilaaa ashaddil `azaab; wa mal laahu bighaafilin `ammaa ta`maloon
94,1,2,86,93,93,Ulaaa`ikal lazeenash tarawul hayaatad dunyaa bil aakhirati falaa yukhaffafu `anhumul `azaabu wa laa hum yunsaroon (section 10)
95,1,2,87,94,94,Wa laqad aatainaa Moosal Kitaaba wa qaffainaa mim ba`dihee bir Rusuli wa aatainaa `Eesab-na-Maryamal baiyinaati wa ayyadnaahu bi Roohil Qudus; afakullamaa jaaa`akum Rasoolum bimaa laa tahwaaa anfusukumus takbartum fafareeqan kazzabtum wa fareeqan taqtuloon
96,1,2,88,95,95,Wa qaaloo quloobunaa ghulf; bal la`anahumul laahu bikufrihim faqaleelam maa yu`minoon
97,1,2,89,96,96,Wa lammaa jaaa`ahum Kitaabum min `indil laahi musaddiqul limaa ma`ahum wa kaanoo min qablu yastaftihoona `alal lazeena kafaroo falammaa jaaa`ahum maa `arafoo kafaroo bih; fala `natul laahi `alal kaafireen
98,1,2,90,97,97,Bi`samash taraw biheee anfusahum ai yakfuroo bimaaa anzalal laahu baghyan ai yunazzilal laahu min fadlihee `alaa mai yashaaa`u min ibaadihee fabaaa`oo bighadabin `alaa ghadab; wa lilkaafireena `azaabum muheen
99,1,2,91,98,98,Wa izaa qeela lahum aaminoo bimaaa anzalal laahu qaaloo nu`minu bimaaa unzila `alainaa wa yakfuroona bimaa waraaa`ahoo wa huwal haqqu musaddiqal limaa ma`ahum; qul falima taqtuloona Ambiyaaa`al laahi min qablu in kuntum mu`mineen
100,1,2,92,99,99,Wa laqad jaaa`akum Moosa bilbaiyinaati summat takhaztumul `ijla mim ba`dihee wa antum zaalimoon
101,1,2,93,100,100,Wa iz akhaznaa meesaaqakum wa rafa`naa fawqa kumut Toora khuzoo maaa aatainaakum biquwwatinw wasma`oo qaaloo sami`naa wa `asainaa wa ushriboo fee quloobihimul `ijla bikufrihim; qul bi`samaa yaamurukum biheee eemaanukum in kuntum mu`mineen
102,1,2,94,101,101,Qul in kaanat lakumud Daarul Aakhiratu `indal laahi khaalisatam min doonin naasi fatamannawul mawta in kuntum saadiqeen
103,1,2,95,102,102,Wa lai yatamannawhu abadam bimaa qaddamat aydeehim; wallaahu `aleemum bizzaalimeen
104,1,2,96,103,103,Wa latajidannahum ahrasannaasi `alaa hayaatinw wa minal lazeena ashrakoo; yawaddu ahaduhum law yu`ammaru alfa sanatinw wa maa huwa bi muzahzihihee minal `azaabi ai yu`ammar; wallaahu baseerum bimaa ya`maloon (section 11)
105,1,2,97,104,104,Qul man kaana `aduwwal li Jibreela fainnahoo nazzalahoo `alaa qalbika bi iznil laahi musaddiqal limaa baina yadaihi wa hudanw wa bushraa lilmu`mineen
106,1,2,98,105,105,Man kaana `aduwwal lillaahi wa malaaa`ikatihee wa Rusulihee wa Jibreela wa Meekaala fa innal laaha `aduwwul lilkaafireen
107,1,2,99,106,106,Wa laqad anzalnaaa ilaika Aayaatim baiyinaatinw wa maa yakfuru bihaaa illal faasiqoon
108,1,2,100,107,107,Awa kullamaa `aahadoo ahdan nabazahoo fareequm minhum; bal aksaruhum laa yu`minoon
109,1,2,101,108,108,Wa lammaa jaaa`ahum Rasoolum min `indil laahi musaddiqul limaa ma`ahum nabaza fareequm minal lazeena ootul Kitaaba Kitaabal laahi waraaa`a zuhoorihim ka annahum laa ya`lamoon
110,1,2,102,109,109,Wattaba`oo maa tatlush Shayaateenu `alaa mulki Sulaimaana wa maa kafara Sulaimaanu wa laakinnash Shayatteena kafaroo yu`al limoonan naasas sihra wa maaa unzila `alal malakaini bi Baabila Haaroota wa Maaroot; wa maa yu`allimaani min ahadin hattaa yaqoolaaa innamaa nahnu fitnatun falaa takfur fayata`al lamoona minhumaa maa yufarriqoona bihee bainal mar`i wa zawjih; wa maa hum bidaaarreena bihee min ahadin illaa bi-iznillah; wa yata`allamoona maa yadurruhum wa laa yanfa`uhum; wa laqad `alimoo lamanish taraahu maa lahoo fil Aakhirati min khalaaq; wa labi`sa maa sharaw biheee anfusahum; law kaanoo ya`lamoon
111,1,2,103,110,110,Wa law annahum aamanoo wattaqaw lamasoobatum min `indillaahi khairun law kaanoo ya`lamoon (section 12)
112,1,2,104,111,111,Yaaa ayyuhal lazeena aamanoo laa taqooloo raa`inaa wa qoolun zurnaa wasma`oo; wa lilkaafireena `azaabun aleem
113,1,2,105,112,112,Maa yawaddul lazeena kafaroo min ahlil kitaabi wa lal mushrikeena ai-yunazzala `alaikum min khairim mir Rabbikum; wallaahu yakhtassu birahmatihee mai-yashaaa; wallaahu zul fadlil`azeem
114,1,2,106,113,113,Maa nansakh min aayatin aw nunsihaa na-ti bikhairim minhaaa aw mislihaaa; alam ta`lam annal laaha `alaa kulli shai`in qadeer
115,1,2,107,114,114,Alam ta`lam annallaaha lahoo mulkus samaawaati wal ard; wa maa lakum min doonil laahi minw waliyyinw wa laa naseer
116,1,2,108,115,115,Am tureedoona an tas`aloo Rasoolakum kamaa su`ila Moosa min qabl; wa mai yatabaddalil kufra bil eemaani faqad dalla sawaaa`as sabeel
117,1,2,109,116,116,Wadda kaseerum min ahlil kitaabi law yaruddoo nakum mim ba`di eemaanikum kuffaaran hasadam min `indi anfusihim mim ba`di maa tabaiyana lahumul haqqu fa`foo washfahoo hattaa yaa tiyallaahu bi amrih; innal laaha `alaa kulli shai`in qadeer
118,1,2,110,117,117,Wa aqeemus salaata wa aatuz zakaah; wa maa tuqaddimoo li anfusikum min khairin tajidoohu `indal laah; innal laaha bimaa ta`maloona baseer
119,1,2,111,118,118,Wa qaaloo lai yadkhulal jannata illaa man kaana Hoodan aw Nasaaraa; tilka amaaniyyuhum; qul haatoo burhaa nakum in kuntum saadiqeen
120,1,2,112,119,119,Balaa man aslama wajhahoo lillaahi wa huwa muhsinun falahooo ajruhoo `inda rabbihee wa laa khawfun `alaihim wa laa hum yahzanoon (section 13)
121,1,2,113,120,120,Wa qaalatil Yahoodu laisatin Nasaaraa `alaa shai`inw-wa qaalatin Nasaaraaa laisatil Yahoodu `alaa shai`inw`wa hum yatloonal Kitaab; kazaalika qaalal lazeena la ya`lamoona misla qawlihim; fallaahu yahkumu bainahum Yawmal Qiyaamati feemaa kaanoo feehi yakhtalifoon
122,1,2,114,121,121,Wa man azlamu mimmam-mana`a masaajidal laahi ai-yuzkara feehas muhoo wa sa`aa fee kharaabihaaa; ulaaa`ika maa kaana lahum ai yadkhuloohaaa illaa khaaa`ifeen; lahum fiddunyaa khizyunw wa lahum fil aakhirati `azaabun `azeem
123,1,2,115,122,122,Wa lillaahil mashriqu walmaghrib; fa aynamaa tuwalloo fasamma wajhullaah; innal laaha waasi`un Aleem
124,1,2,116,123,123,Wa qaalut takhazal laahu waladan subhaanahoo bal lahoo maa fis samaawaati wal ardi kullul lahoo qaanitoon
125,1,2,117,124,124,Badeee`us samaawaati wal ardi wa izaa qadaaa amran fa innamaa yaqoolu lahoo kun fayakoon
126,1,2,118,125,125,Wa qaalal lazeena laa ya`lamoona law laa yukallimunal laahu aw taateenaaa aayah; kazaalika qaalal lazeena min qablihim misla qawlihim; tashaabahat quloobuhum; qad baiyannal aayaati liqawminy yooqinoon
127,1,2,119,126,126,Innaaa arsalnaaka bilhaqqi basheeranw wa nazeeranw wa laa tus`alu `am Ashaabil Jaheem
128,1,2,120,127,127,Wa lan tardaa `ankal Yahoodu wa lan Nasaaraa hattaa tattabi`a millatahum; qul inna hudal laahi huwalhudaa; wa la`init taba`ta ahwaaa`ahum ba`dal lazee jaaa`aka minal `ilmimaa laka minal laahi minw waliyyinw wa laa naseer
129,1,2,121,128,128,Allazeena aatainaahumul Kitaaba yatloonahoo haqqa tilaawatiheee ulaaa`ika yu`minoona bih; wa mai yakfur bihee fa ulaaa`ika humul khaasiroon (section 14)
130,1,2,122,129,129,Yaa Baneee Israaa`eelaz-kuroo ni`matiyal lateee an`amtu `alaikum wa annee faddaltukum `alal `aalameen
131,1,2,123,130,130,Wattaqoo yawmal laa tajzee nafsun `an nafsin shai `anw wa laa yuqbalu minhaa `adlunw wa laa tanfa`uhaa shafaa `atunw wa laa hum yunsaroon
132,1,2,124,131,131,Wa izib talaaa Ibraaheema Rabbuhoo bi Kalimaatin fa atammahunna qaala Innee jaa`iluka linnaasi Imaaman qaala wa min zurriyyatee qaala laa yanaalu `ahdiz zaalimeen
133,1,2,125,132,132,Wa iz ja`alnal Baita masaabatal linnaasi wa amnanw wattakhizoo mim Maqaami Ibraaheema musallaaa; wa `ahidnaaa ilaaa Ibraaheema wa Ismaa`eela an tahhiraa Baitiya littaaa`ifeena wal`aakifeena warrukka`is sujood
134,1,2,126,133,133,Wa iz qaala Ibraaheemu Rabbij `al haazaa baladan aaminanw warzuq ahlahoo minas samaraati man aamana minhum billaahi wal yawmil aakhiri qaala wa man kafara faumatti`uhoo qaleelan summa adtarruhooo ilaa `azaabin Naari wa bi`salmaseer
135,1,2,127,134,134,Wa iz yarfa`u Ibraaheemul qawaa`ida minal Baitiwa Ismaa`eelu Rabbanaa taqabbal minnaa innaka Antas Samee`ul Aleem
136,1,2,128,135,135,Rabbanaa waj`alnaa muslimaini laka wa min zurriyyatinaaa ummatam muslimatal laka wa arinaa manaasikanaa wa tub `alainaa innaka antat Tawwaabur Raheem
137,1,2,129,136,136,Rabbanaa wab`as feehim Rasoolam minhum yatloo `alaihim aayaatika wa yu`allimuhumul Kitaaba wal Hikmata wa yuzakkeehim; innaka Antal `Azeezul Hakeem (section 15)
138,1,2,130,137,137,Wa manny yarghabu `am-Millati Ibraaheema illaa man safiha nafsah; wa laqadis tafainaahu fid-dunyaa wa innahoo fil aakhirati laminas saaliheen
139,1,2,131,138,138,Iz qaala lahoo Rabbuhooo aslim qaala aslamtu li Rabbil `aalameen
140,1,2,132,139,139,"Wa wassaa bihaaa Ibraaheemu baneehi wa Ya`qoob, yaa baniyya innal laahas tafaa lakumud deena falaa tamootunna illaa wa antum muslimoon"
141,1,2,133,140,140,Am kuntum shuhadaaa`a iz hadara Ya`qoobal mawtu iz qaala libaneehi maa ta`budoona mim ba`dee qaaloo na`budu ilaahaka wa ilaaha aabaaa`ika Ibraaheema wa Ismaa`eela wa Ishaaqa Ilaahanw waahidanw wa nahnu lahoo muslimoon
142,1,2,134,141,141,Tilka ummatun qad khalat lahaa maa kasabat wa lakum maa kasabtum wa laa tus`aloona `ammaa kaanoo ya`maloon
143,1,2,135,142,142,Wa qaaloo koonoo Hoodan aw Nasaaraa tahtadoo; qul bal Millata Ibraaheema Haneefanw wa maa kaana minal mushrikeen
144,1,2,136,143,143,Qoolooo aamannaa billaahi wa maaa unzila ilainaa wa maaa unzila ilaaa Ibraaheema wa Ismaa`eela wa Ishaaqa wa Ya`qooba wal Asbaati wa maaootiya Moosa wa `Eesaa wa maaa ootiyan Nabiyyoona mir Rabbihim laa nufarriqoo baina ahadim minhum wa nahnu lahoo muslimoon
145,1,2,137,144,144,Fa in aamanoo bimisli maaa aamantum bihee faqadih tadaw wa in tawallaw fa innamaa hum fee shiqaaq; fasayakfeekahumul laah; wa Huwas Samee`ul Aleem
146,1,2,138,145,145,Sibghatal laahi wa man ahsanu minal laahi sibghatanw wa nahnu lahoo `aabidoon
147,1,2,139,146,146,Qul atuhaaajjoonanaa fil laahi wa Huwa Rabbunaa wa Rabbukum wa lanaa a`maalunaa wa lakum a`maalukum wa nahnu lahoo mukhlisoon
148,1,2,140,147,147,Am taqooloona inna Ibraaheema wa Ismaa`eela wa Ishaaqa wa Ya`qooba wal asbaata kaanoo Hoodan aw Nasaaraa; qul `a-antum a`lamu amil laah; wa man azlamu mimman katama shahaadatan `indahoo minallaah; wa mallaahu bighaafilin `ammaa ta`maloon
