index,sura,aya,text
23,2,17,इनकी मिसालें उस शख़्स की (तरह) हैं जिसने रौशनी के लिए आग भड़कायी और जब रौशनी हर तरफ़ फैल गयी तो ख़ु़दा ने उसके नूर को सल्ब कर लिया और अब उसे अंधेरे में कुछ सूझता भी नहीं है
24,2,18,"ये सब बहरे, गूंगे और अंधे हो गये हैं और अब पलट कर आने वाले नहीं हैं"
25,2,19,इनकी दूसरी मिसाल आसमान की उस बारिश की है जिसमें तारीकी और गरज चमक सब कुछ हो कि मौत के ख़ौफ़ से कड़क देखकर कानों में उंगलियां रख लें। हालांकि ख़ु़दा काफ़िरों का एहाता किये हुए है और ये बचकर नहीं जा सकते हैं
26,2,20,क़रीब है कि बिजली इनकी आंखों को चका चैंध कर दे कि जब वह चमक जाये तो चल पड़ें और जब अंधेरा हो जाये तो ठहर जायें। ख़ु़दा चाहे तो इनकी समाअत (सुनने की सलाहियत) व बसारत (बीनाई) को भी ख़त्म कर सकता है कि वह हर चीज़ पर कु़दरत व इख़्तियार रखने वाला है
27,2,21,ऐ इंसानों! परवरदिगार की इबादत करो जिसने तुम्हें भी पैदा किया है और तुमसे पहले वालों को भी ख़ल्क़ किया है। शायद कि तुम इसी तरह मुत्तक़ी और परहेज़गार बन जाओ
28,2,22,उस परवरदिगार ने तुम्हारे लिए ज़मीन का फ़र्ष और आसमान का शामियाना बनाया है और फिर आसमान से पानी बरसा कर तुम्हारी रोज़ी के लिए ज़मीन से फ़ल निकाले हैं लेहाज़ा उसके लिए जान बूझ कर किसी को हमसर और मिस्ल न बनाओ
29,2,23,अगर तुम्हें इस कलाम के बारे में कुछ शक है जिसे हमने अपने बन्दे पर नाज़िल किया है तो उसका जैसा एक ही सूरा ले आओ और अल्लाह के अलावा जितने तुम्हारे मददगार हैं सबको बुला लो अगर तुम अपने दावे और ख़्याल में सच्चे हो
30,2,24,और अगर तुम ऐसा न कर सके और यक़ीनन न कर सकोगे तो उस आग से डरो जिसका ईंधन इंसान और पत्थर हैं और जिसे काफ़ेरीन (कुफ्ऱ करने वालों) के लिए मुहैय्या किया गया है
31,2,25,पैग़म्बर आप ईमान और अमले सालेह (अच्छे काम करने) वालों को बशारत दे दें कि उनके लिए ऐसे बाग़ात हैं जिनके नीचे नहरें जारी हैं। उन्हें जब भी वहां कोई फ़ल दिया जायेगा वह यही कहेंगे कि ये तो हमें पहले मिल चुका है। हालांकि वह सिर्फ़ उसके मुशाबेह होगा और उनके लिए वहां पाकीज़ा बीवियां भी होंगी और उन्हें उसमें हमेशा रहना भी है
32,2,26,अल्लाह इस बात में कोई शर्म नहीं महसूस करता कि वह मच्छर या इससे भी कमतर की मिसाल बयान करे। अब जो साहेबाने ईमान हैं वह जानते हैं कि ये सब परवरदिगार की तरफ़ से बरहक़ है और जिन्होंने कुफ्ऱ इख़्तियार किया है वह यही कहते हैं कि आख़िर इन मिसालों से ख़ु़दा का मक़सद क्या है। ख़ु़दा इसी तरह बहुत से लोगों को गुमराही में छोड़ देता है और बहुत सों को हिदायत दे देता है और गुमराही सिर्फ़ उन्हीं का हिस्सा है जो फ़ासिक़ है
33,2,27,जो ख़ु़दा के साथ मज़बूत अहद करने के बाद भी उसे तोड़ देते हैं और जिसे ख़ु़दा ने जोड़ने का हुक्म दिया है उसे काट देते हैं और ज़मीन में फ़साद बरपा करते हैं यही वह लोग हैं जो हक़ीक़तन ख़सारे (घाटे) वाले हैं
34,2,28,आख़िर तुम लोग किस तरह कुफ्ऱ इख़्तियार करते हो जबकि तुम बेजान थे और ख़ु़दा ने तुम्हें ज़िन्दगी दी है और फिर मौत भी देगा और ज़िन्दा भी करेगा और फिर उसकी बारगाह में पलटा कर ले जाये जाओगे
35,2,29,वह ख़ु़दा वह है जिसने ज़मीन के तमाम ज़ख़ीरों  को तुम ही लोगों के लिए पैदा किया है इसके बाद उसने आसमान का रूख़ किया तो सात मुसतहकम (ठीक) आसमान बना दिये और वह हर चीज़ का जानने वाला है
36,2,30,ऐ रसूल! उस वक़्त को याद करो जब तुम्हारे परवरदिगार ने मलायका से कहा कि मैं ज़मीन में अपना ख़लीफ़ा बनाने वाला हूँ और उन्होंने कहा कि क्या उसे बनायेगा जो ज़मीन में फ़साद बरपा करे और ख़ूँरेज़ी करे जबकि हम तेरी तसबीह और तक़दीस करते हैं तो इरशाद हुआ कि मैं वह जानता हूँ जो तुम नहीं जानते हो
37,2,31,और ख़ु़दा ने आदम को तमाम असमा (नामों) की तालीम दी और फिर उन सबको मलायका के सामने पेश करके फ़रमाया कि ज़रा तुम इन सबके नाम तो बताओ अगर तुम अपने ख़्याले इसतहक़ाक़ में सच्चे हो
38,2,32,मलायका ने अर्ज़ की कि हम तो उतना ही जानते हैं जितना तूने बताया है कि तू साहेबे इल्म भी है और साहेबे हिकमत भी
39,2,33,इरशाद हुआ कि आदम अब तुम इन्हें ख़बर कर दो तो जब आदम ने बाख़बर कर दिया तो ख़ु़दा ने फ़रमाया कि मैंने तुमसे न कहा था कि मैं आसमान व ज़मीन के गै़ब को जानता हूँ और जो कुछ तुम ज़ाहिर करते हो या छिपाते हो सबको जानता हूँ
40,2,34,और याद करो वह मौक़ा जब हमने मलायका से कहा कि आदम के लिए सजदा करो तो इबलीस के अलावा सबने सजदा कर लिया उसने इन्कार और गु़रूर से काम लिया और काफ़ेरीन में हो गया
41,2,35,और हमने कहा कि ऐ आदम अब तुम अपनी ज़ौजा के साथ जन्नत में साकिन (दाख़िल) हो जाओ और जहां चाहो आराम से खाओ सिर्फ़ उस दरख़्त के क़रीब न जाना कि अपने ऊपर जु़ल्म करने वालों में से हो जाओगे
42,2,36,तब शैतान ने उन्हें फ़रेब देने की कोशिश की और उन्हें उन नेअमतों से बाहर निकाल लिया और हमने कहा कि अब तुम ज़मीन पर उतर जाओ वहां एक दूसरे की दुश्मनी होगी और वहीं तुम्हारा मरकज़ होगा और एक ख़ास वक़्त तक के लिए ऐशे ज़िन्दगानी रहेगा
43,2,37,फिर आदम ने परवरदिगार से कलेमात की तालीम हासिल की और उनकी बरकत से ख़ु़दा ने उनकी तौबा कु़बूल कर ली कि वह तौबा कु़बूल करने वाला और मेहरबान है
44,2,38,और हमने यह भी कहा कि यहां से उतर पड़ो फिर अगर मेरी तरफ़ से तुम्हारी तरफ़ हिदायत (हुक्म) आ जाये तो जो भी उसकी इत्तबा (पैरवी) कर लेगा उसके लिए न कोई ख़ौफ़ होगा न हुज़्न
45,2,39,जो लोग काफ़िर हो गये और उन्होंने हमारी निशानियों को झुठला दिया वह जहन्नुमी हैं और हमेशा वहीं पड़े रहेंगे
46,2,40,ऐ बनी इसराईल! हमारी नेअमतों को याद करो जो हमने तुम पर नाज़िल की हैं और हमारे अहद को पूरा करो हम तुम्हारे अहद को पूरा करेंगे और हमसे डरते रहो
47,2,41,हमनें जो कु़रआन तुम्हारी तौरेत की तसदीक़ के लिए भेजा है उस पर ईमान ले आओ और सबसे पहले काफ़िर न बन जाओ। हमारी आयतों को मामूली क़ीमत पर न बेचो और हमसे डरते रहो
48,2,42,हक़ को बातिल से मख़लूत (मिलावट) न करो और जान बूझकर हक़ की परदा पोशी न करो
49,2,43,नमाज़ क़ायम करो ज़कात अदा करो और रूकूअ करने वालों के साथ रूकूअ करो
50,2,44,क्या तुम लोगों को नेकियों का हुक्म देते हो और ख़ुद अपने को भूल जाते हो जबकि किताबे ख़ु़दा की तिलावत भी करते हो। क्या तुम्हारे पास अक़्ल नहीं है
51,2,45,सब्र और नमाज़ के ज़रिये मदद मांगो। नमाज़ बहुत मुश्किल काम है मगर उन लोगों के लिए जो ख़ुशुअ व ख़ुज़्ा़ुअ वाले हैं
52,2,46,और जो ख़ूब (अच्छी तरह) जानते हैं कि अल्लाह की बारगााह में हाज़िर होना है और ज़रूर उसकी तरफ़ वापस जाना है
53,2,47,ऐ बनी इसराईल हमारी उन नेअमतों को याद करो जो हमनें तुम्हें इनायत की है (और यह भी तो सोचो कि) हमनें तुम्हें सारे जहान के लोगों से बेहतर बनाया है
54,2,48,उस दिन से डरो जिस दिन कोई किसी का बदल न बन सकेगा और किसी की सिफ़ारिश कु़़़बूल न होगी न कोई मुआवेज़ा लिया जायेगा और न किसी की मदद की जायेगी
55,2,49,"और जब हमनें तुमको फ़िरऔन वालों से बचा लिया जो तुम्हें बदतरीन दुख दे रहे थे, तुम्हारे बच्चों को क़त्ल कर रहे थे और औरतों को ज़िन्दा रखते थे और इसमें तुम्हारे लिए बहुत बड़ा इम्तिहान था"
56,2,50,हमारा यह एहसान भी याद करो कि हमनें दरिया को शिग़ाफ़्ता करके (फाड़ के) तुम्हें बचा लिया और फ़िरऔन वालों को तुम्हारी निगाहों के सामने डुबो दिया
57,2,51,और हमने मूसा से चालीस रातों का वादा लिया तो तुमने उनके बाद गोसाला (बछड़ा) तैयार कर लिया कि तुम बड़े ज़ालिम हो
58,2,52,फिर हमने तुमको माफ़ कर दिया कि शायद शुक्र गुज़ार बन जाओ
59,2,53,और हमने मूसा को किताब और हक़ व बातिल को जुदा करने वाला कानून दिया कि शायद तुम हिदायत याफ़्ता बन जाओ
60,2,54,और वह वक़्त भी याद करो जब मूसा ने अपनी क़ौम से कहा कि तुमने गोसाला (बछड़ा) बनाकर अपने ऊपर ज़्ाु़ल्म किया है अब तुम ख़ालिक़ की बारगाह में तौबा करो और अपने नफ़्सों को क़त्ल कर डालो कि यही तुम्हारे हक़ में ख़ैर है फिर ख़ु़दा ने तुम्हारी तौबा कु़बूल कर ली कि वह बड़ा तौबा कु़बूल करने वाला मेहरबान है
61,2,55,और वह वक़्त भी याद करो जब तुमने मूसा से कहा कि हम उस वक़्त तक ईमान न लायेंगे जब तक ख़ु़दा को एलानिया न देख लें जिसके बाद (आसमानी) बिजली ने तुमको ले डाला और तुम देखते ही रह गये
62,2,56,फिर हमने तुम्हें मौत के बाद ज़िन्दा कर दिया कि शायद अब शुक्रगुज़ार बन जाओ
63,2,57,और हमने तुम्हारे सरों पर अब्र का साया किया तुम पर मन्नो सलवा (भुना हुआ परिन्दा) नाज़िल किया कि पाकीज़ा रिज़्क़ इतमिनान से खाओ उन लोगों ने हमारा कुछ नहीं बिगाड़ा बल्कि ख़़ुद अपने नफ़्स पर ज़्ाुल्म किया है 
64,2,58,और वह वक़्त भी याद करो कि जब हमने कहा कि इस क़रिये (बस्ती) में दाखिल हो जाओ और जहां चाहो इतमिनान से खाओ और दरवाज़े पर सजदा करते हुए और हित्ता (बख़्षिष) कहते हुए दाख़िल हो कि हम तुम्हारी ख़तायें माफ़ कर देंगे और हम नेक अमल वालों की जज़ा (सवाब) में इज़ाफ़ा (बढ़ोतरी) भी कर देते हैं 
65,2,59,मगर ज़ालिमों ने जो बात उनसे कही गयी थी उसे बदल दिया तो हमने उन ज़ालिमों पर उनकी नाफ़रमानी की बिना पर आसमान से अज़ाब नाज़िल कर दिया
66,2,60,और उस मौक़े को याद करो जब मूसा ने अपनी क़ौम के लिए पानी का मुताल्बा किया तो हमने कहा कि अपना असा पत्थर पर मारो जिसके नतीजे में बारह चश्में जारी हो गये और सबने अपना अपना घाट पहचान लिया अब हमने कहा कि मन्नो सलवा (भुना हुआ परिंदा) खाओ और चश्मे का पानी पियो और रूये ज़मीन में फसाद न फैलाओ 
67,2,61,"और वह वक़्त भी याद करो जब तुमने मूसा से कहा कि हम एक क़िस्म के खाने पर सब्र नहीं कर सकते आप परवरदिगार से दुआ कीजिए कि हमारे लिए ज़मीन से सब्ज़ी, ककड़ी, लहसुन, मसूर और प्याज़ वगै़रह पैदा करे। मूसा ने तुम्हें समझाया कि क्या बेहतरीन नेअमतों के बदले मामूली नेअमत लेना चाहते हो तो जाओ किसी शहर में उतर पड़ो वहां यह सब कुछ मिल जायेगा अब उन पर ज़िल्लत और मोहताजी की मार पड़ गयी और वह गज़बे इलाही में गिरफ्तार हो गये। यह सब इसलिए हुआ कि यह लोग आयाते इलाही का इन्कार करते थे और नाहक़ अम्बियाए ख़ु़दा को क़त्ल कर दिया करते थे इसलिए कि यह सब नाफ़रमान थे और ज़्ाु़ल्म किया करते थे "
68,2,62,जो लोग बज़ाहिर ईमान लाये यह यहूदी नसारा और सितारा परस्त हैं उनमें से जो वाक़ई अल्लाह और आख़िरत पर ईमान लायेगा और नेक अमल करेगा उसके लिए परवरदिगार के यहां अज्र व सवाब है और कोई हुज़्न व ख़ौफ नहीं है 
69,2,63,"और उस वक़्त को याद करो जब हमने तुमसे तौरेत पर अमल करने का अहद लिया और तुम्हारे सरों पर कोहेतूर को लटका दिया कि अब तौरेत को मज़बूती से पकड़ो और जो कुछ उसमें है उसे याद रखो, शायद इस तरह परहेज़गार बन जाओ। "
70,2,64,फिर तुम लोगों ने इनहेराफ़ किया कि अगर फज़्ले ख़ु़दा और रहमते इलाही शामिले हाल न होती तो तुम ख़सारे वालों में से हो जाते 
71,2,65,तुम उन लोगों को भी जानते हो जिन्होंने शम्बे (यौमे हफ़्ते) के मामले में ज़्यादती से काम लिया और हमने हुक्म दे दिया कि अब ज़िल्लत के साथ बन्दर बन जायें 
72,2,66,और हमने इस जिन्सी तब्दीली को देखने वालों और बाद वालों के लिए इबरत और साहेबाने तक़वा (परहेज़गार) के लिये नसीहत बना दिया
73,2,67,और वह मौक़ा भी याद करो जब मूसा ने क़ौम से कहा कि ख़ु़दा का हुक्म है कि एक गाय ज़िब्हा करो तो उन लोगों ने कहा कि आप हमें मज़ाक बना रहे हैं फ़रमाया पनाह बख़ु़दा कि मैं जाहिलों में से हो जाऊँ 
74,2,68,"उन लोगों ने कहा कि अच्छा ख़ु़दा से दुआ कीजिए कि हमंें उसकी हक़ीक़त बतायें। उन्होंने कहा कि ऐसी गाय चाहिए कि जो न बूढ़ी हो, न बच्चा, दरम्यानी क़िस्म की हो अब हुक्मे ख़ु़दा पर अमल करो "
75,2,69,"उन लोगों ने कहा यह भी पूछिये कि रंग क्या होगा, कहा कि हुक्मे ख़ु़दा है कि ज़र्द भड़कदार रंग की हो जो देखने में भली मालूम हो"
76,2,70,उन लोगों ने कहा कि ऐसी तो बहुत सी गाय हैं अब कौन सी ज़िब्हा करें इसे बयान किया जाये हम इन्शा अल्लाह तलाश कर लेंगे 
77,2,71,हुक्म हुआ कि ऐसी गाय जो कारोबारी न हो न ज़मीन जोते न खेत सींचे ऐसी साफ़ सुथरी कि उसमें कोई धब्बा भी न हो। उन लोगों ने कहा कि अब आपने ठीक बयान किया है इसके बाद उन लोगों ने ज़िब्हा कर दिया हालांकि वह ऐसा करने वाले नहीं थे 
78,2,72,और जब तुमने एक शख़्स को क़त्ल कर दिया और उसके क़ातिल के बारे में झगड़ा करने लगे जबकि ख़ु़दा इस राज़ का वाज़ेह करने वाला है जिसे तुम छिपा रहे थे 
79,2,73,तो हमने कहा कि मक़तूल को गाय के टुकड़े से मस कर दो ख़ु़दा इसी तरह मुर्दो को ज़िन्दा करता है और तुम्हें अपनी निशानियां दिखलाता है कि शायद तुम्हें अक़्ल आ जाये 
80,2,74,"फिर तुम्हारे दिल सख़्त हो गये जैसे पत्थर या इससे भी कुछ ज़्यादा सख़्त कि पत्थरों में से तो बाज़ से नहरें भी जारी हो जाती हैं बाज़ शिगाफ़्ता हो जाते हैं तो उनसे पानी निकल आता है और बाज़ ख़ौफे ख़ु़दा से गिर पड़ते हैं, लेकिन अल्लाह तुम्हारे आमाल से गा़फ़िल नहीं है "
81,2,75,मुसलमानों क्या तुम्हें उम्मीद है कि ये यहूदी तुम्हारी तरह ईमान ले आयेंगे जबकि उनके असलाफ़ (बाप दादा) का एक गिरोह कलामे ख़ु़दा को सुनकर तहरीफ़ कर देता था हालांकि सब समझते भी थे और जानते भी थे 
82,2,76,यह यहूदी ईमान वालों से मिलते हैं तो कहते हैं कि हम भी ईमान ले आये और आपस में एक दूसरे से मिलते हैं तो कहते हैं कि क्या तुम मुसलमानों को तौरेत के मतालिब बता दोगे कि वह अपने नबी के औसाफ़ से तुम्हारे ऊपर इस्तेदलाल करें क्या तुम्हें अक़्ल नहीं है कि ऐसी हिमाक़त करोगे 
83,2,77,क्या तुम्हें नहीं मालूम कि ख़ु़दा सब कुछ जानता है जिसका यह इज़हार कर रहे हैं और जिसकी यह परदापोशी कर रहे हैं 
84,2,78,उन यहूदियों में कुछ ऐसे जाहिल भी हैं जो तौरेत को याद किये हुए हैं और उसके बारे में सिवाए उम्मीदों के कुछ नहीं जानते हैं हालांकि ये उनका फ़क़त ख़्याले ख़ाम् (अटकल पच्चू) है 
85,2,79,वाय हो उन लोगों पर जो अपने हाथ से किताब लिखकर यह कहते हैं कि ये ख़ु़दा की तरफ़ से है ताकि उसे थोड़े दाम में बेच लें उनके लिए इस तहरीफ़ पर भी अज़ाब है और उसकी कमाई पर भी 
86,2,80,ये कहते हैं कि हमें आतिशे जहन्नम चन्द दिन के अलावा छू भी नहीं सकती उनसे पूछिये कि क्या तुमने अल्लाह से कोई अहेद ले लिया है जिसकी वह मुख़ालिफ़त नहीं कर सकता या उसके ख़िलाफ़ जिहालत की बातें कर रहे हो
87,2,81,यक़ीनन जिसने कोई बुराई हासिल की और उसकी ग़लती ने उसे घेर लिया वह लोग अहले जहन्नम हैं और वहीं हमेशा रहने वाले हैं 
88,2,82,और जो ईमान लाये और उन्हांेने नेक अमल किये वह अहले जन्नत हैं और वही (उसी में) हमेशा रहने वाले हैं 
89,2,83,"उस वक़्त को याद करो जब हमने बनी इसराईल से अहेद लिया कि ख़बरदार ख़ु़दा के अलावा किसी की इबादत न करना और माँ बाप, क़राबतदारों, यतीमों और मिसकीनों के साथ अच्छा बरताव करना। लोगों से अच्छी बातें करना, नमाज़ क़ायम करना, ज़कात अदा करना लेकिन उसके बाद तुम में से चन्द के अलावा वह सब मुन्हरिफ़ हो गए और तुम लोग तो बस इन्कार करने वाले ही हो। "
90,2,84,और हमने तुमसे अहेद लिया कि आपस में एक दूसरे का ख़ून न बहाना और किसी को अपने वतन से निकाल बाहर न करना और तुमने उसका इक़रार किया और तुम ख़ुद ही उसके गवाह भी हो 
91,2,85,लेकिन उसके बाद तुमने क़त्ल व ख़ून शुरू कर दिया। लोगांे को इलाक़े से बाहर निकालने लगे और गुनाह व ज़्ाुल्म में ज़ालिमांें की मदद करने लगे हालांकि कोई क़ैदी बनकर आता है तो फ़िद्या देकर आज़ाद भी करा लेते हो जबकि शुरू से उनका निकालना ही हराम था क्या तुम किताब के एक हिस्से पर ईमान रखते हो और एक का इंकार कर देते हो ऐसा करने वालों की क्या सज़ा है सिवाए इसके कि ज़िन्दगानी-ए-दुनिया में ज़लील हों और क़यामत के दिन सख़्त तरीन अज़ाब की तरफ़ पलटा दिये जायेंगे और अल्लाह तुम्हारे करतूत से बेख़बर नहीं है 
92,2,86,ये वह लोग हैं जिन्हांेने आख़िरत को देकर दुनिया ख़रीद ली है अब न उनके अज़ाब में तख़्फ़ीफ़ (कमी) होगी और न उनकी मदद की जायेगी 
93,2,87,"हमने मूसा को किताब दी उनके पीछे रसूलों का सिलसिला क़ायम किया। ईसा बिन मरियम को वाज़ेह मोजिज़ात अता किये, रूहुल क़ुद्स से उनकी ताईद करा दी लेकिन क्या तुम्हारा मुस्तक़िल तरीका यही है कि जब कोई रसूल तुम्हारी ख्व़ााहिश के ख़िलाफ़ कोई पैग़ाम लेकर आता है तो अकड़ जाते हो और एक जमाअत को झुठला देते हो और एक को क़त्ल कर देते हो "
94,2,88,और ये लोग कहते हैं कि हमारे दिलों पर परदे पड़े हुए हैं हमारी कुछ समझ में नहीं आता बेशक इनके कुफ्ऱ की बिना पर इन पर ख़ु़दा की मार है और यह बहुत कम ईमान ले आयेंगे 
95,2,89,और जब इनके पास ख़ु़दा की तरफ से किताब आयी है जो इनकी तौरेत वगै़रह की तसदीक़ भी करने वाली है और इसके पहले वह दुश्मनों के मुक़ाबले में इसी के ज़रिये तलबे फ़तह भी करते थे लेकिन इसके आते ही मुन्किर हो गये हालांकि इसे पहचानते भी थे तो अब काफ़िरों पर ख़ु़दा की लानत है 
96,2,90,उन लोगों ने अपने नफ़्स का कितना बुरा सौदा किया है कि ज़बरदस्ती ख़ु़दा के नाज़िल किये का इन्कार कर बैठे इस ज़िद में कि ख़ु़दा अपने फ़ज़्लो करम से अपने जिस बन्दे पर जो चाहे नाज़िल कर देता है अब ये गज़ब बालाये ग़ज़ब के हक़दार हैं और इनके लिए रूसवाकुन अज़ाब भी है 
97,2,91,जब इनसे कहा जाता है कि ख़ुदा के नाज़िल किये हुए पर ईमान ले आओ तो कहते हैं कि हम सिर्फ़ उस पर ईमान ले आयेंगे जो हम पर नाज़िल हुआ है और इसके अलावा सबका इन्कार कर देते हैं अगर चे वह भी हक़ है और इनके पास जो कुछ है इसकी तसदीक़ करने वाला भी है अब आप इनसे कहें कि अगर तुम मोमिन हो तो इससे पहले अम्बियाए ख़ु़दा को क़त्ल क्यों करते थे 
98,2,92,यक़ीनन मूसा तुम्हारे पास वाज़ेह निशानियां लेकर आये लेकिन तुमने इनके बाद गोसाला को इख़्तियार कर लिया और तुम वाक़ई ज़ालिम हो 
99,2,93,और उस वक़्त को याद करो जब हमने तुमसे तौरेत पर अमल करने का अहद लिया और तुम्हारे सरों पर कोहेतूर को मोअल्लक़ कर दिया कि तौरेत को मज़बूती से पकड़ लो तो उन्होंने डर के मारे फ़ौरन इक़रार कर लिया कि हमने सुन तो लिया लेकिन फिर नाफ़रमानी भी करेंगे कि उनके दिलों में गोसाला (बछड़े) की मोहब्बत घोलकर पिला दी गयी है पैग़म्बर इनसे कह दो कि अगर तुम ईमानदार हो तो तुम्हारा ईमान बहुत बुरे अहकाम देता है 
100,2,94,इनसे कहो कि अगर सारे इन्सानांे में दारे आख़िरत फ़क़त तुम्हारे लिए है और तुम अपने दावे में सच्चे हो तो मौत की तमन्ना करो
101,2,95,और ये पिछले आमाल की बिना पर हरगिज़ मौत की तमन्ना नहीं करेंगे कि ख़ु़दा ज़ालिमों के हालात से ख़ूब वाक़िफ़ है 
102,2,96,ऐ रसूल! आप देखेंगे कि ये ज़िन्दगी के सबसे ज़्यादा हरीस हैं और बाज़ मुशरेकीन तो ये चाहते हैं कि उन्हें हज़ार बरस की उम्र दे दी जाये जबकि यह हज़ार बरस भी ज़िन्दा रहें तो तूले हयात इन्हें अज़ाबे इलाही से नहीं बचा सकता। अल्लाह इनके आमाल को ख़ूब देख रहा है 
103,2,97,ऐ रसूल! कह दीजिए कि जो शख़्स भी जिबरईल का दुश्मन है उसे मालूम होना चाहिए कि जिबरईल ने आपके दिल पर कु़रआन हुक्मे ख़ु़दा से उतारा है जो साबिक़ किताबों की तसदीक़ करने वाला हिदायत और साहेबाने ईमान के लिए बशारत है 
104,2,98,"जो भी अल्लाह, मलायका, मुरसलीन और जिबरईल व मीकाईल का दुश्मन होगा उसे मालूम रहे कि ख़ु़दा भी तमाम काफ़िरों का दुश्मन है "
