ID,Type,TypeNo,ParaNo,ParaFormat,AR,UR,ARSIMPLE,satatus
660,1,99,6.0,2,لَكَاَنِّیْۤ اَنْظُرُ اِلٰی ضِلِّیْلٍ قَدْ نَعَقَ بِالشَّامِ، وَ فَحَصَ بِرَایَاتِهٖ فِیْ ضَوَاحِیْ كُوْفَانَ. فَاِذَا فَغَرَتْ فَاغِرَتُهٗ، وَ اشْتَدَّتْ شَكِیْمَتُهٗ، وَ ثَقُلَتْ فِی الْاَرْضِ وَطْاَتُهٗ، عَضَّتِ الْفِتْنَةُ اَبْنَآئَهَا بِاَنْیَابِهَا، وَ مَاجَتِ الْحَرْبُ بِاَمْوَاجِهَا، وَ بَدَا مِنَ الْاَیَّامِ كُلُوْحُهَا، وَ مِنَ اللَّیَالِیْ كُدُوْحُهَا.,(لو سنو!) میں ایک سخت گمراہیوں میں پڑے ہوئے شخص©۱® کو گویا اپنی آنکھوں سے دیکھ رہا ہوں کہ وہ شام میں کھڑا ہوا للکار رہا ہے اور اس نے اپنے جھنڈے کوفہ کے آس پاس کھلے میدانوں میں گاڑ دیئے ہیں۔ چنانچہ جب اس کا منہ (پھاڑ کھانے کو) کھل گیا اور اس کی لگام کا دہانہ مضبوط ہو گیا اور زمین میں اس کی پامالیاں سخت سے سخت ہو گئیں تو فتنوں نے اپنے دانتوں سے دنیا والوں کو کاٹنا شروع کر دیا اور جنگ کا دریا تھپیڑے مارنے لگا اور دنوں کی سختی سامنے آ گئی اور راتوں کی تکلیف شدت اختیار کر گئی۔,لكانی انظر الی ضلیل قد نعق بالشام، و فحص برایاته فی ضواحی كوفان. فاذا فغرت فاغرته، و اشتدت شكیمته، و ثقلت فی الارض وطاته، عضت الفتنة ابنائها بانیابها، و ماجت الحرب بامواجها، و بدا من الایام كلوحها، و من اللیالی كدوحها.,
661,1,99,7.0,2,فَاِذَاۤ اَيْنَعَ زَرْعُهٗ، وَ قَامَ عَلٰی یَنْعِهٖ، وَ هَدَرَتْ شَقَاشِقُهٗ، وَ بَرَقَتْ بَوَارِقُهٗ، عُقِدَتْ رَایَاتُ الْفِتَنِ الْمُعْضِلَةِ، وَ اَقْبَلْنَ كَاللَّیْلِ الْمُظْلِمِ، وَ الْبَحْرِ الْمُلْتَطِمِ.,بس ادھر اس کی کھیتی پختہ ہوئی اور فصل تیار ہوئی اور اس کی سر مستیاں جوش دکھانے لگیں اور تلواریں چمکنے لگیں، اُدھر سخت فتنہ و شر کے جھنڈے گڑ گئے اور اندھیری رات اور متلاطم دریا کی طرح آگے بڑھ آئے۔,فاذا اينع زرعه، و قام علی ینعه، و هدرت شقاشقه، و برقت بوارقه، عقدت رایات الفتن المعضلة، و اقبلن كاللیل المظلم، و البحر الملتطم.,
662,1,99,8.0,2,هٰذَا، وَ كَمْ یَخْرِقُ الْكُوْفَةَ مِنْ قَاصِفٍ، وَ یَمُرُّ عَلَیْهَا مِنْ عَاصِفٍ! وَ عَنْ قَلِیْلٍ تَلْتَفُّ الْقُرُوْنُ بِالْقُرُوْنِ، وَ یُحْصَدُ الْقَآئِمُ، وَ یُحْطَمُ الْمَحْصُوْدُ!,اس کے علاوہ اور کتنے ہی تیز جھکڑ کوفہ کو اُکھیڑ ڈالیں گے اور کتنی ہی سخت آندھیاں اس پر آئیں گی اور عنقریب جماعتیں جماعتوں سے گتھ جائیں گی اور کھڑی کھیتیوں کو کاٹ دیا جائے گا اور کٹے ہوئے حاصلوں کو توڑ پھوڑ دیا جائے گا۔,هذا، و كم یخرق الكوفة من قاصف، و یمر علیها من عاصف! و عن قلیل تلتف القرون بالقرون، و یحصد القائم، و یحطم المحصود!,
663,1,99,9.0,4,-----٭٭-----,--٭٭--,----------,
664,1,100,1.0,1,(١٠٠) وَ مِنْ كَلَامٍ لَّهٗ عَلَیْهِ السَّلَامُ,خطبہ (۱۰۰),(١٠٠) و من كلام له علیه السلام,
665,1,100,2.0,3,يَجْرِيْ مَجْرَى الْخُطْبَةِ,,يجري مجرى الخطبة,
666,1,100,3.0,2,وَ ذٰلِكَ یَوْمٌ یَّجْمَعُ اللهُ فِیْهِ الْاَوَّلِیْنَ وَ الْاٰخِرِیْنَ لِنِقَاشِ الْحِسَابِ وَ جَزَآءِ الْاَعْمَالِ، خُضُوْعًا، قِیَامًا، قَدْ اَلْجَمَهُمُ الْعَرَقُ، وَ رَجَفَتْ بِهِمُ الْاَرْضُ، فَاَحْسَنُهُمْ حَالًا مَّنْ وَّجَدَ لِقَدَمَیْهِ مَوْضِعًا، وَ لِنَفْسِهٖ مُتَّسَعًا.,وہ ایسا دن ہو گا کہ اللہ حساب کی چھان بین اور عملوں کی جزا کیلئے سب اَگلے پچھلوں کو جمع کرے گا۔ وہ خضوع کی حالت میں اس کے سامنے کھڑے ہوں گے، پسینہ منہ تک پہنچ کر ان کے منہ میں لگام ڈال دے گا، زمین ان لوگوں سمیت لرزتی اور تھرتھراتی ہو گی۔ اس وقت سب سے بڑا خوش حال وہ ہو گا جسے اپنے دونوں قدم ٹکانے کی جگہ اور سانس لینے کو کھلی فضا مل جائے۔,و ذلك یوم یجمع الله فیه الاولین و الاخرین لنقاش الحساب و جزاء الاعمال، خضوعا، قیاما، قد الجمهم العرق، و رجفت بهم الارض، فاحسنهم حالا من وجد لقدمیه موضعا، و لنفسه متسعا.,
667,1,100,4.0,3,[مِنْهُ],[اسی خطبے کا ایک جز یہ ہے],[منه],
668,1,100,5.0,2,فِتَنٌ كَقِطَعِ اللَّیْلِ الْمُظْلِمِ، لَا تَقُوْمُ لَهَا قَآئِمَةٌ، وَ لَا تُرَدُّ لَهَا رَایَةٌ، تَاْتِیْكُمْ مَزْمُوْمَةً مَّرْحُوْلَةً: یَحْفِزُهَا قَآئِدُهَا، وَ یَجْهَدُهَا رَاكِبُهَا، اَهْلُهَا قَوْمٌ شَدِیْدٌ كَلَبُهُمْ، قَلِیْلٌ سَلَبُهُمْ، یُجَاهِدُهُمْ فِیْ سَبِیْلِ اللهِ قَوْمٌ اَذِلَّةٌ عِنْدَ الْمُتَكَبِّرِیْنَ، فِی الْاَرْضِ مَجْهُوْلُوْنَ، وَ فِی السَّمَآءِ مَعْرُوْفُوْنَ.,وہ ایسے فتنے ہوں گے جیسے اندھیری رات کے ٹکڑے۔ ان کے مقابلے کیلئے (گھوڑوں کے) پیر جم نہ سکیں گے اور نہ ان کے جھنڈے پلٹائے جا سکیں گے۔ وہ تمہارے پاس اس طرح آئیں گے کہ ان کی لگامیں چڑھی ہوں گی اور ان پر پالان کسے ہوں گے۔ ان کا پیشرو انہیں تیزی سے ہنکائے گا اور سوار ہونے والا انہیں ہلکان کر دے گا۔ وہ لوگ اس قوم سے ہیں جن کے حملے سخت ہوتے ہیں اور لوٹ کھسوٹ کم۔ ان سے وہ قوم فی سبیل اللہ جہاد کرے گی جو متکبروں کے نزدیک پست اور ذلیل، زمین میں گمنام اور آسمان میں جانی پہچانی ہوئی ہو گی۔ ,فتن كقطع اللیل المظلم، لا تقوم لها قائمة، و لا ترد لها رایة، تاتیكم مزمومة مرحولة: یحفزها قائدها، و یجهدها راكبها، اهلها قوم شدید كلبهم، قلیل سلبهم، یجاهدهم فی سبیل الله قوم اذلة عند المتكبرین، فی الارض مجهولون، و فی السماء معروفون.,
669,1,100,6.0,2,فَوَیْلٌ لَّكِ یَا بَصْرَةُ عِنْدَ ذٰلِكَ، مِنْ جَیْشٍ مِّنْ نِّقَمِ اللهِ! لَا رَهَجَ لَهٗ، وَ لَا حَسَّ، وَ سَیُبْتَلٰۤی اَهْلُكِ بِالْمَوْتِ الْاَحْمَرِ، وَ الْجُوْعِ الْاَغْبَرِ!.,اے بصرہ ! تیری حالت پر افسوس ہے کہ جب تجھ پر اللہ کے عذاب کے لشکر ٹوٹ پڑیں گے، جس میں نہ غبار اڑے گا اور نہ شور و غوغا ہو گا اور تیرے بسنے والے قتل اور سخت بھوک میں مبتلا ہوں گے۔,فویل لك یا بصرة عند ذلك، من جیش من نقم الله! لا رهج له، و لا حس، و سیبتلی اهلك بالموت الاحمر، و الجوع الاغبر!.,
670,1,100,7.0,4,-----٭٭-----,--٭٭--,----------,
671,1,101,1.0,1,(١٠١) وَ مِنْ خُطْبَةٍ لَّهٗ عَلَیْهِ السَّلَامُ,خطبہ (۱۰۱),(١٠١) و من خطبة له علیه السلام,
672,1,101,2.0,2,اُنْظُرُوْا اِلَی الدُّنْیَا نَظَرَ الزَّاهِدِیْنَ فِیْهَا، الصَّادِفِیْنَ عَنْهَا، فَاِنَّهَا وَاللهِ! عَمَّا قَلِیْلٍ تُزِیْلُ الثَّاوِیَ السَّاكِنَ، وَ تَفْجَعُ الْمُتْرَفَ الْاٰمِنَ، لَا یَرْجِـعُ مَا تَوَلّٰی مِنْهَا فَاَدْبَرَ، وَ لَا یُدْرٰی مَا هُوَ اٰتٍ مِّنْهَا فَیُنْتَظَرَ.,دنیا کو زہد اختیار کرنے والوں اور اس سے پہلو بچانے والوں کی نظر سے دیکھو۔ خدا کی قسم! وہ جلد ہی اپنے رہنے سہنے والوں کو اپنے سے الگ کر دے گی اور امن و خوشحالی میں بسر کرنے والوں کو رنج و اندوہ میں ڈال دے گی اور جو چیز اس میں کی منہ موڑ کر پیٹھ پھرا لے وہ واپس نہیں آیا کرتی اور آنے والی چیز کا کچھ پتہ نہیں ہوتا کہ اس کی راہ دیکھی جائے۔,انظروا الی الدنیا نظر الزاهدین فیها، الصادفین عنها، فانها والله! عما قلیل تزیل الثاوی الساكن، و تفجع المترف الامن، لا یرجـع ما تولی منها فادبر، و لا یدری ما هو ات منها فینتظر.,
673,1,101,3.0,2,سُرُوْرُهَا مَشُوْبٌۢ بِالْحُزْنِ، وَجَلَدُ الرِّجَالِ فِیْهَا اِلَی الضَّعْفِ وَ الْوَهْنِ، فَلَا یَغُرَّنَّكُمْ كَثْرَةُ مَا یُعْجِبُكُمْ فِیْهَا لِقِلَّةِ مَا یَصْحَبُكُمْ مِنْهَا.,اس کی مسرتیں رنج میں سمو دی گئی ہیں اور جواں مردوں کی ہمت و طاقت اس میں کمزوری و ناتوانی کی طرف بڑھ رہی ہے۔ (دیکھو) دنیا کو خوش کر دینے والی چیزوں کی زیادتی تمہیں مغرور نہ بنا دے۔ اس لئے کہ جو چیزیں تمہارا ساتھ دیں گی وہ بہت کم ہیں۔,سرورها مشوب بالحزن، وجلد الرجال فیها الی الضعف و الوهن، فلا یغرنكم كثرة ما یعجبكم فیها لقلة ما یصحبكم منها.,
674,1,101,4.0,2,رَحِمَ اللهُ امْرَاً تَفَكَّرَ فَاعْتَبَرَ، وَ اعْتَبَرَ فَاَبْصَرَ، فَكَاَنَّ مَا هُوَ كَآئِنٌ مِّنَ الدُّنْیَا عَنْ قَلِیْلٍ لَّمْ یَكُنْ، وَ كَاَنَّ مَا هُوَ كَآئِنٌ مِّنَ الْاٰخِرَةِ عَمَّا قَلَیْلٍ لَّمْ یَزَلْ، وَ كُلُّ مَعْدُوْدٍ مُّنْقَضٍ، وَ كُلُّ مُتَوَقَّعٍ اٰتٍ، وَ كُلُّ اٰتٍ قَرِیْبٌ دَانٍ.,خدا اس شخص پر رحم کرے جو سوچ بچار سے عبرت اور عبرت سے بصیرت حاصل کرے۔ دنیا کی ساری موجود چیزیں معدوم ہو جائیں گی، گویا کہ وہ موجود تھیں ہی نہیں اور آخرت میں پیش ہونے والی چیزیں جلد ہی موجود ہو جائیں گی، گویا کہ وہ ابھی سے موجود ہیں۔ ہر شمار میں آنے والی چیز ختم ہو جایا کرتی ہے اور جس کی آمد کا انتظار ہو اسے آیا ہی جانو اور ہر آنے والے کو نزدیک اور پہنچا ہوا سمجھو۔,رحم الله امرا تفكر فاعتبر، و اعتبر فابصر، فكان ما هو كائن من الدنیا عن قلیل لم یكن، و كان ما هو كائن من الاخرة عما قلیل لم یزل، و كل معدود منقض، و كل متوقع ات، و كل ات قریب دان.,
675,1,101,5.0,3,[مِنْهَا],[اس خطبہ کا ایک جز یہ ہے] ,[منها],
676,1,101,6.0,2,اَلْعَالِمُ مَنْ عَرَفَ قَدْرَهٗ، وَ كَفٰی بِالْمَرْءِ جَهْلًا اَلَّا یَعْرِفَ قَدْرَهٗ، وَ اِنَّ مِنْ اَبْغَضِ الرِّجَالِ اِلَی اللهِ لَعَبْدًا وَّكَلَهُ اللهُ اِلٰی نَفْسِهٖ، جَآئِرًا عَنْ قَصْدِ السَّبِیْلِ، سَآئِرًا بِغَیْرِ دَلِیْلٍ، اِنْ دُعِیَ اِلٰی حَرْثِ الدُّنْیَا عَمِلَ، وَ اِنْ دُعِیَ اِلٰی حَرْثِ الْاٰخِرَةِ كَسِلَ! كَاَنَّ مَا عَمِلَ لَهٗ وَاجِبٌ عَلَیْهِ، وَ كَاَنَّ مَا وَنٰی فِیْهِ سَاِقطٌ عَنْهُ!.,عالم وہ ہے جو اپنا مرتبہ شناس ہو اور انسان کی جہالت اس سے بڑھ کر کیا ہو گی کہ وہ اپنی قدر و منزلت نہ پہچانے۔ لوگوں میں سب سے زیادہ ناپسند، اللہ کو وہ بندہ ہے جسے اللہ نے اس کے نفس کے حوالے کر دیا ہے۔ اس طرح کہ وہ سیدھے راستے سے ہٹا ہوا اور بغیر رہنما کے چلنے والا ہے۔ اگر اسے دنیا کی کھیتی (بونے) کیلئے بلایا جاتاہے تو سرگرمی دکھاتا ہے اور آخرت کی کھیتی (بونے) کیلئے کہا جاتا ہے تو کاہلی کرنے لگتا ہے۔ گویا جس چیز کیلئے اس نے سرگرمی دکھائی ہے وہ تو ضروری تھی اور جس میں سستی و کوتاہی کی ہے وہ اس سے ساقط تھی۔,العالم من عرف قدره، و كفی بالمرء جهلا الا یعرف قدره، و ان من ابغض الرجال الی الله لعبدا وكله الله الی نفسه، جائرا عن قصد السبیل، سائرا بغیر دلیل، ان دعی الی حرث الدنیا عمل، و ان دعی الی حرث الاخرة كسل! كان ما عمل له واجب علیه، و كان ما ونی فیه ساقط عنه!.,
677,1,101,7.0,3,[وَ مِنْهَا],[اسی خطبہ کا ایک جز یہ ہے],[و منها],
678,1,101,8.0,2,وَذٰلِكَ زَمَانٌ لَّا یَنْجُوْ فِیْهِ اِلَّا كُلُّ مُؤْمِنٍ نُّوَمَةٍ، اِنْ شَهِدَ لَمْ یُعْرَفْ، وَ اِنْ غَابَ لَمْ یُفْتَقَدْ، اُولٰٓئِكَ مَصَابِیْحُ الْهُدٰی، وَ اَعْلَامُ السُّرٰی، لَیْسُوْا بِالْمَسَایِیْحِ، وَ لَا الْمَذَایِیْعِ الْبُذُرِ، اُولٰٓئِكَ یَفْتَحُ اللهُ لَهُمْ اَبْوَابَ رَحْمَتِهٖ، وَ یَكْشِفُ عَنْهُمْ ضَرَّآءَ نِقْمَتِهٖ.,وہ زمانہ ایسا ہو گا کہ جس میں وہ خوابیدہ مومن ہی بچ کر نکل سکے گا کہ جو سامنے آنے پر جانا پہچانا نہ جائے اور نگاہ سے اوجھل ہونے پر اسے ڈھونڈھا نہ جائے۔ یہی لوگ تو ہدایت کے جگمگاتے چراغ اور شب پیمائیوں میں روشن نشان ہیں۔ نہ وہ اِدھر اُدھر کچھ کا کچھ لگاتے پھرتے ہیں، نہ لوگوں کی برائیاں اچھالتے ہیں اور نہ ان کے راز فاش کرتے ہیں۔ اللہ انہی لوگوں کیلئے رحمت کے دروازے کھول دے گا اور ان سے اپنے عذاب کی سختیاں دور رکھے گا۔,وذلك زمان لا ینجو فیه الا كل مؤمن نومة، ان شهد لم یعرف، و ان غاب لم یفتقد، اولئك مصابیح الهدی، و اعلام السری، لیسوا بالمساییح، و لا المذاییع البذر، اولئك یفتح الله لهم ابواب رحمته، و یكشف عنهم ضراء نقمته.,
679,1,101,9.0,2,اَیُّهَا النَّاسُ! سَیَاْتِیْ عَلَیْكُمْ زَمَانٌ یُّكْفَاُ فِیْهِ الْاِسْلَامُ، كَمَا یُكْفَاُ الْاِنَآءُ بِمَا فِیْهِ.,اے لوگو! وہ زمانہ تمہارے سامنے آنے والا ہے کہ جس میں اسلام کو اس طرح اوندھا کر دیا جائے گا جس طرح برتن کو ان چیزوں سمیت جو اس میں ہوں، الٹ دیا جائے۔,ایها الناس! سیاتی علیكم زمان یكفا فیه الاسلام، كما یكفا الاناء بما فیه.,
680,1,101,10.0,2,اَیُّهَا النَّاسُ! اِنَّ اللهَ قَدْ اَعَاذَكُمْ مِنْ اَنْ یَّجُوْرَ عَلَیْكُمْ، وَ لَمْ یُعِذْكُمْ مِنْ اَنْ یَّبْتَلِیَكُمْ، وَ قَدْ قَالَ جَلَّ مِنْ قَآئِلٍ: §﴿اِنَّ فِیْ ذٰلِكَ لَاٰیٰتٍ وَّ اِنْ كُنَّا لَمُبْتَلِیْنَ۝﴾¦.,اے لوگو! اللہ نے تمہیں اس امر سے محفوظ رکھا ہے کہ وہ تم پر ظلم کرے۔ مگر اس سے پناہ نہیں کہ وہ تمہیں آزمائش میں ڈالے۔ اس بزرگ و برتر کہنے والے کا ارشاد ہے: ’’اس میں ہماری بہت سی نشانیاں ہیں اور ہم تو بس ان کا امتحان لیا کرتے ہیں‘‘۔,ایها الناس! ان الله قد اعاذكم من ان یجور علیكم، و لم یعذكم من ان یبتلیكم، و قد قال جل من قائل: §ان فی ذلك لایت و ان كنا لمبتلین۝¦.,
681,1,101,11.0,3,اَمَّا قَوْلُهٗ ؑ: «كُلُّ مُؤْمِنٍ نُوَمَةٍ» فَاِنَّمَا اَرَادَ بِهٖ: الْخَامِلَ الذِّكْرِ الْقَلِیْلَ الشَّرِّ.,سیّد رضی فرماتے ہیں: حضرتؑ کے ارشاد ’’ہر خوابیدہ مومن‘‘ میں ’’خوابیدہ‘‘ سے مراد وہ شخص ہے کہ جو گمنام اور بے شر ہو۔,اما قوله ؑ: «كل مؤمن نومة» فانما اراد به: الخامل الذكر القلیل الشر.,
682,1,101,12.0,3,وَ «الْمَسَایِیْحِ»: جَمْعُ مِسْیَاحٍ، وَ هُوَ الَّذِیْ یَسِیْحُ بَیْنَ النَّاسِ بِالْفَسَادِ وَ الْنَّمَآئِمِ.,اور ½«الْمَسَایِیْح»¼ مسیاح کی جمع ہے۔ اور ’’مسیاح‘‘ اس شخص کو کہتے ہیں کہ جو لوگوں میں فتنہ و شر پھیلاتا رہے اور لگائی بجھائی کرتا رہے۔,و «المساییح»: جمع مسیاح، و هو الذی یسیح بین الناس بالفساد و النمائم.,
683,1,101,13.0,3,وَ «الْمَذَایِیْعِ»: جَمْعُ مِذْیَاعٍ، وَ هُوَ الَّذِیْ اِذَا سَمِعَ لِغَیْرِهٖ بِفَاحِشَةٍ اَذَاعَهَا وَ نَوَّهَ بِهَا. وَ «الْبُذُرُ» : جَمْعُ بَذُوْرٍ وَ هُوَ الَّذِیْ یَكْثُرُ سَفَهُهٗ وَ یَلْغُوْ مَنْطِقُهٗ.,اور ½«الْمَذَایِیْع» مذیاع¼ کی جمع ہے اور ½’’مذیاع‘‘¼ اسے کہتے ہیں کہ جو کسی کی برائی سنے تو اسے اچھالے اور علانیہ بیان کرے اور ½«الْبُذُرُ» بذور¼ کی جمع ہے اور ½’’بذور‘‘¼ اسے کہتے ہیں کہ جو احمق اور اَول فول بکنے والا ہو۔,و «المذاییع»: جمع مذیاع، و هو الذی اذا سمع لغیره بفاحشة اذاعها و نوه بها. و «البذر» : جمع بذور و هو الذی یكثر سفهه و یلغو منطقه.,
684,1,101,14.0,4,-----٭٭-----,--٭٭--,----------,
685,1,102,1.0,1,(١٠٢) وَ مِنْ خُطْبَةٍ لَّهٗ عَلَیْهِ السَّلَامُ,خطبہ (۱۰۲),(١٠٢) و من خطبة له علیه السلام,
686,1,102,2.0,3,وَقَدْ تَقَدَمَّ مُخْتَارُھَا بِخَلَافِ ھٰذِہِ الرِّوَایَۃِ:,ایک دوسری روایت کی بنا پر یہ خطبہ پہلے درج ہو چکا ہے:,وقد تقدم مختارھا بخلاف ھذہ الروایۃ:,
687,1,102,3.0,2,اَمَّا بَعْدُ! فَاِنَّ اللهَ سُبْحَانَهٗ بَعَثَ مُحَمَّدًا ﷺ، وَ لَیْسَ اَحَدٌ مِّنَ الْعَرَبِ یَقْرَاُ كِتَابًا، وَ لَا یَدَّعِیْ نُبُوَّةً وَّ لَا وَحْیًا، فَقَاتَلَ بِمَنْ اَطَاعَهٗ مَنْ عَصَاهُ، یَسُوْقُهُمْ اِلٰی مَنْجَاتِهِمْ، وَ یُبَادِرُ بِهِمُ السَّاعَةَ اَنْ تَنْزِلَ بِهِمْ، یَحْسِرُ الْحَسِیْرُ، وَ یَقِفُ الْكَسِیْرُ فَیُقِیْمُ عَلَیْهِ حَتّٰی یُلْحِقَهُ غَایَتَهٗ، اِلَّا هَالِكًا لَّا خَیْرَ فِیْهِ، حَتّٰی اَرَاهُمْ مَنْجَاتَهُمْ وَ بَوَّاَهُمْ مَحَلَّتَهُمْ، فَاسْتَدَارَتْ رَحَاهُمْ، وَ اسْتَقَامَتْ قَنَاتُهُمْ، وَایْمُ اللهِ! لَقَدْ كُنْتُ مِنْ سَاقَتِهَا حَتّٰی تَوَلَّتْ بِحَذَافِیْرِهَا، وَ اسْتَوْسَقَتْ فِیْ قِیَادِهَا، مَا ضَعُفْتُ، وَلَا جَبُنْتُ، وَ لَا خُنْتُ، وَ لَا وَهَنْتُ، وَایْمُ اللهِ! لَاَبْقُرَنَّ الْبَاطِلَ حَتّٰۤی اُخْرِجَ الْحَقَّ مِنْ خَاصِرَتِهٖ.,جب اللہ نے محمد ﷺ کو بھیجا تو عربوں میں نہ کوئی (آسمانی) کتاب کا پڑھنے والا تھا اور نہ کوئی نبوت و وحی کا دعوے دار۔ آپؐ نے اطاعت کرنے والوں کو لے کر اپنے مخالفوں سے جنگ کی۔ درآنحالیکہ آپؐ ان لوگوں کو نجات کی طرف لے جا رہے تھے اور قبل اس کے کہ موت ان لوگوں پر آ پڑے، ان کی ہدایت کیلئے بڑھ رہے تھے۔ جب کوئی تھکا ماندہ رک جاتا تھا اور خستہ و درماندہ ٹھہر جاتا تھا تو آپؐ اس کے (سر پر) کھڑے ہو جاتے تھے اور اسے اس کی منزل مقصود تک پہنچا دیتے تھے۔ یہ اور بات ہے کہ کوئی ایسا تباہ حال ہو جس میں ذرّہ بھر بھلائی ہی نہ ہو۔ یہاں تک کہ آپؐ نے انہیں نجات کی منزل دکھا دی اور انہیں ان کے مرتبہ پر پہنچا دیا، چنانچہ ان کی چکی گھومنے لگی اور ان کے نیزے کا خم جاتا رہا۔ خدا کی قسم میں بھی انہیں ہنکانے والوں میں تھا۔ یہاں تک کہ وہ پوری طرح پسپا ہو گئے اور اپنے بندھنوں میں جکڑ دئیے گئے۔ اس دوران میں نہ مَیں عاجز ہوا نہ بزدلی دکھائی، نہ کسی قسم کی خیانت کی اور نہ مجھ میں کمزوری آئی۔ خدا کی قسم! میں (اب بھی) باطل کو چیر کر حق کو اس کے پہلو سے نکال لوں گا۔,اما بعد! فان الله سبحانه بعث محمدا ﷺ، و لیس احد من العرب یقرا كتابا، و لا یدعی نبوة و لا وحیا، فقاتل بمن اطاعه من عصاه، یسوقهم الی منجاتهم، و یبادر بهم الساعة ان تنزل بهم، یحسر الحسیر، و یقف الكسیر فیقیم علیه حتی یلحقه غایته، الا هالكا لا خیر فیه، حتی اراهم منجاتهم و بواهم محلتهم، فاستدارت رحاهم، و استقامت قناتهم، وایم الله! لقد كنت من ساقتها حتی تولت بحذافیرها، و استوسقت فی قیادها، ما ضعفت، ولا جبنت، و لا خنت، و لا وهنت، وایم الله! لابقرن الباطل حتی اخرج الحق من خاصرته.,
688,1,102,4.0,4,-----٭٭-----,--٭٭--,----------,
689,1,103,1.0,1,(١٠٣) وَ مِنْ خُطْبَةٍ لَّهٗ عَلَیْهِ السَّلَامُ,خطبہ (۱۰۳),(١٠٣) و من خطبة له علیه السلام,
690,1,103,2.0,2,حَتّٰی بَعَثَ اللهُ مُحَمَّدًا ﷺ، شَهِیْدًا وَّ بَشِیْرًا وَّ نَذِیْرًا، خَیْرَ الْبَرِیَّةِ طِفْلًا، وَ اَنْجَبَهَا كَهْلًا، اَطْهَرَ الْمُطَهَّرِیْنَ شِیْمَةً، وَ اَجْوَدَ الْمُسْتَمْطَرِیْنَ دِیْمَةً.,آخر اللہ نے محمد ﷺ کو بھیجا در آنحالیکہ وہ گواہی دینے والے، خوشخبری سنانے والے اور ڈرانے والے تھے۔ جو بچپنے میں بھی بہترین خلائق اور سن رسیدہ ہونے پر بھی اشرفِ کائنات تھے اور پاک لوگوں میں خو خصلت کے اعتبار سے پاکیزہ تر اور جود و سخا میں ابر صفت، برسائے جانے والوں میں سب سے زائد لگاتار برسنے والے تھے۔,حتی بعث الله محمدا ﷺ، شهیدا و بشیرا و نذیرا، خیر البریة طفلا، و انجبها كهلا، اطهر المطهرین شیمة، و اجود المستمطرین دیمة.,
691,1,103,3.0,2,فَمَا احْلَوْلَتْ لَكُمُ الدُّنْیَا فِیْ لَذَّتِهَا، وَ لَا تَمَكَّنْتُمْ مِنْ رَّضَاعِ اَخْلَافِهَا، اِلَّا مِنْۢ بَعْدِ مَا صَادَفْتُمُوْهَا جَآئِلًا خِطَامُهَا، قَلِقًا وَضِیْنُهَا، قَدْ صَارَ حَرَامُهَا عِنْدَ اَقْوَامٍۭ بِمَنْزِلَةِ السِّدْرِ الْمَخْضُوْدِ، وَ حَلَالُهَا بَعِیْدًا غَیْرَ مَوْجُوْدٍ.,دنیا اپنی لذتوں میں اس وقت تمہارے لئے شیریں و خوشگوار ہوئی اور اس وقت تم اس کے تھنوں سے دودھ پینے پر قادر ہوئے کہ جبکہ اس کے پہلے اس کی مہاریں جھول رہی تھیں اور اس کا تنگ (ڈھیلا ہو کر) ہل رہا تھا (یعنی اس کا کوئی سوار اور دیکھ بھال کرنے والا نہ تھا جو اس کی باگیں اٹھاتا اور اس کا تنگ کستا)۔ کچھ قوموں کیلئے تو حرام اس بیری کے مانند (خوشگوار اور مزے دار) ہو گیا تھا جس کی شاخیں پھلوں کی وجہ سے جھکی ہوئی ہوں اور حلال ان کیلئے (کوسوں) دور اور نایاب تھا۔,فما احلولت لكم الدنیا فی لذتها، و لا تمكنتم من رضاع اخلافها، الا من بعد ما صادفتموها جائلا خطامها، قلقا وضینها، قد صار حرامها عند اقوام بمنزلة السدر المخضود، و حلالها بعیدا غیر موجود.,
692,1,103,4.0,2,وَ صَادَفْتُمُوْهَا وَاللهِ! ظِلًّا مَمْدُوْدًا اِلٰۤی اَجَلٍ مَّعْدُوْدٍ، فَالْاَرْضُ لَكُمْ شَاغِرَةٌ، وَ اَیْدِیْكُمْ فِیْهَا مَبْسُوْطَةٌ، وَ اَیْدِی الْقَادَةِ عَنْكُمْ مَكْفُوْفَةٌ، وَ سُیُوْفُكُمْ عَلَیْهِمْ مُسَلَّطَةٌ، وَ سُیُوْفُهُمْ عَنْكُمْ مَقْبُوْضَةٌ.,خدا کی قسم! یہ دنیا لمبی چھاؤں کی صورت میں ایک مقررہ وقت تک تمہارے پاس ہے۔ مگر اس وقت تو زمین بغیر روک ٹوک کے تمہارے قبضے میں ہے، تمہارے ہاتھ اس میں کھلے ہوئے ہیں اور پیشواؤں کے ہاتھ بندھے ہوئے ہیں، تمہاری تلواریں ان پر مسلط ہیں اور ان کی تلواریں روکی جا چکی ہیں۔,و صادفتموها والله! ظلا ممدودا الی اجل معدود، فالارض لكم شاغرة، و ایدیكم فیها مبسوطة، و ایدی القادة عنكم مكفوفة، و سیوفكم علیهم مسلطة، و سیوفهم عنكم مقبوضة.,
