id,lang_id,arabic_name,english_name,translation,description,wazeefa
34,1,العَظِيمُ,Al-A’zim,The Magnificent,He who is magnificent,"""Recite ya ‘Aziem frequently to develop
respect among people. Recite 100x for success and protection from harm of enemies."""
35,1,الغَفُورُ,Al-Ghafur,The Concealer of Faults,He who forgives all,"Recite Ya Ghafur frequently for headaches, fever or temporary despair and despondency. Recite 100x after Salatul Jumua’ for relief from a heavy heart due to sins and forgiveness of the sins."
36,1,الشَّكُورُ,Ash-Shakur,The Rewarder of Thankfulness,He who is grateful and gives rewards for deeds none for him,Repeat Ya Shakur 41x on water and wash your face to lighten a heavy heart and maintain composure. Recite 41x for any difficulty.
37,1,العَلِيُّ,Al-A’li,The Highest,The most high,"Constant recitation improves conditions – poor becomes richer, troubled becomes at peace….. If faith is low repeat Ya ‘Ali frequently. 41x for relief from difficulty."
38,1,الكَبِيرُ,Al-Kabir,The Greatest,He who is most great,If someone has lost his job or been demoted unjustly or has debts which cannot be paid – fast for 7 days and recite – Yaa Kabeeru antallazhee laa tahdil ‘uqulu liy wasfi ‘azhamatihi 1000x. Recite 232x over food and give to couple having marital problems.
39,1,الحَفِيظُ,Al-Hafiz,The Preserver,"He who preserves all things in detail, and preserves them from misfortune and calamity",Recite ya Hafeezh frequently a day for protection from calamities.
40,1,المُقِيتُ,Al-Muqit,The Maintainer,He who sustains,"Recite and write 7x over water –drink from the water during a journey for strength to bear the difficulties of travel. If someone is ill-mannered, repeat Ya Muqeet several times into a glass of water and give it to the person to drink. Recite 7x on water for fulfilment of hajat."
41,1,الحَسِيبُ,Al-Hasib,The Reckoner,He who knows in detail the account of things people do throughout their lives,"Repeat ya Haseeb 70x on Thursday for seven days and nights and the 71st time say, “Allah al-Haseeb,” “God is my Reckoner,” and you should be freed from fear of being robbed, or the jealousy of another or being harmed. Write on bottle of colicky child."
42,1,الجَلِيلُ,Al-Jalil,The Majestic,One He who has wealth dominion and holiness,Write Ya Jaleel on a piece of paper with saffron and musk ink. Wash the paper and drink self steem.
43,1,الكَرِيمُ,Al-Karim,The Generous,One He who is Generous,Recite 270x for freedom from debt. If recited until one falls asleep then appreciation and help from others. Recite for forgiveness.
44,1,الرَّقِيبُ,Ar-Raqib,The Vigilant,"He who observes all creatures, and every actions under control","Repeat Ya Raqeeb 7x for yourself, family and property to be under Allah’s protection. Recite to find lost thing. Recite 312x to render bad vibes ineffective."
45,1,المُجِيبُ,Al-Mujib,The Responder to prayer,The one who response to every need,Recite Ya Mujeeb to continue to have faith. Recite 55x at sunrise after salaa for hajat. Reciting also helps stop gossip and slander.
46,1,الوَاسِعُ,Al-Wasi,The Vast,"He who is not visible with senses, but exists",Recite Ya Waasi’ frequently if you have difficulty earning a living. Recite 137x to cure depression.
47,1,الحَكِيمُ,Al-Hakim,The Wise,He who has wisdom in all orders and actions,Recite Ya Hakim continuously to overcome difficulties in work and for knowledge and wisdom.
48,1,الوَدُودُ,Al-Wadud,The Loving,He who loves those who do good and bestows on them His compassion. He who is the only one who should be loved and whose friendships to be earned,"If there has been a quarrel between two people and one of the two repeats Ya Wadud 1000x over food and gives the food to the other to eat, the disagreement may be resolved."
49,1,المَجِيدُ,Al-Majid,The Glorious,He who obstruct all evils from harming His friends,"Recite ya Majeed frequently at iftar on the 13th, 14th & 15th of the Lunar month to cure sickness especially psoriasis, heart disease and depression."
50,1,البَاعِثُ,Al-Bais,The Resurrector,One He who gives lives to all creatures on the judgement day,"""Recite Ya Bai’th 101x and to gain taqwa and wisdom. Recite frequently with hand
on chest at bedtime. Recite 7070x to clear name if wrongly accused."""
51,1,الشَّهِيدُ,Ash-Shahid,The Witness,He who is present everywhere and observes all things,Repeat Ya Shaheed 21x with your hand on the forehead of a rebellious child to calm him down. Assists in controlling one’s own disobedience.
52,1,الحَقُّ,Al-Haqq,The Truth,He whose existence has no change,Recite to find lost thing. For sustenance recite 100x La Ilaha Malikul Haqqul Mubeen every day.
53,1,الوَكِيلُ,Al-Wakil,The Trustee,He who provides a means to solve all problems in the best way,"If you are afraid of drowning, being burned in a fire, repeat Ya Wakeel for protection."
54,1,القَوِيُّ,Al-Qawi,The Strong,He who is the most strong,Recite Ya Qawiy for safety from an enemy. Recite 116x for strength to do ibada.
55,1,المَتِينُ,Al-Matin,The Firm,One He who is firm,"""Recite Ya Mateen for your troubles to disappear. To increase breast milk write
on a cup and drink water from it. Recite 500x to eliminate tyranny and negativity from oneself."""
56,1,الوَلِيُّ,Al-Wali,The Friend,He who is the friend of His righteous servants,Recite Ya Waliy frequently to become a Friend of God. Recite in the presence of a spouse who is ill of character.
57,1,الحَمِيدُ,Al-Hamid,The Praised,He who is the only one to be praised and glorified and thanked by all creatures,Repeat Ya Hameed 45 days alone 93+ time be loved and praised. Write on a cup and drink from it for refined speech.
58,1,المُحصِى,Al Muhsi,The Appraiser,"He who knows the number of all things although they cannot be counted, and knows each of them","Recite Ya Muhsi 100x for ease on the Day of Judgement. Recite 148x to assist in understanding and memorisation. Twenty times twenty pieces of bread daily read this name someone who eats, creatures of God, God willing it will be subservient."
59,1,المُبدِئُ,al-Mubdi,The Beginner,Ho who has created for the first time all being from nothing and without any model,Repeat Ya Mubdi’ and breathe towards someone who is about to lose something and that person should become free of danger. Recite to make decisions when undecisive. If a pregnant woman fears a miscarriage then place right hand on the stomach and recite Ya Mubdi’ 99x.
60,1,المُعِيدُ,Al-Muid,The Restorer,He who restores all thing,Repeat Ya Mu’eed 70x for the safe return in seven days [insha allah] of a family member who is away.
61,1,المُحيِى,Al-Muhyi,The Life Giver,He who gives life and health,If you are weighed down with a heavy burden repeat Ya Muhyi 7x daily. Recite 68x after every salaa to cure a chronic illness.
62,1,المُمِيتُ,Al-Mumit,The Life Taker,He who creates death,Recite Ya Mumeet frequently with your hands on your chest on falling asleep to control your passions and destroy your enemy.
63,1,الحَيُّ,Al-Hayy,The Living,is all-knowing and His strength is sufficient for everyone,Recite Ya Hayy frequently for a long life and to cure sickness. Recite 500x before sunrise for peace. Write with musk and rose water on a bowl; wash and drink for shifa from any illness.
64,1,القَيُّومُ,Al-Qayyum,The Self Existing,He who holds the entire universe,Recite Ya Qayyum at the time of Fajr salaa for friendship. Recite 106x daily for memorisation help. Recite it in seclusion for affluence. To remove lethargy and laziness recite Al Hayyu and Al Qayyum after Fajr salaa.
65,1,الوَاجِدُ,Al-Wajid,The Resourceful,He who is magnificent,Repeat Ya Waajid with every morsel of food to become resourceful.
66,1,المَاجِدُ,Al-Majid,The Noble,"He whose highness is grate, Who is beneficent and His munificence is rich",Recite Ya Maajid 465x morning and night to be understood by others. Recite also to understand the language of other creation e.g. animals etc…. This name can be read in isolation so that the divine light Insha Allah  will shows on the heart .
67,1,الأَحَدُ,Al-Wahid,The One,He who is the only one in universe,Repeat Ya Waahid 1000x when you are alone and in a dark place to be free of fear and delusions.
68,1,الصَّمَدُ,As-Samad,The Eternal,He who is the only being to apply to if one has any need to be completed or in troubles to be eliminated,"Repeat Ya Samad 1000x to know the hidden meanings of things. Recite Ya Samad 125x at dawn or at midnight while in sajda, to be safe from oppression. Recite to improve character."
69,1,القَادِرُ,Al-Qadir,The Able,He who is able to do anything in the way He wills,Recite Ya Qaadir while washing and no enemy should harm you. If you face a difficulty recite Ya Qadir 41x to be free from difficulty. Recite 305x when love not responded to.
70,1,المُقتَدِرُ,Al-Muqtadir,The Powerful,He who is more powerful than any being,"Repeat Ya Muqtadir frequently to become aware of the truth. Recite 744x to sharpen the memory. After nap, twenty times recite this name, all the work will be easier."
71,1,المُقَدِّمُ,Al-Muqaddim,The Promoter,He who gives priority to someone others,Repeat Ya Muqaddim on the battlefield or when you are afraid of being alone in a frightening place. Recite to present things in their right places.
72,1,المُؤَخِّرُ,Al-Muakhir,The Postponer,He who delays whatever he wants,Recite Ya Mu’akhkhir 100 times for tawba to be accepted. Recite 1446x before sunrise for 7 days to prevent tyrant from gaining power.
73,1,الأَوَّلُ,Al-Awwal,The First,He who is existed much before the creation of the universe,Recite Ya Awwal 40 times on Thursday night for fulfilment of needs. Recite 1000 times for 40 Fridays for an overwhelming problem and for safe return from journey.
74,1,الآخِرُ,Al-Akhir,The Last,He who remain even after the destruction of this universe,Those who recite Ya Aakhir frequently should lead a good life and have a good end at the time of death. Recite 1000 times on Friday for increased sustenance. Recite frequently as a kaffara for sins.
75,1,الظَّاهِرُ,Az-Zahir,The Manifest,He who evident with all his phenomena,Recite Ya Zhaahir 500x for divine light to enter your heart and in eyes.
76,1,البَاطِنُ,Al-Batin,The Hidden,"He who is not visible with senses, but exists",Recite Ya Baatin 22x to see the truth in things. Recite 33x for enlightenment. For hajat pray 2 rakats salaa after which recite “Huwal Awwalu wal Aakhiru wazh Zhaahiru wal Baatin; wa huwa ‘alaa kulli shayin Qadeer”
77,1,الوَالِي,Al-Wali,The Governor,"He who directs, manages, conducts, measures, plans every action which happens at any moment in the entire universe","""Repeat Ya Waali in your home to be free from danger. Recite 11x to subdue
another’s anger."""
78,1,المُتَعَالِي,Al-Muta’ali,The Exalted,"He who is higher then any action, manner or condition, and any thought that any being may  have. This name indicates that Allah is  High then the most evolved thought of  mankind",Repeat Ya Muta’ali to ease difficulties. Recommend for women tor recite during menstruation to relieve ailments. If demoted recite 540x to be restored to honour. Also effective for interviews.
79,1,البَرُّ,Al-Bar,"""The Source of
Goodness""","He who is tolerant of His servants, to all creatures and is good to them",Repeat Ya Barr frequently to be blessed and be free from misfortune. Recite 7x daily to create aversion to bad habits. If recite 7x on an newborn baby it will give the child protection from calamities.
80,1,التَّوَّابُ,At-Tawwab,The Acceptor of Tawba,He who is the most Strong,Repeat Ya Tawwab 360+ times for acceptance of tawba. Recite frequently for accomplishment of a task. Recite 10x in front of a tyrant to be free from oppression.
81,1,المُنتَقِمُ,Al-Muntaqim,The Avenger,He who constricts,"Repeat Ya Muntaqim to be victorious against your enemy. To remove a tyrant from power, recite Ya Muntaqimu and Ya Qahhaar 1000x."
82,1,العَفُوُّ,Al-A’fuw,The Pardoner,He who pardons all who repent sincerely as if they had no previous sin,Repeat Ya ‘Afw frequently for forgiveness.
83,1,الرَّؤُوفُ,Ar-Rauf,The Clement,He who is benign and compassionate,Repeat Ya Ra’uf frequently to be blessed. Recite also to gain affection of creation.
84,1,مَالِكَ المُلكِ,Malik ul-Mulk,The King of the Kingdom,He who owns all that exists,Recite Ya Malik al Mulk to gain esteem and change doubts into reassurance. Recite 212x daily to gain sustenance from unexpected means.
85,1,ذُو الجَلَالِ وَ الإِكرَامِ,Dhul -Jalali wal-Ikram,The Lord of Majesty & Generosity,"He who is the supreme power, sovereign and munificent",Repeat Ya Dhul jalaal wal ikraam to develop self esteem.
86,1,المُقسِطُ,Al-Muqsit,The Equitable,He who does His work accordingly and in a balanced way,Repeat Ya Muqsit 100x to be free from the harm of your idol/ego and you should attain your purpose. Recite 700x for hajat. If the mind wanders in salaa recite 239x before salaa. Also recite for anger and depression.
87,1,الجَامِعُ,Al-Jaami,The Gatherer,"He who collects thing, gathers them, anywhere He wants, at any time",Repeat Ya Jaami’ to find lost things or be reconciled with someone who has separated. Do ghusl at Zhuhr and lifting gaze towards heavens recite Ya Jaami’ 10x closing each finger as you do so to reconcile dispersed family.
88,1,الغَنِىُّ,Al-Ghani,The Rich,He who is eternal in His self and in His qualities,Repeat Ya Ghani frequently for contentment. Recite 70x daily for abundance in rizq. Recite and blow over body for shifaa from illness.
89,1,المُغنِى,Al-Mughni,The Enricher,"He who is not indigent of any, but all look towards Him for help","Recite Ya Mughni 1000 x every Friday to become selfsufficient. Recite 1121x every Friday for 10 Fridays to eliminate nervous tension. Recite on hands and pass over afflicted part of body to recover. For spiritual and material wealth, recite 11x Salawat,from bigining  followed by 1111x Ya Mughni and end with 11x Salawat ."
90,1,المَانِعُ,Al-Maani,The Protector,He who obstruct all evils from harming His friends,Repeat Ya Maani’ to have a good family life. Recite 20x to subside anger. Recite 161x to help relieve pain and fear. Recite for safety during journeys. Recite silently to rekindle affection between spouses.
91,1,الضَّارُ,Ad-Darr,The Punisher,He who creates that which makes one despondent,Repeat Ya Dharr 100x on Thursday nights to grow closer to Allah. Recite for safety from tyranny.
92,1,النَّافِعُ,An-Nafi,The Beneficial,He who creates all thing which provides goodness and benefit,Recite Ya Nafi’ for 4 days to avoid harm. Recite 41x for completion of task. Provides safety on a journey. Recite before intimacy for pious children.
93,1,النُّورُ,An-Nur,The Light,"He who provides divine light to the entire universe, to the faces, minds and hearts of His servants",Recite Ya Nur 700 times on Thursday night for receive inner light. Recite Surah Nur 7 times and ya Nur 1000 times to gain light in your heart.
94,1,الهَادِي,Al-Hadi,The Guide,"He who guides, gives success and directs His servants to do this beneficial to others",Repeat Ya Haadi frequently to gain spiritual knowledge.
95,1,البَدِيعُ,Al-Badi,The Originator,He who creates wonders in the universe without any design,"Repeat Ya Badi’ 1000 x by saying, “Ya Badi’ assamawati’ wa ‘l-ardh,” for troubles. Relieves depression and stress. Recite before sleeping for guidance on feasibility of task. For accomplishment of a task recite 1200x Ya Badi’ al ajaaib bil khayr. Ya Badi’ for 12 days."
96,1,البَاقِي,Al-Baqi,The Everlasting,"He who was, is and live forever",Recite Ya Baaqi on Thursday 1000x night to be free of difficulties. Recite frequently for acceptance of duas.
97,1,الوَارِثُ,al-Waris,The Inheritor,"He who has everlasting ownership of all things. Finite man only has temporary ownership, and at the death all creatures have nothing",Recite Ya Waarith 100x at sunrise to be free of difficulties. Recite it often to fulfil a task. To remove worries recite 1000x between Maghrib and Eisha salaa.
98,1,الرَّشِيدُ,Ar-Rashid,The Right in Guidance,"He who is the guide, with wisdom, to the right path according to His eternal plan","Repeat Ya Rasheed, 1000x between Maghrib and Eisha Salaa to remove troubles, and for financial progress. Recite also to make words effective."
99,1,الصَّبُورُ,As-Sabur,The Patient,"He who is patient, and revengeful to creatures","Repeat Ya Sabur 33x for relief from troubles, difficulties and sorrow. Recite 100x before sunrise for safety from calamities and ‘tying’ the enemy’  tongue. Repeat 298x for physical pain. Repeat frequently if unjustly accused. In difficulty recite 1020x."
100,2,أَللّٰه,Allah,پروردگار کا اسم ذاتی,"یہ ""اللہ"" تبارک وتعالی کا ذاتی نام ہے ، جو یکتا ہے، کل کائنات کا مالک و قابض بلا شرکت غیرے ہے ۔ نہ اس نے کسی کو جنا ہے اور نہ اس کو کسی نے پیدا کیا ہے ۔ وہ اپنی ذات و صفات میں یکتا و اکیلا ہے او اس کے سوا کوئی عبادت لائق نہیں ہے ۔",عزم و یقین کی قوت کے لیے روزانہ ایک ہزار مرتبہ پڑھے ۔ لاعلاج مریض [ یا اللہ ] کا بکثرت ورد کرکے شفا کی دعا مانگے ، ان شاء اللہ شفا ہوگی ۔
101,2,الرَّحمٰنُ,Ar-Rahman,بہت ہی رحم کرنے والا,جو انسانوں پر بلا تفریق رحمتیں اور برکتیں نازل فرماتا ہے۔,ہر نماز کے بعد سو مرتبہ [ یا رحمن ] پڑھنے والے کے دل کی سختی اور غفلت جاتی رہےگی ۔
102,2,الرَّحِيمُ,Ar-Rahim,بڑا مہربان,وہ جو برکتوں ، بخششوں کا سر چشمہ ہے۔,روزانہ ہر نماز کے بعد ایک سو مرتبہ [ یا رحیم ] کا ورد کرنے والا دنیاوی آفات سے انشاء اللہ تعالی محفوظ رہے گا ، اور مخلوق خدا اس پر مہربان ہوگی ۔
103,2,المَلِكُ,Al-Malik,حقیقی بادشاہ,وہ جو پوری کائنات کا اصل مالک اور حقیقی بادشاہ ہے اور سب کچھ اس کے قبضہ قدرت میں ہے,بعد نماز صبح روزانہ کثرت سے یہ اسم  پڑھنے والے کو اللہ تعالی غنی فرما دیں گے ۔
104,2,القُدُّوسُ,Al-Quddus,برائیوں سے پاک ذات,جملہ غلطیوں اور عیب سے پاک اور ہر قسم کی بھول چوک اور نقائص سے مبرا ذات,زوال کے بعد روزانہ بکثرت ورد کرنے والے کا دل انشاء اللہ امراض روحانی سے پاک ہو جائے گا ۔
105,2,السَّلَامُ,As-Salam,بے عیب ذات,وہ جو اپنے بندوں کو جملہ خطرات سے محفوظ رکھتا ہے اور اپنے خوش نصیب بندوں کو جنت کی راحتیں عطا فرماتا ہے۔,اس اسم کا بکثرت ورد کرنے والا انشاء اللہ تعالی تمام آفتوں سے محروم رہے گا ۔ ایک سو پندرہ [۱۱۵] اس کو پڑھ کر بیمار پر دم کرے ، اللہ تعالی اسے صحت عطا فرمائیں گے ۔
106,2,المُؤمِنُ,Al-M’umin,ایمان و امن بخشنے والا,وہ جو اپنے بندوں کے دل میں ایمان پیدا کرتا ہے  اور ان کی حفاظت کرتا ہے جو اس سے مدد طلب کرتے ہیں نیز ان کے دلوں میں سکون عطا فرماتا ہے۔,کسی خوف کے وقت چھ سو تیس [۶۳۰] مرتبہ پڑھنے سے  انشاء اللہ تعالی نقصان و خوف سے محفوظ رہے گا ۔ اس کا پڑھنے والا یا اس اسم کو لکھ کر اپنے پاس رکھنے والا اللہ کی امان میں رہے گا ۔
107,2,المُهَيمِنُ,Al-Muhaymin,نگہبان,وہ ذات اقدس جو ہر شے اور ہر چیز کی نگرانی و حفاظت کرتا ہے۔,بعد غسل دو رکعت نفل پڑھ کے سچے دل سے جو شخص یہ اسم ایک مرتبہ پڑھے اللہ تبارک وتعالی اس کا ظاہر و باطن پاک فرما دیں گے ۔ اور جو شخص ایک سو پندرہ [۱۱۵] مرتبہ اس اسم کا ورد کرے تو انشاء اللہ تعالی پوشیدہ چیزوں پر مطلع ہوگا ۔
108,2,العَزِيزُ,Al-A’ziz,سب پر غالب,وہ بڑے اقتدار والا جس کا اقتدار سب پر حاوی ہے۔,چالیس [۴۰] دن چالیس [۴۰] مرتبہ جو شخص یہ اسم پڑھے اللہ تعالی اسے معزز و مستغنی بنا دیں گے ۔ جو شخص نماز فجر کے بعد یہ اسم اکتالیس [۴۱] مرتبہ پڑھتا ہے وہ انشاء اللہ کسی کا محتاج نہیں ہوگا ۔
109,2,الجَبَّارُ,Al-Jabbar,سب سے زبردست,وہ جو بگڑی کا بنانے والا ہے۔ وہ جو نامکمل کو مکمل کرنے والا ہے اور وہ جو اپنے بندوں سے اپنی منشاء کے مطابق کام لینے کی قدرت رکھتا ہے۔,جو شخص چاندی کی انگوٹھی پر یہ اسم نقش کراکر پہنے اس کی ہیبت و شوکت لوگوں پر ہوگی ۔ جو شخص روزانہ صبح و شام دو سو باسٹھ [۲۶۲] مرتبہ اس اسم کا ورد کرے وہ انشاء اللہ ظالموں کے قہر سے بچا رہے گا ۔
110,2,المُتَكَبِّرُ,Al-Mutakabbir,بڑائی اور بزرگی والا,وہ جس کی شان کبریائی پر شے میں ہر طرح سے نمایاں ہے۔,اگر کوئی شخص کسی کام کی ابتداء میں یہ اسم بکثرت پڑھے تو انشاء اللہ کامیابی حاصل ہوگی اور بکثرت ورد رکھنے والے کو اللہ تعالی عزت اور بڑائی عطا فرمائیں گے ۔
111,2,الخَالِقُ,Al-Khaliq,پیدا کرنے والا,وہ جو مناسب حال ، قوتوں اور صلاحیتوں سے آراستہ ، وجود بخشنے والا اور ہر چیز کا پیدا کرنے والا ہے۔,سات روز متواتر ایک سو [۱۰۰] مرتبہ [یا خالق] پڑھنے والا  انشاء اللہ تمام آفتوں سے بچ جائے گا ۔ اس اسم کا ورد رکھنے والے کا چہرہ ہمیشہ منور رہتا ہے ۔
112,2,البَارِئُ,Al-Bari,جان ڈالنے والا,وہ جس نے ہر چیز متناسب اور بے مثال تخلیق کی ہے۔,بانجھ عورت اگر سات روزے رکھے اور پانی سے افطار کرکے روزانہ اکیس مرتبہ [یا بارئ] پڑھے تو انشاء اللہ اولاد نصیب ہوگی ۔
113,2,المُصَوِّرُ,Al-Musawwir,صورت دینے والا,وہ ذات اقدس جو تمام ۔مخلوق کی صورت گری کرتا ہے,اولاد سے محروم عورت اگر سات روزے رکھے اور پانی سے افطار کرکے روزانہ اکیس مرتبہ [یا مصور] پڑھے تو اسے انشاء اللہ اولاد نصیب ہوگی ۔
