ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,AUDIO_PATH,PLACE_ID,SORT_ORDER,TYPE,FILE_NAME,REF_CAT_ID,REF_TRANS_ID,URDU_NAME,URDU_COUNT
11,Dua holding Hajar-e-Aswad,"After his, keeping the thought of Allah’s wrath in mind slowly proceed forward and on reaching Hajar-e Aswad raise both hands and praise Almighty Allah and recite salwaat on His Prophet Mohamed (S.A.W.) and his progeny and then recite the following ALLAHUMMA TAQABBAL MINIi:
If possible kiss Hajar-e-Aswad and if not, point at it and recite this: It has been authentically reported by Abi Abdillah (a.s.) that when you come close to the Black Stone, raise your hands, praise Allah, pray for the Holy Prophet and ask Allah to accept your acts of worship. Then hold the Black Stone and kiss it. If it is not possible to kiss it, just hold it by hand, and if even doing so is not possible, point at it and say","O Allah! I have discharged the trust reposed with me and fulfilled my promise so that You can be witness of my fulfillment. O Allah! I have brought faith in Your Book and the practices of Your Prophet (s.a.w.). I bear witness that there is no God except Allah, He is One and has no partner and that Muhammad is his servant and Messenger. I have faith in Allah and disbelieve in false gods, Laat and Uzza, the worship of devils, and all those who call for worship other than Allah",,,1,11,D,,,,,
12,Dua during Tawaf - 1,"It has been reported from Muawiyah bin Ammar, quoting Abi Abdillah (a.s.), as saying that, during tawaf, the following supplication be said:","O Allah! I beseech You by Your name which makes possible motion in the darkness of water as it does on land. I beseech You by Your Name which makes Your Arsh (Throne) swing. I beseech You by Your Name which puts in motion the feet of Your angels. I beseech You by Your name by which Moosa (Moses) supplicated to You on Mount Sinai and You granted his supplication and met him with love. I beseech You by Your name by which You granted immunity from sins to Muhammad  and completed Your bounty on him, treat me with (ask for your wishes",During Tawaf,,1,12,D,,,,,
13,Dua during Tawaf - 2,And say during tawaf:,"I am in need for Your mercy, fearful and seeking Your refuge. Do not change my body or my name",During Tawaf,,1,13,D,,,,,
14,Dua during Tawaf - 3,"Imam Sadiq (a.s.) has said that when Ali bin Hussein (a.s.) reached the Hijr (enclosure) of Ismail (a.s.) before reaching the Meezaab, he would raise his head and say while looking at the Meezaah:","O Allah! place me in Heaven by Your mercy, save me, by Your mercy, from the fire, protect me from evil, increase for me lawful sustenance, and save me from the viciousness of the jinn, men, Arabs and non-Arabs",Near Hijr e Ismail,,1,14,D,,,,,
15,Dua during Tawaf - 4,"It has been authentically reported from Abi Abdillah (a.s.) that when You reach the back of the Holy Ka’ba having passed the Hijr (enclosure), say:","O one of bounty, might, generosity and nobility, my devotions are weak, make them stronger and accept them from me, verily You are All-Hearing, All-knowing",After crossing Hijr e Ismail,,1,15,D,,,,,
16,Dua during Tawaf - 5,"It has been reported from Abul Hassan Ridha (a.s.) that on reaching the Rukn-ul-Yamaani, one should raise hands in supplication and say:","O Allah! O Controller of health and its Provider, One who grants it, One who bestows it as a reward or as a grace on me and all creation, O Merciful in this world and the Hereafter, shower Muhammad and his progeny with Your blessings, grant me health, lasting and complete and thankfulness for it, in this world and in the Hereafter, by Your mercy, O Most Merciful of the merciful.",On reaching Rukn-ul-Yamaani,,1,16,D,,,,,
17,Dua during Tawaf - 6,Then facing the front of Kaaba raising the hands say this:,,Facing front of Kaaba,,1,17,D,,,,,
18,Dua during Tawaf - 7,Read the following between Rukn-e-Yamaani and Hajar-e-Aswad:,,B/W Rukn-e-Yamaani & Hajar-e-Aswad,,1,18,D,,,,,
19,Dua during Tawaf - 8,"In the 7th round at Mustajar (behind Kaaba and a little before Rukh-e-Yamaani.) One must stop a little and spread both the hands on the walls of Kaaba and with the face and body touching the wall, should say the following dua:
Here one must ask for personal hajaats confess ones sins, etc.",,In 7th round at Mustajar,,1,19,D,,,,,
20,Dua during Tawaf - 9,And on reaching Hajar-e-Aswad supplicate the following:,,Reaching Hajar-e-Aswad,,1,20,D,,,,,
21,Dua during Tawaf - 10,Recommended in every round of tawaf to recite following while raising hands towards Hajr e Aswad,,Every round at Hajr e Aswad,,1,21,D,,,,,
22,Tawaf Dua for each Round,The Prayer of the First Turn,"O Allah! I call on Thee by They name, by which it is walked on the waves of the seas as it is walked on the roads of the land,
And I call on Thee by Thy name, for which Thy throne shakes,
And I call on Thee by They name, for which the feet of Thy angels tremble,
And I call on Thee by Thy name by which Moses prayed to thee from the side of the Mountain (of Toor) and Thou accepted his prayer and conferred Thy love on him,
And I call on Thee by Thy name by which Thou pardoned Muhammad, peace be upon him and his household, all his previous and future sins, and completed all thine blessings for him To provide me with the best of this world and the hereafter",Round 1,,1,22,D,,,,,
23,Tawaf Dua for each Round,The Prayer of the Second Turn,"O Allah!
I am Thy dependent servant, and I am fearful and take refuge in Thee; so do not alter my body nor change my name.
I am your beggar, your poor destitute servant at your gate; so grant me mercifully your paradise.
O Allah!
The House is Thy House, and the sanctuary is Thy sanctuary, and the servant is Thy servant,  and this is the station of him who turns to Thee and takes refuge with Thee from Fire; so save me and my parents, my children and my faithful brethren from Fire, for Thou art the Generous, the Gracious.",Round 2,,1,23,D,,,,,
24,Tawaf Dua for each Round,The Prayer of the Third Turn,"O Allah!
Grant me the paradise by Thy mercy, and give me refuge from Fire by Thy mercy, and heal me from disease,
and enlarge Thy lawful bounty for me, and keep me safe from the evil of the dissolute among the genies and men and the evil of the Arabs and non-Arabs.
O Thou bountiful, mighty and munificent!
My deed is little, so multiply it, and accept it from me; verily Thou art the All-hearing, the All-knowing.",Round 3,,1,24,D,,,,,
25,Tawaf Dua for each Round,The Prayer of the Fourth Turn,"O Allah!
The owner of well-being, the creator of well-being, the bestower of well-being, the granter of well-being, and the conferrer of well-being on me and on all Thy creatures,
O, Thou the merciful of this world and the hereafter and their compassionate God,
Bless Muhammad and his household, and bestow on us well-being, full well-being, and thanks giving on well-being in this world and the hereafter, by Thy mercy, O Thou most merciful.",Round 4,,1,25,D,,,,,
26,Tawaf Dua for each Round,The Prayer of the Fifth Turn,"Praise to Allah Who has honoured thee and exalted thee,
Praise to Allah Who sent Muhammad as a prophet and designated Ali as Imam and the leader.
O, Allah, Guide the best of Thy people to him, and keep the evil of Thy creatures away from him.
O our Lord, Grant us Thy blessing in this world and Thy blessing in the other world, and save us from the pain of Fire.",Round 5,,1,26,D,,,,,
27,Tawaf Dua for each Round,The Prayer of the Sixth Turn,"O Allah! The House is Thy House, and this is the station of him who takes refuge with Thee from Fire.
O Allah! All blessing, relief and well-being come from Thee.
O Allah! My deed is little, so multiply it for me, and forgive all that Thou knowest of me but has been hidden from Thy creatures. I take refuge with Allah from Fire.",Round 6,,1,27,D,,,,,
28,Tawaf Dua for each Round,The Prayer of the Seventh Turn,"O Allah! I bear crowds of sins and crowds of faults, and with thee are crowds of blessing and crowds of forgiveness.
O Thou Who granted the request of Thy most hated creatures when he said “give me respite until the day they are resurrected,” grant me my request. When he said,” Give me time to the day of resurrection, accept from me.
O Allah! Make me content with what you have provided me with, and bless me with what you have given me.",Round 7,,1,28,D,,,,,
29,Other Tawaf Dua for each Round,The Prayer of the First Turn,,Round 1,,1,29,D,,,,,
30,Other Tawaf Dua for each Round,The Prayer of the Second Turn,,Round 2,,1,30,D,,,,,
31,Other Tawaf Dua for each Round,The Prayer of the Third Turn,,Round 3,,1,31,D,,,,,
32,Other Tawaf Dua for each Round,The Prayer of the Fourth Turn,,Round 4,,1,32,D,,,,,
33,Other Tawaf Dua for each Round,The Prayer of the Fifth Turn,,Round 5,,1,33,D,,,,,
34,Other Tawaf Dua for each Round,The Prayer of the Sixth Turn,,Round 6,,1,34,D,,,,,
35,Other Tawaf Dua for each Round,The Prayer of the Seventh Turn,,Round 7,,1,35,D,,,,,
36,Dua after Tawaf Salaat,"In tawaf prayer, it is recommended that after the recitation of the Chapter of Fatihah, in the first raka’a be said the Chapter of Tawheed and in the second raka’a the Chapter of Kafiroon. On completion of the prayer, one must praise Allah, pray for Muhammad and his progeny (a.s.) and pray for the acceptance of one’s efforts. 
On completing Namaz-e-tawaf say this:","In the name of  Allah the Merciful
O Allah, accept me and do not make it the last covenant with me. Praise be to God, all of them, until the praise ends to what he loves and is satisfied, may God bless Muhammad and the family of Muhammad(pbuh)",Namaz,,1,36,D,,,,,
37,Dua in Sajdah,It has been reported from Imam as-Sadiq (a.s.) that he would say in sajdah after the prayer the following:,,After Tawaf Salaat,,1,37,D,,,,,
38,Dua to drink water from Zamzam,"It is recommended to drink water from Zamzam before departing to Safa and say:  (O Allah! grant me useful knowledge, abundant sustenance and spare me all sickness and evil). If possible, on completing the prayer after tawaf, one should draw a bucket or two of water from Zamzam, drink a little and pour a little on the head, back and body and say the supplication mentioned above. Then one must proceed to the Black Stone and from there to Safa.","O Allah! grant me useful knowledge, abundant sustenance and spare me all sickness and evil",Before departing to Safa,,1,38,D,,,,,
39,Courtesies in Saee,,,Depart to Mount Safa,,1,39,N,"<html>
<head>
    <style type=""text/css"">

    </style>
</head>
<style type=""text/css"">
      @font-face {
         font-family: MyFont;
        src: url(""file:///android_asset/gotham_book.ttf"")
      }
      body {
         font-family: MyFont;
      }
    </style>

    <style type=""text/css"">
      @font-face {
         font-family: MyFontArabic;
        src: url(""file:///android_asset/pdms_saleem.ttf"")
      }
    </style>

<body bgcolor=""#E5EADF"" style=""line-height: 130%; font-size: 16pt; "">

    <p class=""style22"">
        <strong>Courtesies in Saee</strong></p>
    <p class=""style1"">
        It is recommended to depart to Safa, with peace and serenity, by the door facing the Black Stone. On arrival, one must look at the Holy Ka’ba and concentrate on the corner with the Black Stone, praise Allah, narrate His bounties, chant 
        Allahu Akbar, Al-Hamdulillah and La ilaha ilallah (seven times each)</p>
        
    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اللهُ اكْبَرُ (Seven times)</p> 
    
    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اَلحَمْدُ للهِ (Seven times)</p> 
        
    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        لا اِلهَ اِلاَّ اللهُ (Seven times)</p>         
        
    <p class=""style1"">and then say thrice: </p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        لا إلهَ إلّا اللّهُ وَحْدَهُ لا شَرِيكَ لَهُ، لَهُ المُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيْتُ وَهُوَ حَيّ لا يَمُوتُ بِيَدِهِ الْخَيْرُ وَهُوَ عَلى‏ كُلّ شَيْ‏ءٍ قَدِيرٌ</p>

    <p class=""style1"" style=""font-style: italic"">
        &quot;There is no God except Allah, He is One without any partner. All property belongs to Him and all praise is due to Him. He gives life and takes it away; He has always been alive and will never die. All goodness emanates from Him and He is powerful over all things&quot;</p>
    <p class=""style1"">
        Then read salwaat 3 times and read the following also 3 times:</p>
     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اَللّهُ أَکْبَرُ عَلى ما هَدانا، وَ الْحَمْدُلِلّهِ عَلى ما اَبْلانا، وَ الْحَمْدُلِلّهِ الْحَىِّ القَیُّومِ، وَ الْحَمْدُلِلّهِ الْحَىِّ الدّآئمِ</p>

    <p class=""style1"" style=""font-style: italic"">
        &quot;Allah is Great: He has granted us guidance. All praise is to Allah; He has showered us with bounties. All praise to Allah who is Living and Eternal and all praise is ever due to Him&quot;</p>

     <p class=""style1"">and then say thrice: </p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اَشْهَدُ اَنْ لا إِلهَ إِلاَّ اللّهُ، وَ اَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَ رَسُولُهُ، لا نَعْبُدُ إلاّ إیّاهُ، مُخْلِصینَ لَهُ الدّینَ، وَ لَوْ کَرِهَ المُشْرِکُونَ</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;I bear witness that there is no God except Allah, and I bear witness that Muhammad is His servant and Messenger. We do not worship anyone except Him, sincere in our faith, however averse may the polytheists be&quot;</p>


    <p class=""style1"">and then say thrice: </p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        أَللّهُمَّ إنّی أسْئَلُکَ الْعَفْوَ وَ الْعافِیَةَ، وَالیَقینَ فی الدُّنْیا وَالآخِرَةِ</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;O Allah! I beseech You for forgiveness, health, and firmness in faith in this world and the Hereafter&quot;</p>


    <p class=""style1"">and then say thrice: </p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اَللّهُمَّ آتِنا فِی الدُّنْیا حَسَنَةً، وَ فِی الآخِرَةِ حَسَنَةً، وَ قِنا عَذابَ النّارِ</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;O Allah! grant us the virtues of this world and the Hereafter and spare us the fire of Hell&quot;</p>

    <p class=""style1"">Then say this one hundred (100) times:</p>
    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اللهُ اكْبَرُ (Seven times)</p> 
    
    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        لا اِلهَ اِلاَّ اللهُ (Seven times)</p>  

    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        اَلحَمْدُ للهِ (Seven times)</p> 

    <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        سُبْحانَ اللّهِ (Seven times)</p> 
    
    <p class=""style1"">Then recite this:</p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
       لا إِلهَ إِلاَّ اللّهُ، وَحْدَهُ وَحْدَهُ، أنْجَزَ وَعْدَهُ، و نَصَرَ عَبْدَهُ، وَ غَلَبَ الأَحْزابَ وَحْدَهُ، فَلَهُ المُلْکُ وَ لَهُ الْحَمْدُ وَحْدَهُ، اَللّهُمَّ بارِکْ لی فی الْمَوْتِ، وَ فیما بَعْدَالمَوتِ، اَللّهُمَّ إِنّی اَعُوذُ بِکَ مِنْ ظُلْمَةِ الْقَبْرِ وَ وَحْشَتِهِ، اَللّهُمَّ اَظِلَّنی فی ظِلِّ عَرْشِکَ، یَوْمَ لاظِلَّ إلاّ ظِلُّکَ</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;There is no God but Allah, He is only One, He has accomplished His promise, He has helped His servant and singly overpowered the groups of infidels. All property belongs to Him and all praise is due to Him, Him alone. O Allah! bless my death and what happens after it. O Allah! I seek refuge from the darkness and loneliness of the grave. O Allah! grant me shelter under the shade of Your Throne on the day when there will be no shelter except Yours&quot;</p>

    <p class=""style1"">Then recite this:</p>

     <p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
      اَسْتَوْدِعُ اللّهَ الرَّحْمنَ الرَّحیمَ الَّذی لاتَضیعُ وَدایِعَهُ، دینی وَ نَفْسی وَ أَهْلی. اَللّهُمَّ اسْتَعْمِلْنی عَلى کِتابِکَ، وَ سُنَّةِ نَبِیِّکَ، وَ تَوَفَّنی عَلى مِلَّتِهِ، وَ اَعِذْنی مِنَ الْفِتْنَةِ</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;I leave my religion, myself and family in the hands of Allah, the Merciful, the Beneficent, who does not let anything deposited with him to be lost. O Allah! keep me steadfast in following Your Book and the practices of Your Prophet, keep me among his followers until my death and save me from dissension&quot;</p>

    <p class=""style1"">
       And then 3 times: ALLAHU AKBER and repeat the above supplication twice. Then chant takbeer and repeat the supplication. If it is not possible to perform all this, one may say a portion of it </p>


<p class=""style1"">
        It has been reported from Imam Ali (a.s.) that when one climbs the Safa, one must face the Holy Ka’ba, raise one’s hands in supplication and say:</p>

<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
      اَللّهُمَّ اغْفِرْ لی کُلَّ ذَنْب أذْنَبْتُهُ قَطُّ، فَإِنْ عُدْتُ فَعُدْ عَلَىَّ بِالْمَغْفِرةِ، فَإِنَّکَ أنْتَ الغَفُورُ الرَّحیمُ. اَللّهُمَّ افْعَلْ بی ما أَنْتَ أَهْلُهُ، فَإِنَّکَ إِنْ تَفْعَلْ بی ما أنْتَ أهْلُهُ تَرْحَمْنی، وَ إِنْ تُعَذِّبْنی فَأَنْتَ غَنِىٌّ عَنْ عَذابی، وَ أَنَا مُحْتاجٌ إلى رَحْمَتِکَ، فَیامَنْ اَنَا مُحْتاجٌ إلى رَحْمَتِهِ إرْحَمْنی. اَللّهُمَّ لاتَفْعَل بی ما اَنَا اَهْلُهُ، فَإِنَّکَ إنْ تَفْعَلْ بی ما اَنَا أهْلُهُ تُعَذِّبْنی وَ لم تَظْلِمْنی، اَصْبَحْتُ اَتَّقی عَدْلَکَ وَ لاأَخافُ جَوْرَکَ، فَیامَنْ هُوَ عَدْلٌ لا یَجُورُ اِرْحَمْنی</p>

     <p class=""style1"" style=""font-style: italic"">
        &quot;O Allah! forgive all my sins whenever I may have committed them and if I repeat them, forgive me again, for You are Forgiving and Merciful. O Allah! deal with me as it befits You and if You would do so, You would have mercy on me. You are free from any need to punish me but I am in need of Your mercy, have mercy on me O Allah! do not deal with me as I deserve, for if You do so, You will punish me without being unjust to me. I fear Your justice but have no fear of injustice from You. O One who is absolutely Just, have mercy on me </P>

<p class=""style1"">
        It has been reported from Abi Adillah (a.s.) that if one seeks to increase one’s wealth, one should wuqufat Safa longer. It is recommended to perform the sa’y by walking in peace and dignity. When men reach the first minaret, they should hasten the pace till the location of the second minaret. There is no such recommendation for women. Then one should continue to walk with peace and awe till one arrives at Marwah where one should repeat what was done at Safa and return from Marwah to Safa in the same manner. </p>

<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
      بِسْمِ اللّهِ وَبِاللّهِ، وَاللّهُ أكْبَرُ، وَصَلّىَ اللّهُ عَلى‏ مُحَمّدٍ وَأهْلِ بَيْتِهِ، اللهُمّ اغْفِرْ وَارْحَمْ وَتَجاوُزْ عَمّا تَعْلَمْ إنّكَ أنْتَ الأعَزّ الأجَلّ ‏الأكْرَمُ، وَاهْدِني لِلّتي هِيَ أقْوَمُ اللّهُمّ إنّ عَمَلي ضَعيفٌ، فَضاعِفْهُ لي وَتَقَبّلْهُ مِنّي، اللهُمّ لَكَ سَعْيي، وَبِكَ حَوْلي وَقُوّتي تَقَبّلْ مِنّي ‏عَمَلي يا مَنْ يَقْبَلُ عَمَلَ الْمُتّقينَ</p>

<p class=""style1"">
    On going beyond the second (green) pillar say the following:</p>

<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
       يا ذَاالْمَنّ وَالْفَضْلِ وَالْكَرَمِ وَالنّعْماءِ وَالْجُودِ اغْفِرْ لي ذنُوبي، اِنّهُ لا يَغْفِرُ الذّنُوبَ الّا أنْتَ</p>
<p class=""style1"">
    And on reaching Marwa (hill) recite all the duas which have been mentioned for Safaa and say this dua too:</p>
 
<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
       اللهُمّ يا مَنْ أمَرَ بِالْعَفْوِ يا مَنْ يُحِبّ الْعَفْوَ يا مَنْ يُعْطي عَلَى الْعَفْوِ، يا مَنْ يَعْفُو عَلَى الْعَفْوِ يا رَبّ الْعَفْوِ، الْعَفْوَ الْعَفْوَ الْعَفْوَ</p>

<p class=""style1"">
    During Saee one must cry and recite this throughout:</p>
 
<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
       اللهُمّ إنّي أسْأَلُكَ حُسْنَ الظّنّ بِكَ عَلى‏ كُلّ حالٍ وَصِدْقِ النّيّةِ في التّوَكّلِ عَلَيْكَ</p>

<p class=""style1"">
    After this one should go to perform Saee and at Safaa (Hill) facing Khana-e-kaaba say 7 times:</p>

<p class=""style1"" align=""left"" 
        style=""font-family: MyFontArabic; font-size: 30pt; text-align: justify;  line-height: 150%;"">
        لا اِلهَ اِلاَّ اللهُ (Seven times)</p> 
                        
</body>
</html>",,,,
