ID,NAME,DESCRIPTION,TRANSLATION,NAME_1,AUDIO_PATH,MASTER_ID,SORT_ORDER,URDU_TITLE,PERSIAN_TITLE,ARABIC_TITLE,HINDI_TITLE,FRENCH_TITLE,TYPE,FILE_NAME,REF_CAT_ID,REF_TRANS_ID,URDU_NAME,URDU_COUNT
21,In Sorrow,His Supplication when Something Made him Sorrow and Offenses Made him Worry,"1- O God,
O Sufficer of the isolated and weak
and Protector against terrifying affairs!
Offenses have isolated me,
so there is none to be my companion.
I am too weak for Thy wrath
and there is none to strengthen me.
I have approached the terror of meeting Thee
and there is none to still my fear.

2- Who can make me secure from Thee
when Thou hast filled me with terror?
Who can come to my aid
when Thou hast isolated me?
Who can strengthen me
when Thou hast weakened me?

3- None can grant sanctuary to a vassal, my God, but a lord,
none can give security to one dominated
but a dominator,
none can aid him from whom demands are made
but a demander.

4- In Thy hand, my God, is the thread of all that,
in Thee the place of escape and flight,
so bless Muhammad and his Household,
give sanctuary to me in my flight,
and grant my request!

5- O God, if Thou shouldst turn Thy generous face away from me,
withhold from me Thy immense bounty,
forbid me Thy provision,
or cut off from me Thy thread,
I will find no way to anything of my hope
other than Thee
nor be given power over what is with Thee
through another's aid,
for I am Thy servant and in Thy grasp;
my forelock is in Thy hand.1

6- I have no command along with Thy command.
Accomplished is Thy judgement of me,
just Thy decree for me!'2
I have not the strength to emerge from Thy authority
nor am I able to step outside Thy power.
I cannot win Thy inclination,
arrive at Thy good pleasure,
or attain what is with Thee
except through obeying Thee
and through the bounty of Thy mercy.

7- O God,
I rise in the morning and enter into evening
as Thy lowly slave.
I own no profit and loss for myself
except through Thee.
I witness to that over myself
and I confess to the frailty of my strength
and the paucity of my stratagems.
So accomplish what Thou hast promised me
and complete for me what Thou hast given me,
for I am Thy slave,
miserable, abased, frail, distressed, vile,
despised, poor, fearful,
and seeking sanctuary!

8- O God, bless Muhammad and his Household
and let me not forget to remember Thee in what Thou hast done for me,
be heedless of Thy beneficence in Thy trying me,
or despair of Thy response to me,
though it keep me waiting,
whether I be in prosperity or adversity,
hardship or ease,
well-being or affliction,
misery or comfort,
wealth or distress,
poverty or riches!

9- O God, bless Muhammad and his Household,
make me laud Thee, extol Thee, and praise Thee in all my states
so that I rejoice not over what Thou givest me of this world
nor sorrow over that of it which Thou withholdest from me!
Impart reverential fear of Thee to my heart,
employ my body in that which Thou acceptest from me,
and divert my soul through obedience to Thee
from all that enters upon me,
so that I love nothing that displeases Thee
and become displeased at nothing that pleases Thee!

10- O God,
bless Muhammad and his Household,
empty my heart for Thy love,
occupy it with remembering Thee,
animate it with fear of Thee and quaking before Thee,
strengthen it with beseeching Thee,
incline it to Thy obedience,
set it running in the path most beloved to Thee,
and subdue it through desire for what is with Thee
all the days of my life!

11- Let my provision in this world
be reverential fear of Thee,3
my journey be toward Thy mercy,
and my entrance
be into Thy good pleasure!
Appoint for me a lodging
in Thy Garden,
give me strength to bear
everything that pleases Thee,
make me flee to Thee
and desire what is with Thee,
clothe my heart in estrangement
from the evil among Thy creatures,
and give me intimacy with Thee,
Thy friends,
and those who obey Thee!

12- Assign to no wicked person or unbeliever
a kindness toward me
or a hand that obliges me,
nor to me a need for one of them!
Rather make
the stillness of my heart,
the comfort of my soul,
my independence and my sufficiency
lie in Thee and the best of Thy creatures!

13- O God, bless Muhammad and his Household,
make me their comrade,
make me their helper,
and oblige me with yearning for Thee
and doing for Thee what Thou lovest and approvest!
Thou art powerful over everything4
and that is easy for Thee.",(Supplication - 21),sajjadiyya_21.mp3,1,21,رنج و اندوہ کے موقع کی دعا,دعای برای زمان هجوم غم و اندوه و نگرانی از گناه,21-  دُعَاؤُهُ إِذَا حَزَنَهُ أَمْرٌ.,जब किसी बात से ग़मगीन या गुनाहों की वजह से परेषान होते तो यह दुआ पढ़ते,Regret de ses erreurs,D,,,,,
22,In Hardship,"His Supplication in Hardship, Effort, and Difficult Affairs","1- O God, Thou hast charged me concerning myself
with that which belongs more to Thee than to me.
Thy power over it and over me is greater than my power,
so give me in myself what will make Thee pleased with me
and take for Thyself Thy good pleasure in my self's well-being!

2- O God, I have no endurance for effort,
no patience in affliction,
no strength to bear poverty.
So forbid me not my provision
and entrust me not to Thy creatures,
but take care of my need alone
and Thyself attend to sufficing me!

3- Look upon me and look after me in all my affairs,
for if Thou entrustest me to myself,
I will be incapable before myself and fail to undertake that in which my best interest lies.
If Thou entrustest me to Thy creatures,
they will frown upon me,
and if Thou makest me resort to my kinsfolk,
they will refuse to give to me;
if they give, they will give little and in bad temper,
making me feel long obliged
and blaming me much.

4- So through Thy bounty, O God, free me from need,
through Thy mightiness, lift me up,
through Thy boundless plenty, open my hand,
and with that which is with Thee, suffice me!

5- O God,
bless Muhammad and his Household,
rid me of envy,
encircle me against sins,
make me abstain from things unlawful,
give me not the boldness of disobedient acts,
assign me love for that which is with Thee
and satisfaction with that which comes to me from Thee,
bless me in
that which Thou providest me,
that which Thou conferrest upon me,
and that through which Thou favourest me,
and make me in all my states
safeguarded, watched,
covered, defended,
given refuge, and granted sanctuary!

6- O God,
bless Muhammad and his Household
and let me accomplish everything which
Thou hast enjoined upon me
or made obligatory for me toward Thee,
in one of the ways of Thy obedience,
or toward one of Thy creatures,
though my body be too frail for that,
my strength too feeble,
my power not able to reach it,
and my possessions and what my hand owns
not encompass it,
and whether I have remembered it or forgotten it.

7- It, my Lord, is among that which Thou hast counted against me
while I have been heedless of it in myself.
Let me perform it
through Thy plentiful giving
and the abundance which is with Thee
- for Thou art Boundless, Generous –
so that nothing of it may remain against me,
lest Thou wouldst wish
to settle accounts for it from my good deeds
or to compound my evil deeds
on the day I meet Thee, my Lord!

8- O God,
bless Muhammad and his Household
and provide me with desire to serve Thee for the sake of my state in the hereafter,
such that I know the truthfulness of that [desire] in my heart,
be dominated by renunciation while in this world,
do good deeds with yearning,
and remain secure from evil deeds in fright and fear!
And give me a light whereby I may walk among the people,1
be guided in the shadows,
and seek illumination in doubt and uncertainty!

9- O God,
bless Muhammad and his Household
and provide me with fear of the threatened gloom
and yearning for the promised reward,
such that I may find
the pleasure of that for which I supplicate Thee
and the sorrow of that from which I seek sanctuary in Thee!

10- O God,
Thou knowest what will set my affairs right
in this world and the next,
so be ever gracious toward my needs!

11- O God, bless Muhammad and Muhammad's Household
and provide me with what is Thy right when I fall short in thanking Thee
for that through which Thou hast favoured me
in ease and difficulty,
health and sickness,
such that I may come to know in myself
repose in satisfaction
and serenity of soul
in that which Thou hast made incumbent upon me
in whatever states may occur: fear and security,
satisfaction and displeasure,
loss and gain!

12- O God, bless Muhammad and his Household
and provide me with a breast safe from envy,
such that I envy none of Thy creatures
and in anything of Thy bounty
and such that I see none of Thy favours
toward any of Thy creatures
in religion or this world, well-being or reverential fear, plenty or ease,
without hoping for myself better than it
through and from Thee alone,
who hast no associate!

13- O God,
bless Muhammad and his Household
and provide me in this world and the next
with caution against offenses
and wariness against slips
in the state of satisfaction and wrath,
such that I may
remain indifferent toward that which enters upon me
from the two states,2
work toward Thy obedience,
and prefer it and Thy good pleasure over all else
in both friends and enemies.
Then my enemy may stay secure
from my wrongdoing and injustice
and my friend may despair of my inclination
and the bent of my affection.

14- Make me one of those who supplicate Thee with sincerity in ease
with the supplication of those
who supplicate Thee with sincerity in distress!

Verily Thou art Praiseworthy, Glorious.",(Supplication - 22),sajjadiyya_22.mp3,1,22,شدت و سختی کے وقت کی دعا,دعا برای سختی و دشواری امور,22-  دُعَاؤُهُ عِنْدَ الشِّدَّةِ.,शिददत व सख्ती के वक़्त की दुआ,Lors des difficultés,D,,,,,
23,For Well-Being,His Supplication when he Asked God for Well-Being and Thanked Him for it,"1- O God,
bless Muhammad and his Household,
clothe me in Thy well-being,
wrap me in Thy well-being,
fortify me through Thy well-being,
honour me with Thy well-being,
free me from need through Thy well-being,
donate to me Thy well-being,
bestow upon me Thy well-being,
spread out for me Thy well-being,
set Thy well-being right for me,
and separate me not from Thy well-being
in this world and the next!

2- O God,
bless Muhammad and his Household
and make me well with a well-being sufficient, healing, sublime, growing,
a well-being that will give birth to well-being in my body,
a well-being in this world and the next!

3- Oblige me through
health, security, and safety
in my religion and body,
insight in my heart,
penetration in my affairs,
dread of Thee, fear of Thee,
strength for the obedience
which Thou hast commanded for me,
and avoidance of the disobedience
which Thou hast prohibited for me!

4- O God,
oblige me through
the hajj,
the umra,1
and visiting the graves of Thy Messenger
(Thy blessings, mercy, and benedictions upon him and upon his Household)
and the Household of Thy Messenger (upon them be peace)
for as long as Thou causest me to live,
in this year of mine and in every year,
and make that accepted, thanked, and mentioned before Thee
and stored away with Thee!

5- Make my tongue utter Thy praise, Thy thanksgiving,
Thy remembrance, and Thy excellent laudation,
and expand my heart
toward the right goals of Thy religion!

6- Give me and my progeny refuge from
the accursed Satan,
the evil of venomous vermin, threatening pests,
swarming crowds, and evil eyes,
the evil of every rebel satan,2
the evil of every refractory sovereign,
the evil of everyone living in ease and served,
the evil of everyone weak or strong,
the evil of everyone born high or low,
the evil of everyone small or great,
the evil of everyone near or far,
the evil of everyone, jinn or man, who declares war on Thy Messenger and his Household,

and the evil of every crawling creature
that Thou hast taken by the forelock!
Surely Thou art on a straight path.3

7- O God,
bless Muhammad and his Household
and if someone desires ill for me
turn him away from me,
drive away from me his deception,
avert from me his evil, send his trickery back to his own throat,

8- and place before him a barricade,
so that Thou mayest blind his eyes toward me,
deafen his ears toward my mention,
lock his heart toward recalling me,
silence his tongue against me,
restrain his head, abase his exaltation,
break his arrogance, abase his neck, disjoint his pride,

and make me secure from all his injury,
his evil, his slander,
his backbiting, his faultfinding,
his envy, his enmity,
his snares, his traps,
his foot soldiers, and his cavalry!
Surely Thou art Mighty, Powerful!",(Supplication - 23),sajjadiyya_23.mp3,1,23,طلب عافیت کی دعا,دعا برای عافیت و شکر بر آن,23-  دُعَاؤُهُ بِالْعَافِيَةِ.,जब आफ़ियत तलब करते और उस पर शुक्र अदा करते तो यह दुआ पढ़ते की दुआ,Santé,D,,,,,
24,For his Parents ,His Supplication for his Parents (upon the two of them be peace) ,"1- O God, bless Muhammad, Thy slave and Thy messenger,
and his Household, the pure,
and single them out for the best of Thy blessings, Thy mercy,
Thy benedictions, and Thy peace!

2- And single out my parents, O God,
for honour with Thee and blessings from Thee,
O Most Merciful of the merciful!

3- O God,
bless Muhammad and his Household,
teach me through inspiration knowledge of everything incumbent upon me toward them,
and gather within me
knowledge of all that completely!
Then make me act in accordance
with what Thou hast inspired me
and give me the success to put into practice
the knowledge Thou hast shown to me,
lest I fail to act
according to something Thou hast taught me
or my limbs feel too heavy to perform
that with which Thou hast inspired me!

4- O God, bless Muhammad and his Household,
as Thou hast ennobled us through him,
and bless Muhammad and his Household,
as Thou hast made incumbent upon us
rights toward the creatures because of him!1

5- O God,
fill me with awe of my parents,
the awe one has toward a tyrannical sovereign,
and let me be devoted to them,
with the devotion of a compassionate mother!
Make my obedience and devotion to them
more gladdening to my eyes than sleep to the drowsy
and more refreshing to my breast than drink to the thirsty,
so that I may prefer their inclination to my inclination,
set their satisfaction before my satisfaction,
make much of their devotion to me though it be little,
and make little of my devotion to them though it be great.

6- God, lower before them my voice,
make agreeable to them my words,
make mild before them my temper,
make tender toward them my heart,
and turn me into their kind companion,
their loving friend!

7- O God,
thank them for my upbringing,
reward them for honouring me,
and guard them as they guarded me in my infancy!

8- O God, and whatever harm has touched them from me,
detested thing has reached them from me,
or right of theirs which has been neglected by me,
allow it to alleviate their sins,
raise them in their degrees,
and add to their good deeds!
O He who changes evil deeds into manifold good deeds!2

9- O God, whatever word through which they have transgressed against me,
act through which they have been immoderate with me,
right of mine which they have left neglected,
or obligation toward me in which they have fallen short,
I grant it to them and bestow it upon them,
and I beseech Thee
to remove from them its ill consequence,
for I do not accuse them concerning myself,
find them slow in their devotion toward me,
or dislike the way they have attended to my affairs, my Lord!

10- They have rights against me which are more incumbent,
precedence in beneficence toward me that is greater,
and kindness toward me that is mightier
than that I should settle accounts with justice
or repay them with equivalents.
Where then, my God, would be their long occupation
with bringing me up?
Where the hardship of their toil
in taking care of me?
Where the stinting of themselves
to provide me with plenty?

11- What an idea!
I can never discharge their right against me,
fulfil my obligations toward them,
or accomplish the duty of serving them.
So bless Muhammad and his Household
and help me, O Best of those whose help we seek!
Give me success, O Most Guiding of those whom we beseech!
Place me not among the people of disrespect to fathers and mothers
on the day when every soul will be repaid
for what it has earned,
they shall not be wronged.3

12- O God,
bless Muhammad, his Household, and his progeny
and single out my parents for the best
which Thou hast singled out for the fathers and mothers of Thy faithful servants,
O Most Merciful of the merciful!

13- O God,
let me not forget to remember them after my ritual prayers,
at every time throughout my night,
and in each of the hours of my day!

14- O God,
bless Muhammad and his Household,
forgive me through my supplication for my parents,
forgive them through their devotion toward me
with unfailing forgiveness,
be well pleased with them through my intercession for them
with resolute good pleasure,
and make them reach through Thy generosity
the abodes of safety!

15- O God,
if Thy forgiveness reaches them first,
make them my intercessors,
and if Thy forgiveness reaches me first,
make me their intercessors,
so that we may gather together through Thy gentleness
in the house of Thy generosity
and the place of Thy forgiveness and mercy!
Verily Thou art Possessor of abounding bounty
and ancient kindness,
and Thou art the Most Merciful of the merciful!",(Supplication - 24),sajjadiyya_24.mp3,1,24,والدین کے حق میں دعا,دعا برای پدر و مادر,24-  دُعَاؤُهُ لِأَبَوَيْهِ.,वालेदैन के हक़ में दुआ,Parents,D,,,,,
25,For his Children,His Supplication for his Children,"1- O God, be kind to me through
the survival of my children, setting them right for me,
and allowing me to enjoy them!

2- My God, make long their lives for me,
increase their terms,
bring up the smallest for me,
strengthen the weakest for me,
rectify for me
their bodies, their religious dedication,
and their moral traits,
make them well in their souls, their limbs,
and everything that concerns me of their affair,
and pour out for me and upon my hand
their provisions!

3- Make them pious, fearing,
insightful, hearing, and obedient
toward Thee,
loving and well-disposed toward Thy friends,
and stubbornly resistant and full of hate
toward all Thy enemies!
Amen!

4- O God,
through them
strengthen my arm,
straighten my burdened back,
multiply my number,
adorn my presence,
keep alive my mention,
suffice me when I am away,
help me in my needs,
and make them
loving toward me,
affectionate, approaching, upright,
obedient, never disobedient, disrespectful,
opposed, or offenders!

5- Help me in their upbringing,
their education, and my devotion toward them,
give me among them from Thyself male children,
make that a good for me,
and make them a help for me
in that which I ask from Thee!

6- Give me and my progeny refuge from the accursed Satan,
for Thou hast created us, commanded us, and prohibited us,
and made us desire the reward of what Thou hast commanded, and fear its punishment!
Thou assigned to us an enemy who schemes against us,
gave him an authority over us in a way that Thou didst not give us authority over him,
allowed him to dwell in our breasts
and let him run in our blood vessels;
he is not heedless, though we be heedless,
he does not forget, though we forget;
he makes us feel secure from Thy punishment
and fills us with fear toward other than Thee.

7- If we are about to commit an indecency,
he gives us courage to do so,
and if we are about to perform a righteous work,
he holds us back from it.
He opposes us through passions,1
and sets up for us doubts.
If he promises us, he lies,
and if he raises our hopes, he fails to fulfil them.
If Thou dost not turn his trickery away from us,
he will misguide us,
and if Thou dost not protect us from his corruption, he will cause us to slip.

8- O God,
so defeat his authority over us through Thy authority,
such that Thou holdest him back from us
through the frequency of our supplication to Thee
and we leave his trickery and rise up among those preserved by Thee from sin!

9- O God, grant me my every request,
accomplish for me my needs,
withhold not from me Thy response
when Thou hast made Thyself accountable for it to me,2
veil not my supplication from Thyself, when Thou hast commanded me to make it,3
and be kind to me through everything that will set me right in this world and the next,
in everything that I remember or forget,
display or conceal,
make public or keep secret!

10- In all of this, place me through my asking Thee among those who set things right,
those who are answered favourably when they request from Thee
and from whom is not withheld
when they put their trust in Thee,

11- those accustomed to seek refuge in Thee,
those who profit through commerce with Thee,
those granted sanctuary
through Thy might,
those given lawful provision in plenty from Thy boundless bounty
through Thy munificence and generosity,
those who reach exaltation after abasement
through Thee,
those granted sanctuary from wrong
through Thy justice,
those released from affliction through Thy mercy,
those delivered from need after poverty through Thy riches,
those preserved from sins, slips, and offenses
through reverential fear toward Thee,
those successful in goodness, right conduct, and propriety through obeying Thee,
those walled off from sins through Thy power,
the refrainers from every act of disobedience toward Thee,
the dwellers in Thy neighbourhood!

12- O God, give me all of that through Thy bestowal of success and Thy mercy,
grant us refuge from the chastisement of the burning,
and give to
all the Muslims, male and female,
and all the faithful, male and female,
the like of what I have asked for myself and my children,
in the immediate of this world
and the deferred of the next!
Verily Thou art the Near, the Responder,
the All-hearing, the All-knowing,
the Pardoner, the Forgiving,
the Clement, the Merciful!

13- And give to us in this world good,
and in the next world good,
and protect us from the chastisement of the Fire!",(Supplication - 25),sajjadiyya_25.mp3,1,25,اولاد کے حق میں حضرت کی دعا,دعای پدر و مادر درباره فرزندان,25-  دُعَاؤُهُ لِوُلْدِهِ.,औलाद के हक़ में दुआ,Enfants,D,,,,,
26,For his Neighbours and Friends,His Supplication for his Neighbours and Friends when he Mentioned them,"1- O God, bless Muhammad and his Household
and attend to me with Thy best attending
in my neighbours and friends
who recognize our right1
and war against our enemies!

2- Give [my neighbours and friends] success in
performing Thy prescriptions
and taking on the beauties of Thy courtesy through
acting gently with their weak,
remedying their lacks, visiting their sick,
guiding their seeker of right guidance,
giving good counsel to their seeker of advice,
attending to the one among them who returns from travel,
hiding their secrets, covering over their shameful things,
helping their wronged,
sharing kindly with them in goods,
turning toward them with wealth and bestowal of bounty,
and giving what is due to them before they ask!

3- Let me, O God, repay their evildoer
with good-doing,
turn away from their wrongdoer with forbearance.
have a good opinion of every one of them,
attend to all of them with devotion,
lower my eyes before them in continence,
make mild my side toward them
in humility,
be tender toward the afflicted among them
in mercy,
make them happy in absence through affection,
love that they continue to receive favour
through good will,
grant them what I grant my next of kin,
and observe for them
what I observe for my special friends!

4- O God,
bless Muhammad and his Household,
provide me the like of that from them,
appoint for me the fullest share of what is with them,
increase them in insight toward my right
and knowledge of my excellence
so that they will be fortunate through me and I fortunate through them!
Amen, Lord of the worlds!",(Supplication - 26),sajjadiyya_26.mp3,1,26,ہمسایوں اور دوستوں کے لیے دعا,دعا برای همسایه ها و دوستان,26-  دُعَاؤُهُ لِجِيرَانِهِ وأَوْلِيَائِهِ.,जब हमसायों और दोस्तों को याद करते तो यह दुआ फ़रमाते,Voisins et amis,D,,,,,
27,For the People of the Frontiers,His Supplication for the People of the Frontiers (Ahl- Thughoor),"1- O God,
bless Muhammad and his Household,
fortify the frontiers of the Muslims through Thy might,
support their defenders through Thy strength,
and lavish upon them gifts through Thy wealth!

2- O God, bless Muhammad and his Household,
increase their number, hone their weapons, guard their territory,
defend their midst, unite their throng,
arrange their affair,
send them supplies in a steady string,
undertake Thyself to suffice them with provisions,
support them with victory, help them with patience,
and give them subtlety in guile!1

3- O God,
bless Muhammad and his Household,
give them the knowledge of that of which they are ignorant,
teach them what they do not know,
and show them what they do not see!

4- O God,
bless Muhammad and his Household,
make them forget when they meet the enemy
to remember this cheating and delusive world of theirs,
erase from their hearts the thought of enchanting possessions,
place the Garden before their eyes,
and display to their sight that part of it
which Thou hast prepared for them
- the homes of everlastingness and mansions of honour,
the beautiful houris,
the rivers gushing forth with all sorts of drinks,
the trees hanging, low with all kinds of fruits -
lest any of them think of turning his back
or suggest to himself to flee his opponent!

5- O God, defeat their enemy through that,
trim their nails from them,
separate them from their weapons,
pull out the firm ties from their hearts,
keep them far away from their stores,
bewilder them in their roads, turn them astray from their direction,
cut off reinforcements from them, chop them down in numbers,
fill their hearts with terror,
hold back their hands from stretching forth,
tie back their tongues from speaking,
scatter by them the ones behind them2
make them a lesson for those beyond them,
and through their degradation
cut off the hopes of those who come after them!

6- O God,
make the wombs of their women barren,
dry up the loins of their men,
cut off the breeding of their mounts and their cattle,
and permit not their sky to rain or their earth to grow!

7- O God, through that
strengthen the prowess3 of the People of Islam,
fortify their cities,
increase their properties,
give them ease from their fighting to worship Thee
and from their warfare to be alone with Thee,
so that none will be worshipped in the regions of the earth but Thee
and no forehead of theirs may be rubbed in dust
for less than Thee!

8- O God, send out the Muslims of every region on raids
against the idolaters who face them!
Reinforce them with angels in ranks from Thee,
till the idolaters are routed by them to the end of the land,
slain in Thy earth or taken captive,
or till they admit that Thou art God,
other than whom there is no god, Thou alone, who hast no associate!

9- O God, include in this Thy enemies in the regions of the lands,
the Indians, the Byzantines, the Turks,
the Khazars, the Abyssinians, the Nubians,
the Zanjis, the Slavs, the Daylamites, and the rest of the idol-worshipping nations,
those whose names and attributes are concealed,
but whom Thou countest in Thy cognizance
and overseest through Thy power!

10- O God, distract the idolaters from reaching for the borders of the Muslims through the idolaters,
bar them from cutting them down
through being cut down,
and hold them back from massing together against them through dissension!

11- O God, empty their hearts of security
and their bodies of strength,
distract their hearts from thinking of stratagems,
make their limbs too feeble for clashing with men,
make them too cowardly for contending with champions,
send against them a troop of Thy angels with some of Thy severity
as Thou didst on the Day of Badr,4
so that through it Thou mayest cut off their roots, harvest their thorns,
and disperse their number!

12- O God, mix their waters with pestilence
and their foods with maladies,
hurl down their cities, harass them with peltings,
hinder them through drought,
place their supplies in the most ill-omened part of Thy earth
and the farthest from them,
bar them from its fortresses,
and strike them with constant hunger and painful illness!

13- O God, if a warrior from the people of Thy creed wars against them
or a struggler from the followers of Thy prescriptions
struggles against them
so that Thy religion may be the highest,
Thy party the strongest, and Thy share the fullest,
cast ease to him, arrange his affair,
attend to him by granting success,
select for him his companions, strengthen his back,
lavish upon him livelihood,
give him enjoyment of joyous vitality,
cool for him the heat of yearning,
give him sanctuary from the gloom of loneliness,
make him forget the remembrance of wife and child,

14- pass along to him an excellent intention,
attend to him with well-being,
make safety his companion, release him from cowardice,
inspire him with boldness,
provide him with strength,
support him with help,
teach him right conduct and the norms of the Sunna,
point him straight in judgement,
remove from him hypocrisy, purify him from seeking fame,
and make his thinking and remembrance,
his departing and his staying,
be in Thee and for Thee!

15- When he stands in ranks before Thy enemy and his enemy,
make them few in his eye,
diminish their importance in his heart,
give him a turn to prevail over them, not them a turn to prevail over him!
But if Thou sealest him with felicity
and decreest for him martyrdom,
then let it be after
he has exterminated Thy enemies by slaying,
captivity has afflicted them,
the borders of the Muslims are secure,
and Thy enemy has turned his back in flight!

16- O God,
and if a Muslim should
take the place of a warrior or a soldier in his home,
or attend to those left behind in his absence,
or help him with a portion of his property,
assist him with equipment, hone him for the struggle,
send along with him a supplication for his purpose,
or guard his honour in his absence,
reward him with the like of his reward
measure for measure, like for like,
and recompense him for his act with an immediate compensation
through which he will hasten to
the profit of what he has sent forth
and the joy of what he has given,
till the present moment takes him to
the bounty Thou hast granted to him
and the generosity Thou hast prepared for him!

17- O God,
and if the affair of Islam should worry a Muslim
and the alliance of the idolaters' against Islam
should grieve him,
so that he has the intention to go to war
and is about to enter the struggle,
but frailty keeps him seated,
neediness keeps him waiting,
a mishap delays him,
or an obstruction prevents him from his wish,
write his name among the worshipers,
make incumbent for him the reward of the strugglers,
and place him among the ranks
of the martyrs and the righteous!

18- O God, bless Muhammad, Thy slave and Thy messenger,
and the Household of Muhammad,
with a blessing high above all other blessings,
towering beyond all other salutations,
a blessing whose end is never reached
and whose number is never cut off,
like the most perfect of Thy blessings that has passed
to any one of Thy friends!
Thou art All-kind, Praiseworthy,
the Originator who takes back again,
Accomplisher of what Thou desirest.",(Supplication - 27),sajjadiyya_27.mp3,1,27,سرحدوں کی حفاظت کرنے والوں کے لۓ دعا,دعا برای مرزداران,27-  دُعَاؤُهُ لِأَهْلِ الثُّغُورِ.,सरहदों की हिफाज़त करने वालों के लिए दुआ,Gardiens des frontières,D,,,,,
28,In Fleeing to God,His Supplication in Fleeing to God,"1- O God, I showed sincerity by cutting myself off from everything but Thee.

2- I approached Thee with my whole self.

3- I averted my face from everyone who needs Thy support.

4- I ceased to ask from any who cannot do without Thy bounty.

5- I saw that the needy who seeks from the needy
is foolish in his opinion, and misguided in his intellect.

6- How many people have I seen, my God,
who sought exaltation through other than Thee
and were abased,
who wanted wealth from someone else
and became poor,
who tried to rise high and fell down low!

7- Observing the likes of them corrects a prudent man;
his taking heed gives him success;
his choosing the best guides him to the path of right.

8- So Thou, my Master,
art the object of my asking to the exclusion of all those who are asked
and the patron of my need to the exclusion of all those from whom requests are made.

9- Thou art singled out for my call before all who are called;
none is associated with Thee in my hope,
none comes along with Thee in my supplication,
nor does any join with Thee within it,
for to Thee is my appeal.

10- To Thee, my God, belongs
the Unity of number,
the property of eternal power,
the excellence of force and strength,
the degree of sublimity and elevation.

11- Everyone other than Thee is the object of compassion in his lifetime,
overcome in his affair,
overwhelmed in his situation,
diverse in states,
constantly changing in attributes.

12- So Thou art high exalted above likenesses and opposites,
proudly magnified beyond similitudes and rivals!
Glory be to Thee!
There is no God but Thou.",(Supplication - 28),sajjadiyya_28.mp3,1,28,اللہ سے تضرع و زاری کے سلسلے میں دعا,دعا برای پناه بردن به خداوند,28-  دُعَاؤُهُ فِي التَّفَزُّعِ.,अल्लाह तआला से तलब व फ़रियाद की दुआ,Se réfugier auprès d’Allah,D,,,,,
29,When Provision was Stinted,His Supplication when his Provision was Stinted,"1- O God, Thou hast tried us with
distrust in our provisions
and the expectation of long lives,
until we begged for provisions from those who are provided
and craved in our expectations
the life-spans of the long-lived!

2- So bless Muhammad and his Household,
give us a true certainty
that will suffice us the burden of seeking,
and inspire us with a sincere trust
that will release us from the hardship of exertion!

3- Let Thy clear promise in Thy Revelation
which Thou hast followed in Thy Book with Thy oath
cut off our worry about the provision
for which Thou hast made Thyself responsible
and sever our occupation with everything
whose sufficiency Thou hast guaranteed!

4- For Thou hast said
- and Thy word is the most truthful truth -
and Thou hast sworn
- and Thy oath is the most kept and fulfilled -
In the heaven are your provision and everything you are promised!

5- And then Thou hast said,
So by the Lord of heaven and earth,
it is as surely true as that you have speech!",(Supplication - 29),sajjadiyya_29.mp3,1,29,تنگی رزق کے موقع پر پڑھنے کی دعا,دعا به وقت تنگی رزق و روزی,29-  دُعَاؤُهُ إِذَا قُتِّرَ عَلَيْهِ الرِّزْقُ.,रिज़क़ के तंगी में पढी जाने वाली दुआ,Moyens de vivre,D,,,,,
30,For Help in Repaying Debts,His Supplication for Help in Repaying Debts,"1- O God, bless Muhammad and his Household
and release me from a debt
which makes me lose face,
confuses my mind,
disrupts my thinking,
and prolongs my occupation with attending to it!

2- I seek refuge in Thee, my Lord,
from worry and thought about debt,
from the distraction and sleeplessness of debt;
so bless Muhammad and his Household and give me refuge from it!
I seek sanctuary in Thee, my Lord, from
debt's abasement in life
and its ill effects after death,
so bless Muhammad and his Household
and give me sanctuary from it through
a bountiful plenty
or a continually arriving sufficiency!

3- O God,
bless Muhammad and his Household
prevent me from extravagance and excess,
put me on the course of generous spending and moderation,
teach me excellent distribution,
hold me back through Thy gentleness from squandering,
allow me to attain my provisions through lawful means,
direct my spending toward the gateways of devotion,
and take away from me any possession
which will bring forth pride in me,
lead to insolence,
or drag me in its heels to rebellion!

4- O God,
make me love the companionship of the poor
and help me be their companion with excellent patience!

5- Whenever Thou takest away from me
the goods of this perishing world,
store them for me in Thy abiding treasuries!

6- Make this world's broken pieces which Thou hast conferred upon me
and its goods which Thou hast quickly granted to me
a way to reach Thy neighbourhood,
a link to Thy nearness, and a means to Thy Garden!
Verily Thou art Possessor of bounty abounding,
and Thou art the Munificent, the Generous.",(Supplication - 30),sajjadiyya_30.mp3,1,30,قرض کی دعا,دعا برای پرداخت قرض و دین و وام,30-  دُعَاؤُهُ فِي الْمَعُونَةِ عَلَى قَضَاءِ الدَّيْنِ.,क़र्ज़ कि अदायगी के सिलसिले में अल्लाह तआला से तलबे एआनत की दुआ,Remboursement des dettes,D,,,,,
