Category,SubCat,VerseBy,VerseByID,Verse,VerseRef
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""One who does injustice to someone else, the Almighty Allah does injustice to him, his children or his grandchildren through a third person.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""One who usurps the property of his brother by doing injustice to him, he will come on the Day of Judgment eating the fire of Hell.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Hazrat Muhammad Mustafa [s],2,"""One who usurps the wealth of a believer unlawfully, Allah will have hatred and enmity with him and his good deeds will not be accepted till he repents and returns the wealth to its owner.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Ali ibn Abu Talib [a],3,"Imam Ja'far Sadiq (a.s.) narrates that Amirul Momineen (a.s.) said, ""One of the greatest sins is to usurp the wealth of a believer unlawfully.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Ali ibn Abu Talib [a],3,"Imam Ja'far Sadiq (a.s.) narrates that Amirul Momineen (a.s.) said, ""One who oppresses people, fears retaliation.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""Surely the Almighty Allah is enraged on a rich person who is unjust.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""Sometimes a person is a victim of oppression and he curses till the time he himself becomes the oppressor.""","Iqbal al-A`amal, page 341"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""One who keeps quiet when an oppressor is doing injustice, the Almighty Allah makes that oppressor overpower him. He does not accept the prayer of the oppressed and does not reward him for injustice done to him.""","Iqbal al-A`amal, page 342"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far Sadiq (a.s.) narrates from his ancestors that the Holy Prophet (s.a.w.s.) said, ""One who oppresses someone and cannot meet the oppressed once again, he should do Istighfar (seek Allah's forgiveness). It is atonement for the injustice done by him.""","Iqbal al-A`amal, page 342"
Akhlaq,266,Imam Muhammad ibn Ali [a],8,"""Allah takes the revenge of an unjust from another unjust person. It is in accordance with the verse: And thus do We make some of the iniquitous to rule upon others on account of what they earned [Surah Anaam 6:129].""","Iqbal al-A`amal, page 342"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"""One who helps an unjust against his victim, the Almighty Allah will be enraged upon him till the time he stops helping him.""","Iqbal al-A`amal, page 342"
Akhlaq,478,Imam Muhammad ibn Ali [a],8,"""Surely there is a mountain in Hell called Sada, which has a valley called Saqar, which has a well called Hab-hab. As soon as the lid of this well was lifted, the entire Hell was engulfed in flames. This is the abode of tyrants.""","Iqbal al-A`amal, page 342"
Akhlaq,287,Hazrat Muhammad Mustafa [s],2,"Imam Ja'far Sadiq (a.s.) narrates that the Holy Prophet (s.a.w.s.) said, ""One who walks on earth proudly, the earth and all the creatures above and below it curse him.""","Iqbal al-A`amal, page 343"
Akhlaq,287,Imam Muhammad ibn Ali [a],8,"Imam Muhammad Baqir (a.s.) narrates that the Holy Prophet (s.a.w.s.) said, ""Curse be on one who walks on the earth proudly for he is clashing against the Omnipotent One of the earth and heavens.""","Iqbal al-A`amal, page 343"
Akhlaq,266,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far Sadiq (a.s.) narrates from his ancestors that the Holy Prophet (s.a.w.s.) said, ""The reward of good done to someone is rewarded earlier than other good deeds and an injustice done to someone is punished earlier than other bad deeds. It is enough for one to have the bad quality of peeping into confidential matters of other people, to continue criticizing others for defects he himself has and to trouble people with senseless talks.""","Iqbal al-A`amal, page 343"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"The believer possesses strength in his religion, prudence in his leniency, faith in conviction, an avid desire for religious understanding, activity in [matters pertaining to] guidance  and prayer during times of preoccupation.","al-Kafi, v. 2, p. 231, no. 4; Mizan ul Hikmah, page No. 300"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"The believer is he whose earnings are pure, whose character is beautiful, whose conscience is clean, who gives away whatever is surplus from his wealth, and guards whatever is surplus from his speech.","al-Kafi, v. 2, p. 235, no. 18; Mizan ul Hikmah, page No. 300"
Akhlaq,112,Imam Ali ibn Abu Talib [a],3,The doer of evil is worse than the evil itself.,"Nahj al-Balagha, Saying 32; Mizan ul Hikmah, page No. 271"
Aqaed,117,Imam Ali ibn Musa [a],11,"The believer is not a believer until he possesses three qualities: a practice [characteristic] of his Lord, a practice of his Prophet (SAWA), and a practice of his guardian (AS). As for the practice of his Lord, it is to conceal secrets; the practice of his Prophet (SAWA) is amicableness towards people; and the practice of his guardian (AS) is patience in both times of ease and difficulty.","Tuhaf al-`Uqoul, no. 442; Mizan ul Hikmah, page No. 300"
Aqaed,117,Imam Muhammad ibn Ali [a],8,"The believer is harder than a mountain, for the mountain is dispensable whereas nothing can separate the believer from his religion.","al-Kafi, v. 2, p. 241, no. 37; Mizan ul Hikmah, page No. 301"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"Verily the believer is stronger than pieces of iron, for when a piece of iron enters the fire it changes, whereas the believer, were he to be killed then resurrected and then killed again, his heart would never change.","Bihar al-Anwar, v. 67, p. 303, no. 34; Mizan ul Hikmah, page No. 301"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"The believer is he whom all things fear, and that is because he is empowered by the religion of Allah, and does not fear anything. This is the sign of every believer.","Bihar al-Anwar, v. 67 p. 305, no. 36; Mizan ul Hikmah, page No. 301"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,Everything is in awe of the believer including the reptiles and predators of the earth and the birds in the sky.,"Bihar al-Anwar, v. 67 p. 71, no. 33; Mizan ul Hikmah, page No. 301"
Aqaed,117,Imam Ali ibn Abu Talib [a],3,"He has not kept His earth free of a knowledgeable man whom all of creation need, who is well-versed with the means of salvation. Such [people] are very few in number, and Allah has expounded this among the communities of the prophets, and made them the example for those to come after them, when He said concerning the people of Noah: ""And none believed with him except a few""","Nur al-Thaqalayn, v. 2, p. 358, no. 90; Mizan ul Hikmah, page No. 302"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"The believing woman is scarcer than the believing man, and the believing man is scarcer than red sulphur, and who from among you has ever seen red sulphur?!","al-Kafi, v. 2, p. 242, no. 1; Mizan ul Hikmah, page No. 302"
Aqaed,117,Imam Ali ibn Husayn [a],7,"The signs of a believer are five: piety [even] when in seclusion, giving charity in spite of lack, patience in the face of calamity, clemency when angered, and truthfulness in spite of fear.","Bihar al-Anwar, v. 67, p. 293, no. 15; Mizan ul Hikmah, page No. 302"
Aqaed,117,Imam Jafar ibn Muhammad [a],9,"Imam Ja'far ibn Muhammad al-Sadiq (a.s.) when he was asked, 'How does a believer know that he is indeed a believer?', replied, 'Through submission to Allah and satisfaction with whatever joy or [source of] annoyance comes his way.'","Bihar al-Anwar, v. 72, p. 336, no. 24; Mizan ul Hikmah, page No. 302"
Aqaed,117,Imam Ali ibn Abu Talib [a],3,"The best of believers is the one who is best at dedicating himself, his family and his wealth [for Allah].","Sharhe Nahj al-Balagha by Abi al-Hadid, v. 18, p. 41; Mizan ul Hikmah, page No. 303"
Aqaed,117,Imam Ali ibn Abu Talib [a],3,"The best of believers in terms of faith is he whose giving and withholding, and whose displeasure and pleasure are solely for Allah.","Ghurar al-Hikam, no. 3278; Mizan ul Hikmah, page No. 303"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,Falsehood is a deceiving deluder.,"Ghurar al-Hikam, no. 549; Mizan ul Hikmah, page No. 304"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,"I will rip falsehood open, until the truth emerges from its belly","Sharhe Nahj al-Balagha by Abi al-Hadid, v. 2, p. 185; Mizan ul Hikmah, page No. 304"
Akhlaq,207,Hazrat Muhammad Mustafa [s],2,Fetter knowledge through writing.,Nahj al Fasahah; Tradition No. 611; Page No. 88
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,"Truth is the road to Paradise, and falsehood is the road to Hell; and on each road there is a caller [calling to it].","Nahj al-Sa`ada, v. 3, p. 291; Mizan ul Hikmah, page No. 304"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,He who supports falsehood oppresses the truth.,"Ghurar al-Hikam, no. 6041; Mizan ul Hikmah, page No. 304"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,"Verily, there is nothing between truth and falsehood but a span of four fingers   Falsehood is to say, 'I heard,' while the truth is to say, 'I saw.","Sharhe Nahj al-Balagha by Abi al-Hadid, v. 3, p. 240; Mizan ul Hikmah, page No. 305"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,"Even if falsehood was isolated from being mixed with the truth, it would not be indefinable by those who aspire it; and even if the truth was free from being disguised as falsehood, the tongues of its opponents would still be silenced; but it is often made by taking a little from one and a little from the other.","Sharhe Nahj al-Balagha by Abi al-Hadid, v. 3, p. 240; Mizan ul Hikmah, page No. 305"
Akhlaq,119,Imam Ali ibn Abu Talib [a],3,"Many an innovation was glossed with verses from the Book of Allah, just as the copper dirham is plated with silver coating.","Ghurar al-Hikam, no. 6969; Mizan ul Hikmah, page No. 305"
Akhlaq,119,Imam Jafar ibn Muhammad [a],9,"Allah has refused to present falsehood as a certain truth, and He has refused to present the truth to the heart of a believer as a certain falsehood; He has also refused to present falsehood to the heart of a disbeliever as a certain truth. And had he not done thus, the truth would never be distinguished from falsehood.","Bihar al-Anwar, v. 5, p. 303, no. 12; Mizan ul Hikmah, page No. 306"
Akhlaq,119,Imam Jafar ibn Muhammad [a],9,"The heart can never ascertain that the truth is falsehood, nor can it ever ascertain that falsehood is the truth.","Tafsir al-`Ayyashi, v. 2, p. 53, no. 39; Mizan ul Hikmah, page No. 306"
Other Muslim References,120,Hazrat Muhammad Mustafa [s],2,"Holy Prophet Muhammad al Mustaf? (s.a.w.w.) was once asked regarding someone who performs a good deed, and is consequently praised by people on account of it, to which he replied, 'That [praise] is advance glad tidings for the believer.","Sahih Muslim, no. 2642; Mizan ul Hikmah, page No. 306"
Adaab,120,Hazrat Muhammad Mustafa [s],2,"When Allah loves a servant of His from among my community, He radiates love for him into the hearts of His elite servants, the spirits of the angels and the retinue of His throne, in order that they too may love him, and that is one who is truly loved.","Bihar al-Anwar, v. 70, p. 24, no. 23; Mizan ul Hikmah, page No. 306"
Adaab,120,Hazrat Muhammad Mustafa [s],2,It is bad enough for a man - except for one whom Allah protects from evil - that people should point the finger at him with regard to either his faith or his worldly affairs.,"Sharhe Nahj al-Balagha by Abi al-Hadid, v. 2, p. 181; Mizan ul Hikmah, page No. 307"
Adaab,120,Imam Jafar ibn Muhammad [a],9,"He(Believer) neither desires repute in this world, nor does he grieve at its disgrace. People have their own matters of significance that they tend to, whilst he occupies himself with his own concerns.","Bihar al-Anwar, v. 67, p. 271, no. 3; Mizan ul Hikmah, page No. 307"
Adaab,120,Imam Jafar ibn Muhammad [a],9,It is enough of a disgrace for a man that he should wear such clothes or ride such a beast as draws attention to himself.,"Bihar al-Anwar, v. 78, p. 252, no. 105; Mizan ul Hikmah, page No. 307"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,"Present me with six things and I will present you with Paradise. When you speak, do not lie; when you promise, do not break it; when you are entrusted with something, do not betray; lower your gazes, guard your private parts, restrain your hands and your tongues.","Amali al-Saduq, p. 82, no. 2; Mizan ul Hikmah, page No. 668"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,"Paradise is forbidden to three types of people: one who is reproachful for his gifts, one who backbites, and one who imbibes alcohol.","al-Zuhd li al-Husayn b. Sa`aid, p. 9, no. 17; Mizan ul Hikmah, page No. 669"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,"Whoever assumes responsibility of taking care of a people, then deceives them, Allah forbids him entry into Paradise","Tanbih al-Khawatir, v. 2, p. 227; Mizan ul Hikmah, page No. 669"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,Indeed the doors of Paradise are under the shade of the swords,"al-Durr al-Manthur, v. 1, p. 597; Mizan ul Hikmah, page No. 669"
Akhlaq,269,Imam Ali ibn Abu Talib [a],3,"Paradise has eight doors: a door through which the prophets and the truthful ones will enter, a door through which the martyrs and the righteous will enter, five doors through which our shi`a and our lovers will enter  , a door through which the rest of the Muslims will enter, that is, those that bear witness to 'There is no god but Allah' and who do not bear an atom's weight of enmity towards us, the ahl al-bayt","al-Khisal, p. 408, no. 6; Mizan ul Hikmah, page No. 670"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,"There is a station in Paradise that none can attain except a just leader, or one who has maintained relations with his kin, or who is forbearing with his family","al-Khisal, p. 93, no. 39; Mizan ul Hikmah, page No. 670"
Akhlaq,269,Imam Ali ibn Abu Talib [a],3,"There are degrees differing in excellence, and various stations","Nahj al-Balagha, Sermon 85; Mizan ul Hikmah, page No. 670"
Akhlaq,269,Imam Ali ibn Abu Talib [a],3,The people of Paradise will gaze upon the stations of our shi`a just as one of you gazes at the stars on the horizons of the sky,"Ghurar al-Hikam, no. 3514; Mizan ul Hikmah, page No. 670"
Akhlaq,269,Imam Ali ibn Husayn [a],7,"Adhere to the Qur'an  for Allah has created Paradise, and has made its stations in accordance with the verses of the Qur'an. So whoever reads the Qur'an, it will say to him, 'Read and ascend!' So whoever from among them enters Paradise, there will not be a station higher than theirs except for the prophets and the truthful ones","Bihar al-Anwar, v. 8, p. 133, no. 39; Mizan ul Hikmah, page No. 671"
Akhlaq,269,Imam Jafar ibn Muhammad [a],9,"For the one who occupies the lowest station in Paradise, were the humans and the jinn to appear as guests for him, nothing would diminish from him if he were to provide them all with food and drink","Bihar al-Anwar, v. 8, p. 120, no. 11; Mizan ul Hikmah, page No. 671"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,The first to enter Paradise will be the martyr and the servant who worshipped his Lord well,"Tanbih al-Khawatir, p. 1, no. 57; Mizan ul Hikmah, page No. 671"
Akhlaq,269,Hazrat Muhammad Mustafa [s],2,"The first four people to enter Paradise will be you, me, Hasan and Husayn","al-Mu`jam al-Kabir, v. 1, p. 319, no. 950; Mizan ul Hikmah, page No. 671"
Akhlaq,269,Imam Muhammad ibn Ali [a],8,"Among the people of Paradise, the first to enter therein will be the one who does good to others.","Amali al-Saduq, p. 210, no. 5; Mizan ul Hikmah, page No. 672"
Akhlaq,269,Imam Ali ibn Abu Talib [a],3,The people of Paradise will be the believers who are lenient and of soft temperament,"Ghurar al-Hikam, no. 3400; Mizan ul Hikmah, page No. 672"
Akhlaq,269,Imam Ali ibn Husayn [a],7,"O our Shi`a! As for Paradise, it will not escape you sooner or later, but do compete with each other to attain stations therein","Bihar al-Anwar, v. 74, p. 308, no. 61; Mizan ul Hikmah, page No. 673"
Akhlaq,534,Hazrat Muhammad Mustafa [s],2,Fever is a prelude to death and God's prison on the earth.,Nahj al Fasahah; Tradition No. 612; Page No. 88
Akhlaq,270,Hazrat Muhammad Mustafa [s],2,"If you are faced by anger, avert it through pardon, for verily a caller will call out on the Day of Resurrection 'Whoever has a claim for a reward from Allah should stand up' , and none will stand except the pardoners. Have you not heard the verse of Allah, most High, ""So whoever pardons and conciliates, his reward lies with Allah""!","A`alam al-Din, no. 337; Mizan ul Hikmah, page No. 673"
Akhlaq,270,Hazrat Muhammad Mustafa [s],2,"Pardoning is incumbent upon you, for verily pardoning [others] only increases the servant' s honour, so pardon each other' s faults and Allah will grant you honour.","al-Kafi, v. 2, p. 108, no. 5; Mizan ul Hikmah, page No. 674"
Akhlaq,270,Hazrat Muhammad Mustafa [s],2,He who pardons much is given an increase in his lifespan,"A`alam al-Din, no. 315; Mizan ul Hikmah, page No. 674"
Akhlaq,270,Hazrat Muhammad Mustafa [s],2,Excuse the lapses of those who make mistakes frequently and Allah will protect you against misfortunes.,"Tanbih al-Khawatir, v. 2, p. 120; Mizan ul Hikmah, page No. 674"
Akhlaq,270,Imam Muhammad ibn Ali [a],8,Regret for having pardoned someone is better and easier to bear than regret for having punished them,"al-Kafi, v. 2, p. 108, no. 6; Mizan ul Hikmah, page No. 674"
Akhlaq,270,Imam Jafar ibn Muhammad [a],9,"Three of the noble characteristics in this world and in the Hereafter are to pardon one who has wronged you, to reconcile with one who has cut you off, and to be clement with one who has been rash towards you","al-Kafi, v. 2, p. 107, no. 3; Mizan ul Hikmah, page No. 674"
Akhlaq,270,Imam Ali ibn Abu Talib [a],3,He who rebukes [someone for] a sin cannot pardon it,"Ghurar al-Hikam, no. 9567; Mizan ul Hikmah, page No. 675"
Akhlaq,270,Imam Ali ibn Musa [a],11,"So condone with a graceful condonance"", said, 'It is to pardon without punishing, censuring or scolding.","A`alam al-Din, p. 307; Mizan ul Hikmah, page No. 675"
Akhlaq,270,Imam Ali ibn Abu Talib [a],3,"When you are empowered to vanquish your enemy, let your pardon of him act as thanks for having been given power over him","Nahj al-Balagha, Saying 11; Mizan ul Hikmah, page No. 675"
Akhlaq,270,Imam Ali ibn Abu Talib [a],3,Pardon is the zakat of triumph,"Nahj al-Balagha, Saying 211; Mizan ul Hikmah, page No. 675"
Akhlaq,270,Imam Husayn ibn Ali [a],6,Verily the most forgiving of people is he who pardons when having the power to punish,"al-Durrah al-Bahirah, p. 29; Mizan ul Hikmah, page No. 675"
Akhlaq,270,Hazrat Muhammad Mustafa [s],2,"Holy Prophet Muhammad al Mustaf? (s.a.w.w.) said to a man who came to him complaining about his servants, 'Pardon their faults and through it their hearts will improve.' So he replied, 'O Prophet of Allah, verily they vary in their bad behaviour' , so he replied, 'Pardon them' , so he did","Mustadrak al-Wasa`il, v. 9, p. 7, no. 10041; Mizan ul Hikmah, page No. 676"
Akhlaq,347,Imam Ali ibn Abu Talib [a],3,The root of sincerity is despairing of obtaining what is in the hands of men,"Ghurar al-Hikam, no. 3088; Mizan ul Hikmah, page No. 859"
Akhlaq,347,Hazrat Muhammad Mustafa [s],2,No sooner does a servant spend his mornings in a state of sincere devotion for forty days than the springs of wisdom will flow from his heart onto his tongue,"Uyoun Akhbar al-Reza (AS), v. 2, p. 69, no. 321; Mizan ul Hikmah, page No. 859"
Akhlaq,347,Hazrat Muhammad Mustafa [s],2,"Allah said, 'No sooner do I look into a servant's heart and find that he has sincere love for My sole obedience and he seeks My pleasure than I take charge of his plans and affairs.","Bihar al-Anwar, v. 85, p. 136, no. 16; Mizan ul Hikmah, page No. 859"
Akhlaq,347,Imam Ali ibn Abu Talib [a],3,The one who purifies his intention distances himself from base qualities,"Ghurar al-Hikam, no. 8447; Mizan ul Hikmah, page No. 859"
Akhlaq,347,Imam Jafar ibn Muhammad [a],9,"Verily everything is humbled and awed before the believer', and then he said, 'If he is sincere for Allah, Allah will make everything fear him including the wild and poisonous animals of the land and the birds of the sky","Bihar al-Anwar, v. 70, p. 238, no. 21; Mizan ul Hikmah, page No. 859"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,"Sins are a disease the medicine of which is to seek forgiveness, and the cure lies in never committing them again","Ghurar al-Hikam, no. 1890; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,"O man, what has emboldened you to commit sins, and what has deceived you about your Lord, and what has rendered you so complacent about the destruction of your soul!?","Nahj al-Balagha, Sermon 223; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,"How I wonder at people who keep away from certain types of food for fear of harm to themselves, and yet do not keep away from sins for fear of the Fire!?","Tuhaf al-`Uqoul, no. 204; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,"Even if Allah had not fixed punishments and threats for acts of disobedience to Him, we would still be obliged not to disobey Him, simply by way of gratitude to Him for His bounties.","Nahj al-Balagha, Saying 290; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,Refraining from committing evil deeds is better than performing good deeds,"Ghurar al-Hikam, no. 1522; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Imam Musa Ibn Jafar (Al-Kadhim) [a],10,"The people of intellect have abandoned the excesses of this world, but what about sins? Forsaking worldly excesses is [merely] a virtue whereas abandoning sins is an obligation","Bihar al-Anwar, v. 78, p. 301, no. 1; Mizan ul Hikmah, page No. 860"
Akhlaq,348,Other Narrators,16,"Strive earnestly and work hard, and even if you do not manage to perform good deeds, at least do not sin, for verily the building of one who continuously builds without destroying [at the same time] will rise tall, even if it be plain and unadorned, whilst the building of one who builds but also destroys will almost never rise up.","Bihar al-Anwar, v. 70, p. 286, no. 8; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,Openly and candidly disobeying Allah   glory be to Him   hastens His wrath.,"Ghurar al-Hikam, no. 9811; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Imam Ali ibn Musa [a],11,"The one who commits an evil deed openly is disgraced [by Allah], and the one who hides his evil deed [feeling ashamed of it] is forgiven by Allah","Bihar al-Anwar, v. 73, p. 356, no. 67; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,The worst and gravest of sins is that which its perpetrator takes lightly.,"Bihar al-Anwar, p. 364, no. 96; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,The worst of sins in the sight of Allah is the sin which its perpetrator commits persistently,"Ghurar al-Hikam, no. 3131; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Imam Muhammad ibn Ali [a],8,"All sins are severe [in requital], but the severest of them are those that result in the growth of [polluted] flesh and blood","al-Kafi, v. 2, p. 270, no. 7; Mizan ul Hikmah, page No. 861"
Akhlaq,348,Hazrat Muhammad Mustafa [s],2,"The repentance of every sin is acceptable, except for ill-nature, for indeed the ill-natured person is such that every time he manages to get out of one sin, he plunges into another","Bihar al-Anwar, v. 77, p. 48, no. 3; Mizan ul Hikmah, page No. 862"
Akhlaq,534,Hazrat Muhammad Mustafa [s],2,"Fever is believers' share from Fire, and fever of one single night wipes out the sins of one whole year.",Nahj al Fasahah; Tradition No. 613; Page No. 88
Akhlaq,348,Imam Muhammad ibn Ali [a],8,"One of the firm decisions of Allah in the Wise Reminder (the Qur'an)   is that it will be of no avail to man to strive with his soul and to act sincerely, if upon leaving this world to meet his Lord he is still guilty of any of the following sins for which he has not repented: that he associated anything else with Allah in his obligatory worship, or appeased his own anger by killing someone, or exposed acts committed by others, or sought fulfilment of his needs from people by introducing an innovation in his religion, or was two-faced in his encounters with people, or mingled among them deceitfully.","Nahj al-Balagha, Sermon 153; Mizan ul Hikmah, page No. 862"
Akhlaq,348,Imam Muhammad ibn Ali [a],8,"Among the sins that are unforgivable is when a man says, 'I wish I would only be punished on account of this one sin [deeming the sin so small that he thinks he can bear the punishment].","al-Khisal, p. 24, no. 83; Mizan ul Hikmah, page No. 862"
Akhlaq,348,Imam Jafar ibn Muhammad [a],9,All sins are forgivable except insolence towards fellow Muslims,"Tuhaf al-`Uqoul, no. 303; Mizan ul Hikmah, page No. 862"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,"Be on your guard against committing acts of disobedience to Allah in secret, for verily the Witness is the Judge Himself","Bihar al-Anwar, v. 78,p. 70, no. 25; Mizan ul Hikmah, page No. 863"
Akhlaq,348,Imam Muhammad ibn Ali [a],8,Allah could not care less about the one who goes out of his way to commit a sin in private [thinking he can hide from Allah].,"Bihar al-Anwar, v. 46, p. 247, no. 35; Mizan ul Hikmah, page No. 863"
Akhlaq,348,Hazrat Muhammad Mustafa [s],2,"The believer sees his sin as a big boulder which he fears may fall on him, while the disbeliever sees his sin as a fly that has brushed past him","Amali al-Tusi, p. 527, no. 1126; Mizan ul Hikmah, page No. 863"
Akhlaq,348,Hazrat Muhammad Mustafa [s],2,Verily Iblis [Satan] is well-pleased with you when you commit petty sins,"Bihar al-Anwar, v. 73, p. 363, no. 93; Mizan ul Hikmah, page No. 863"
Akhlaq,348,Hazrat Muhammad Mustafa [s],2,"Do not look at the pettiness of the sin, rather look at Who it is you have dared to defy","Bihar al-Anwar, v. 77, p. 168, no. 6; Mizan ul Hikmah, page No. 863"
Akhlaq,348,Imam Ali ibn Abu Talib [a],3,The worst of sins in the sight of Allah is the sin which its perpetrator deems insignificant,"Ghurar al-Hikam, no. 3141; Mizan ul Hikmah, page No. 863"
Akhlaq,110,Imam Ali ibn Abu Talib [a],3,People are hostile towards that which they are ignorant of.,"Nahj al-Balagha, Sayings 172 and 438; Mizan ul Hikmah, page No. 270"
Akhlaq,112,Imam Ali ibn Abu Talib [a],3,"That good whose end consequence is the Fire is not good, and that hardship whose end consequence is Paradise is not bad. Every bliss other than Paradise is inferior, and every calamity other than the Fire itself is a comfort.","Nahj al-Balagha, Saying 387; Mizan ul Hikmah, page No. 270"
Akhlaq,112,Imam Ali ibn Abu Talib [a],3,"Allah, Glorified be He, has sent down a guiding Book wherein He has explained good and evil, so adopt the course of good so that you be rightly guided, and turn away from the direction of evil so that you remain focused on the right way.'","Nahj al-Balagha, Sermon 167; Mizan ul Hikmah, page No. 271"
