Category,VerseBy,Verse,VerseRef,IsDisplayed,SubCategory
Prayer and Its Effects ,Imam Amir ul Mu'mineen Ali [a] said,"""For the God-fearing, prayer is a means of seeking nearness to Allah and for the weak, the Hajj (pilgrimage to Mecca) is as good as Jihad (fighting in the way of Allah). For every thing there is a levy, and the levy of the body is fasting. The Jihad of a woman is to afford pleasant company to her husband.""","Nahjul Balagha, saying 136",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"There comes no night but that the angel of death calls to the dead in the graves and inquires what they regret for today when they have vividly seen (and known) this (the next life). Then the dead will say: ""Verily, we regret and envy the believers who are in their mosques and they are praying while we are not; they give alms and we do not; they fast during Ramadan but we do not; they donate in charity what they have more than the need of their family members while we do not; ...""","Irshad-ul-Qulub, p.53",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""At the (appointed) time of every prayer (salat), I hear a caller who calls and says: ""O children of Adam! Keep up prayers in order to extinguish the fire you have lit against yourselves (by committing sins).""","Mustadrak-ul-Wasa'il, vol. 3, p. 102",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""Be careful of the prayers, for, on the Day of Resurrection, when Allah the Exalted, will bring the servant (for reckoning), the first thing that He will ask him about will be the prayer. If one brings it completely, he will be of the people of salvation, otherwise, he will be thrown into Fire.""","Bihar-ul-Anwar, vol. 82, p. 202",0,
Prayer and Its Effects ,"Abubasir said that he visited Umm Hamidah (Musa-ibn Ja'far's [a] mother) in order to console her for the death of Ja'far-ibn-Muhammad [a]. Then she wept and he wept because of her weeping. After that, she said","""O' Aba Muhammad! If you had seen Ja'far-ibn-Muhammad when he was on his death-bed, you would have observed a wonderful thing: he opened his eyes and said to gather all of his relatives."" Then, she continued saying that they gathered them all with no exception. Then he [a] looked at them and said: ""Verily, our intercession does not reach the one who takes prayers lightly"".","Wasa'il-ush-Shi'ah vol. 4, p. 26",0,
Prayer and Its Effects ,The Holy Prophet [s] said,"""The worship done by the one who earns his living on unlawful money is similar to a building constructed upon sand.""","Bihar-ul-Anwar, vol. 84, p. 258",0,
Midnight Prayers ,The Holy Prophet [s] said,"""The honour of a believer lies in his vigilance at night and his esteem lies in his autonomy from people.""","Bihar-ul-Anwar, vol. 77, p. 20",0,
Midnight Prayers ,Imam Amir ul Mu'mineen Ali [a] said,"""He who sleeps too much at night, will lose something of his deeds (i.e., night prayers) which he cannot gain during the day-time.""","Ghurar-ul-Hikam, p.289",0,
Midnight Prayers ,"Imam Sadiq [a] said that Allah (s.w.t.) in a revelation told Moses, the son of 'Imran [a]","""O' you son of 'Imran! Those who only claim that they love Me, tell a lie, for when the night falls they neglect Me.""","Bihar-uI-Anwar, vol. 13, p. 329",0,
Midnight Prayers ,Imam Sadiq [a] said,"""Never miss midnight prayers, because, in fact, the real loser is he who misses (the advantage of) the midnight prayer.""","Bihar-ul-Anwar, vol. 83, p. 127",0,
Midnight Prayers ,Imam Sadiq [a] said,"""The Messenger of Allah [s] told Gabriel to preach to him, and he said: 'Live howsoever you like but you will surely die; love whatsoever you like but you will surely depart from it; do whatsoever you like but you will certainly meet it (and receive its reward). The honour of a (Muslim) believer is his midnight prayers, and his nobility is his refraining from (ruining) people's reputation""","Khisal by Saduq, p. 7",0,
Midnight Prayers ,Imam Sadiq [a] said,"""There are three things which are the honour of a believer and his ornament both in this world and the next. They are: prayers in the last part of night (night prayers), not coveting what people possess in their hands, and the love (and leadership) of an Imam from the progeny of Muhammad [s].""","Bihar-ul-Anwar, vol. 75, p. 107",0,
Midnight Prayers ,"Imam Muhammad-ibn-Ali, Jawad-ul-'A'immah, [a] said","""He who has confidence in Allah, sees joy; and he who trusts on Him, He will suffice his affairs.""","Bihar-ul-Anwar, vol. 78, p. 79",0,
Faith in Allah and Attaining his Pleasure ,Imam Sadiq [a] said,"""My father said to me about his father [a] that a man from Kufah wrote to his father viz. to al-Husayn-ibn-Ali [a] asking him [a] to imform him of the good of this world and that of the next. Then, he [a] wrote (in his reply): 'In the Name Allah the Beneficent, the Merciful'. After that: 'Verily, he who seeks the pleasure of Allah even while displeasing people, He suffices him in his affairs with people. But, he who seeks the pleasure of people while Allah is displeased, he leaves him to people (and he will be far from His Grace), Wassalam'.""","Bihar-ul-Anwar, vol. 71, p. 208",0,
Faith in Allah and Attaining his Pleasure ,Imam Ali ibn Husayn [a] said,"""He who acts according to what Allah has enjoined for him, is of the best people.""","AI-Kafi, vol. 2, p. 81",0,
Faith in Allah and Attaining his Pleasure ,Imam Sadiq [a] said,"""The one who loves for Allah, hates for Allah, and donates (things) for Allah, thus he is one of those whose Faith is complete.""","Al-Kafi, vol. 2, p. 124",0,
Faith in Allah and Attaining his Pleasure ,"Imam Hassan 'Askari, the eleventh Imam, [a] said","""There are no qualities above these two: Faith in Allah and being beneficial to Muslims.""","Bihar-uI-Anwar, vol. 17, p.218",0,
Piety and Its Necessity in a Muslim ,The Holy Prophet [s] said,"""The most (important ) things that cause people to reach Heaven are divine piety and a good temper.""","Bihar-ul-Anwar, vol. 71, p. 373",0,
Piety and Its Necessity in a Muslim ,The Holy Prophet [s] advised,"""When making a decision to do something, think about its outcome. If it is good for your advancement and development, follow it, but if it is misleading, leave it out....""","Bihar-ul-Anwar, vol. 77, p. 130 ",0,
Piety and Its Necessity in a Muslim ,Imam Sadiq [a] was asked about the meaning of 'piety' when he replied,"""Piety is that Allah does not miss you in the place where He has commanded you to be, and does not see (find) you where He has forbidden you from.""","Safinat-ul-Bihar, vol. 2, p. 678",0,
Piety and Its Necessity in a Muslim ,The Holy Prophet [s] said,"""Show veneration for Allah similar to the way that you would mind your manners in front of a righteous person among your kinsmen.""","Mustadrak Al-Wasa'il-ush Shi'ah, vol. 8, p. 466, No.10027",0,
Piety and Its Necessity in a Muslim ,Imam Amir-ul-Mu'mineen Ali [a] said,"""Lowering one's eyes will serve well as a barrier against one's passions.""","Ghurar-ul-Hikam, p. 321",0,
Piety and Its Necessity in a Muslim ,Imam Amir ul Mu'mineen Ali [a] said to Imam al-Hassan and Imam al-Husayn (peace be upon them) when 'Abd-ur-Rahman ibn Muljam (the curse of Allah be upon him) had struck him (fatally with a sword),"""I advise you (both) to fear Allah and that you should not hanker after the (pleasures of this) world even though it may run after you. Do not be sorry for anything of this world that you have been denied. Speak the truth and act (in expectation) for reward. Be an enemy of the oppressor and helper of the oppressed.""","Nahj-ul-Balagha, letter 47",0,
Piety and Its Necessity in a Muslim ,Imam Amir ul Mu'mineen Ali [a] said,"""I advise you to fear Allah, 'O my child, to abide by His commands, to fill your heart with remembrance of Him and to cling to hope in Him. No connection is more reliable than the connection between you and Allah provided you take hold of it.""","Nahj-ul-Balagha, letter 31",0,
Piety and Its Necessity in a Muslim ,Abi-Osamah said that he had heard that Imam Sadiq [a] said,"""Be aware of (the punishment of) Allah, piety, godly endeavor, saying the truth, honesty in deposition, good character, and good neighbourliness. Invite (others) to yourselves (by performing good actions), not with mere utterance. Live to be ornaments, and not to be a disgrace to us. (I advise you) to prolong the length of bowing and prostration. So, verily, when one of you prolongs bowing and prostration, Satan cries from behind one and says: Woe! He obeyed and I disobeyed; he did prostration and I refused.""","Al-Kafi, vol. 2, p. 77",0,
Piety and Its Necessity in a Muslim ,Imam Ali ibn Husayn [a] said,"""Behold! Verily, on the friends of Allah there will be no fear nor shall they grieve if they keep up the obligatories of Allah, follow the traditions of the Messenger Allah [s], avoid the things forbidden by Allah, be pious in worldly wealth and rank and eager for what there is with Allah, strive to earn His sustenance of what is pure, and decide not to boast or compile wealth but donate and give the obligatory alms they have been enjoined to. Hence, these are those (friends of Allah!) whose earnings are divinely blessed and will be rewarded for what they have sent forth unto their next world.""","Bihar-ul-Anwar, vol. 69, p. 277",0,
Piety and Its Necessity in a Muslim ,The Holy Prophet [s] said,"""Surely, human beings from the time of Adam up to now are the same as the teeth of a comb are, and there is no superiority for the Arab over non-Arab or for the red race over the black race except for piety.""",Mustadrak-ul-Wasa'il,0,
Piety and Its Necessity in a Muslim ,Imam Sadiq [a] said,"""Surely, a little action (of worshipping) with piety is better than many deeds with no virtue.""","Al-Kafi, vol. 2, p. 76",0,
Invocation ,Imam Sadiq [a] said,"""Every invocation sought from Allah, Almighty and Glorious, is barred by the sky unless it is coupled with 'Salawat', benediction upon the Prophet and his progeny."" (The expression of 'Salawat' means: O God bless Muhammad and his descendants).","Usul-i-Kafi, vol. 2, p. 493",0,
Invocation ,Imam Sadiq [a] said,"""The Muslim believer whose calls were not answered by Allah in this world will wish that none of them would have been accepted when, in the Hereafter, he sees the abundance of rewards (given him for their not being answered and suffering the troubles in the world).""","Usul-i-Kafi, vol. 2, p. 491",0,
Invocation ,Imam Amir ul Mu'mineen Ali [a] said,"""The most beloved deed on the earth with Allah, Almighty and Glorious is invocation, and the best worship is modesty and piety.""","Bihar-ul-Anwar, vol. 93, p. 295",0,
Invocation ,"Imam Amir ul Mu'mineen Ali [a], when teaching (some of) his followers, said","""The doors of heaven are opened at five times: When it is raining; at the time of Holy War; at the time of Call to prayer; at the time of recitation of the Qur'an with the setting of the sun, and at the break of dawn.""","Al-Khisal, by Saduq, p. 302",0,
Invocation ,"Again, Imam Amir-ul-Mu'mineen Ali [a] said","""Avail yourselves of the invocation in five situations: At the time of recitation of the Qur'an, at the time of prayer call, when it is raining, when attending the Holy War ready for martyrdom, when an oppressed person supplicates, because, certainly, there is no barrier for it beneath the Throne.""","Bihar-ul-Anwar, vol. 93, p. 343",0,
Invocation ,"Note:                                                                    The compiler of Nahjul Balagha, as-Sayyid ar-Radi says","This is confirmed by the Book of Allah. About praying, Allah says: "" Call You to Me, I will answer you' (the Qur'an, 4:60). About forgiveness Allah says: 'And whoever does evil, or wrongs his own self and thereafter seeks the pardon of Allah shall find Allah Oft-Forgiving, Merciful' (the Qur'an, 4:110). About gratefulness He says: 'If you be grateful, I will increase (My favours) to you' (the Qur'an, 14:7). About repentance He says: 'Verily, repentance (acceptable) with Allah is only for those who do evil ignorantly and then turn (to Allah) soon (after); these (are those whom) Allah will turn (mercifully) to; and Allah is All-Knowing, All-Wise (the Qur'an, 4:17).",,0,
Invocation ,Imam Sadiq [a] said,"""On the Reckoning Day, Allah will count the invocations of believers as some good actions for them and thereby He will promote their position in Heaven.""","Bihar-ul-Anwar, vol. 78, p. 216",0,
Invocation ,Imam Sadiq [a] said,"""Treat your ailments with charity and repel varieties of affliction by invocation.""","At-Tahthib, vol. 4, p.112",0,
Invocation ,Imam Sadiq [a] said,"""Ask (Allah) for your requisite and insist on demanding because Allah likes the persistence of the insisting believers of His servants.""","Wasa'il-ush-Shi'ah,voI. 7, p. 60",0,
Invocation ,Imam Sadiq [a] said,"""I recommend you to invocation, because you can not get nigh to Allah by any means like it.""","Al-Kafi, vol. 2, p. 467",0,
Invocation ,Imam Amir ul Mu'mineen Ali [a] said,"""It may happen that you ask (Allah) for something and He does not give it to you in order to endow you with (something) of better quality (later).""","Ghurar-ul-Hikam, p.185 ",0,
Ahlul Bayt ,The Holy Prophet [s] said,"""The likeness of my Ahlul-Bayt (progeny) amongst my Ummah (followers) is similar to Noah's Ark. Those who embarked on it were rescued and those who rejected it perished....""","Bihar-ul-Anwar, vol. 27, p. 113",0,
Ahlul Bayt ,"Imam Baqir, the fifth Imam, [a] said","""Our traditions (Ahlul-Bayt) survive in the hearts.""","Bihar-ul-Anwar, vol. 2, p. 144",0,
Ahlul Bayt ,The Holy Prophet [s] said,"""Make your gatherings lively with the remembrance of Ali-ibn-Abi-Talib."" (Talk about the excellencies of Ali [a]).","Bihar-ul-Anwar, vol. 38, p. 199",0,
Ahlul Bayt ,"In 'Ikmal-ud-Din' a tradition, through 'Jabir-il-Ju'fi', is narrated from 'Jabir-ibn-'Abdillah' thus: ""I said","O Messenger of Allah we have known Allah and His Apostle; then who is 'Ulul-Amr', those that Allah has made their obedience the same as your obedience?' Then, the Prophet (p.h.u.h.) said: 'O' Jabir! They are, after me, my successors and the guides of Muslims; the first of them is Ali ibn Abi Talib; then (Imam) Hassan, and (Imam) Husayn; then Ali ibn Husayn; then Mohammad ibn Ali; known in the Turah as Baqir, whom you will see, O' Jabir! When you visit him, give my regards to him. After him, there is Sadiq, Ja'far ibn Muhammad; and after him Musa ibn Ja'far; then Ali ibn Musa; then Muhammad ibn Ali; then Ali ibn Muhammad, then Hassan ibn Ali; and after him (there comes) Al-Qaim, whose name and epithet is the same as mine. He is Allah's Authority on the Earth and His Remainder amongst His servants. He is the son of (Imam) Hassan-ibn-Ali (al-'Askari). This is the very personality by whose hands Allah will open the Easts and Wests of the worlds and this is the very personality who will be absent from his followers and those who love him, in which his mastership cannot be proved by a statement of anyone except for the one whose heart Allah tests for Faith.""                                                                       Jabir said:                                                                                                                                ""I asked him: 'O' Messenger of Allah will his followers avail of him during his occultation?' He answered: 'Yes. By the One Who appointed me to prophethood, they will seek brightness from his light and will avail by devotion in his absence the same as the availing of people from the (glow of) sun when clouds cover it...'","(Ikmal-ud-Din, vol. 1, p. 253, with nearly similar meaning in Yanabir-ul-Mawaddah, p. 117)",0,
Ahlul Bayt ,Malik-ibn-Anas said about the virtue of Imam Sadiq [a],"""No eye has ever seen, no ear has ever heard, and no heart (soul) has ever been striken that there can (contemporaneously) be anybody higher than (Imam) Ja'far Sadiq [a] from the point of virtue, knowledge, worship, and piety.""","Bihar-ul-Anwar, vol. 47, p. 28",0,
Ahlul Bayt ,Imam Husayn [a] said,"""By my soul, there is no Imam but he issues judgement upon the Book, establishes justice, believes in the religion of Truth, and restrains his self alongside the way of Allah. ","Al-Irshad, vol. 204",0,
The Love of Ahlul-Bayt ,The Holy Prophet [s] said,"""Train your children in three things: the love of your Prophet, the love of his progeny, i.e. Ahlul-Bayt, and recitation of the Qur'an.""","AI-Jami'-ul-Saghir, vol. 1, p. 14",0,
The Love of Ahlul-Bayt ,Imam Sadiq [a] said,"""He who is not able to do any good unto us (Ahlul-Bayt) then be may do good to our pious adherents; and he who is not able to visit us, he may visit our righteous followers by which the reward of visiting us (pilgrimage) will be recorded for him.""","Bihar-ul-Anwar, vol. 74, p. 354",0,
The Love of Ahlul-Bayt ,Imam Baqir [a] said,"""The best means by which servants can obtain nearness to Allah, Mighty and Glorious, is the obedience to Allah, the obedience to His Messenger, and the obedience to those charged with (spiritual) authority."" Then, he [a] added: ""The love of us (Ahlul Bayt) is Faith and the hatred of us is infidelity.""","Al-Kafi, vol. 1, p. 187",0,
The Love of Ahlul-Bayt ,Imam Sadiq [a] said,"""Verily, there are various degrees of serving Allah, but affection (and cordial inclination) for us, Ahlul Bayt, is the highest one.""","Bihar-ul-Anwar, vol. 27, p. 91",0,
The Acceptable Characteristics ,The Holy Prophet [s] said,"""Shall I not introduce 'a believer' to you? A believer is the one whom other believers trust with their souls and wealth. Shall I not introduce 'a Muslim' to you? A Muslim is the one from whose hand and tongue other Muslims are safe.... It is unlawful (Haram) for a believer to do wrong against another believer, or leave him/her in a lurch, or backbite against him/her, or suddenly reject him/her.""","AI-Kafi, vol. 2, p. 235",0,
The Acceptable Characteristics ,Imam Sadiq [a] said,"""A Muslim believer must not attend a meeting wherein Allah laws are being disobeyed and the one is not in a position to stop it.""","Usul-i-Kafi, vol. 2, p. 374 ",0,
The Acceptable Characteristics ,Imam Sadiq [a] said,"""He who habitually tells the truth, his deeds are purified; Allah increases the sustenance of the one whose intention is good; and he who treats his family members well, Allah prolongs the length of his life.""","Khisal by Saduq, vol. 1 p. 88",0,
The Acceptable Characteristics ,Imam Amir ul Mu'mineen Ali [a] said,"""A man came to the Prophet [s] and asked him to teach him an action so that both Allah, the Exalted, and people would love him, his wealth would increase, his body would be healthy, his life time would last long, and he would be raised with him (the Prophet). Then, he [s] said: 'These are six traits which need six qualities:
1.  If you want Allah to love you, be afraid of Him and guard yourself against sin.
2.  If you want people to love you, be benevolent to them and decline what they have in their hands.
3.  If you want Allah to increase your wealth, then give its alms tax.
4.  If you want Allah to make your body healthy, pay charity more frequently.
5.  If you want Allah to prolong your lifetime, then have regard for your kinship.
6.  And, if you want Allah to raise you with me, then do prolong your prostrations before Allah, the One, the Dominator.'""

","Safinat-uI-Bihar, vol. 1, p. 599",0,
The Acceptable Characteristics ,"mam Rida, the eighth Imam, [a] said","A Muslim believer is not a true believer unless there are three virtues in him: the manner of his lord, the manner of his Prophet, and the manner of his Imam. Then, the manner of his Lord is: concealing his secrets; hence Allah, to Whom belong Might and Majesty, said: 'The Knower of the Unseen! So He does not reveal His secrets to any, except to him whom He chooses as an apostle,...'                                                                                                                                          [1] Then, the manner of his Prophet is compliance with people, when surely, Allah, Almighty and Glorious, commissioned His prophet to favour people and He has said: 'Practice forgiveness and enjoin good and turn away from the ignorant.'[2]                                                          Then the manner of his Imam is (to be firm and) being patient on good days and bad days, when, verily, Allah to whom belong Might and Majesty, says: 'And (they) are patient in distress and affliction'."" [3]","'Uyun-ul-Akhbar-ur-Rida, vol.1, p.256",0,
The Acceptable Characteristics ,"Imam Muhammad ibn Ali, the nineth Imam [a] said","""A Muslim believer should obtain these three virtues                                                             Success granted by Allah, be an admonisher of his self, and find approval from the one who advises him.""","Muntah-al-'Amal, p.229",0,
The Acceptable Characteristics ,"Ali ibn Husayn [a] the fourth Imam, was once asked how he, the son of the Messenger of Allah began each morning, and he [a] replied","""I begin each morning while I am demanded of eight virtues                                                 Allah, the Exalted, demands of me the obligatory; the Prophet [s] demands of me his tradition (Sunnah); family dependents demand of me food (material); the self looks for desires; Satan demands me (to commit) sin; the two protective angels demand of me virtuousness, the angel of death demands of me the spirit and, the grave demands of me my body.                                                                                                                             Therefore, I am, surrounded by these traits, demanded.""","Bihar-ul-Anwar, vol. 76, p. 15",0,
The Acceptable Characteristics ,Imam Sadiq [a] said,"""Verily everything is intimidated by a believer because the religion of Allah causes him to be powerful, and he is not intimidated by anything, which (epithet) is the characteristic of any believer.""","Bihar-ul-Anwar, vol. 67, p. 305",0,
The Real Followers of Ahlul-Bayt and Their Qualities ,Imam Muhammad Baqir [a] told Jabir,"""Is it enough for a person to (merely) embellish (oneself) as a Shi'ah (follower) by professing love of us, Ahlul-Bayt? Nay! By Allah, a person is not our follower except the one who fears Allah and obeys Him. O' Jabir! Our followers are not recognized save by humility; submission; honesty; praising Allah abundantly; fasting and prayers; filial devotion; attending to the poor, needy, debtors, and orphans who live near him; saying the truth; reciting the Qur'an; withholding the tongue from people except for benediction; and being trustworthy for relatives in any affairs...""","Al-Kafi, vol. 2, p. 74",0,
The Real Followers of Ahlul-Bayt and Their Qualities ,"Sulayman-ibn-Mahran said that he visited Imam Sadiq [a] while some of the followers (Shi'ah) were attending him [a] and he heard that the Imam [a], addressing them, said","""(Behave) to be as ornaments for us and not to be against us as shame. Tell people of goodness, and protect your tongues and hold it from excessive talk and offensive speech.""","Al-Amali, by Saduq, p. 142",0,
The Real Followers of Ahlul-Bayt and Their Qualities ,Imam Sadiq [a] said,"""Verily, we love those who are wise, perceptive (intelligent), learned, forbearing, patient, reliable, and faithful. Surely, Allah, Almighty and Glorious, favoured Prophets [a] with high morality. Then, he who possesses them may praise Allah for them, but he who does not have them may weep unto Allah, the Almighty and Glorious, and ask Him for them."" Jabir humbly asked what they were, and the Imam [a] replied                                                ""They are: piety, contentment, patient endurance, gratefulness, forbearance, modesty, graciousness, courage, enthusiasm, benevolence, truthfulness, and honesty in deposits.""","Al-Kafi, vol. 2, p. 56",0,
The Real Followers of Ahlul-Bayt and Their Qualities ,Imam Baqir [a] said,"""... He who obeys Allah is a lover of us, and the one who disobeys Him then he is an enemy for us (AhIul-Bayt)...""","Al-Kafi, vol. 2, p. 75",0,
Sin and Its Effects,The Holy Prophet [s] said,"""Do not look at the minuteness of the sin, but see Whom you have sinned against.""","Bihar-ul-Anwar, vol. 77, p. 79 & Mustadrak AI-Wasa'il, vol. 11, p. 330",0,
Sin and Its Effects,mam Amir ul Mu'mineen Ali [a] said,"""If one of you desires to know his standing with Allah he may evaluate his situation in relation to his sins against Allah, such is his worthiness to Allah, the Blessed and Exalted.""","Bihar-ul-Anwar, vol. 70, p. 18",0,
Sin and Its Effects,"Imam Sadiq [a] addressed a group of people and inquired why they annoyed the Messenger of Allah. Someone asked Imam [a] how they did so, and he [a] said","""Do you not know that your deeds are reported to him [s]? When he [s] observes a sin against Allah among them, he becomes displeased. Therefore do not hurt the Messenger of Allah but do please him.""","Usul-I-Kafi, vol. 1, p. 219",0,
Sin and Its Effects,Imam Amir ul Mu'mineen Ali [a] said,"""Lacking forgiveness is the worst of deficiencies and hastening in vengeance is (among) the greatest (of all) sins.""","Ghurar-ul-Hikam, p. 235",0,
Sin and Its Effects,"Asbaq-ibn-Nubatah has narrated from the first Imam, Amir ul Mu'mineen Ali [a], who said the Prophet [s] said","""When Allah Almighty and Glorious sends His wrath on a nation and does not punish (them) by it, then; their prices will go up (expensive), their lifetimes will shorten, their merchants will not gain profits, their fruits will not be abundant, their streams will not become brimful, their rain will be withheld from them, and their vicious ones will dominate over them.""","Khisal by Saduq, vol. 2, p.360",0,
Sin and Its Effects,"Imam Baqir [a], the fifth Imam, said that he found in the book of Amir ul Mu'mineen Ali [a] that he has said that the Holy Prophet [s] said","""When adultery appears (abundantly in a society) the (number of) sudden deaths increases; and when there is fraud, Allah takes them in expensiveness and loss. When people stop giving alms tax, the earth holds back its blessings from plants (crops), fruits, mines, and all such things. When they act unjustly according to (divine) ordinances, they have helped injustice and aggression. When they breach (their) promises, the Lord will set their enemies as absolute masters over them. When they break off connections with their kindred, possession of properties will be put in the hands of the wicked. And, when they do not perform enjoining right and forbidding wrong and, also, do not follow the chosen ones of my Ahlul-Bayt, Allah will set their vicious ones over them and, in this condition, their good doers utter invocations but they are not responded to.""","Safinat-uI-Bihar, vol. 2, p. 630",0,
Sin and Its Effects,Imam Amir ul Mu'mineen Ali [a] said,"""The tears do not dry up save for the hearts being hard, and hearts do not harden but because of the abundance of sins.""","Bihar-ul-Anwar, vol. 70, p. 55",0,
Sin and Its Effects,"Allah, the Exalted, told Prophet David [a]","""O' David! Give good news to the sinners of My absolute Mercy, which envelops everything (in the world of existence), so as not to grow hopeless of My Mercy; and warn the good doers of the authority of My wrath in order not to be proud of their obedience, for pride causes arrogance which itself is the greatest of all sins.""","Al-Ithna 'Ashariyyah, p. 59",0,
Knowledge and Its Value ,The Holy Prophet [s] said,"""Teachers and students both share in rewards but other people are deprived of them.""","Bihar-ul-Anwar, vol. 2, p. 25",0,
Knowledge and Its Value ,The Holy Prophet [s] said,"""He who propagates religious affairs without having required competency does a disservice to the religion rather than serving it.""","Bihar-ul-Anwar, vol. 2, p.121",0,
Knowledge and Its Value ,Imam Amir ul Mu'mineen Ali [a] said,"""The worth of every man is in his attainments.""","Nahjul-Balagha, saying No. 482",0,
Knowledge and Its Value ,The Holy Prophet [s] said,""" Knowledge is Allah's deposit on the earth and scholars are His trustees of it. Therefore, he who acts according to his knowledge, has really delivered His deposit....""","Bihar-ul-Anwar, vol. 2, p. 36",0,
Knowledge and Its Value ,Imam Baqir [a] said,"""Try to learn knowledge because learning it is a good action and study is itself a worship.""","Bihar-ul-Anwar, vol. 78, p. 189",0,
