ID,Type,ParaNo,ParaFormat,mqar,mqur,status,TypeNo
50,1,,4,,میں اس خدا کی قسم اٹھا کر کہ جس کی ذات کی تمام امتیں قسم کھاتی ہیں! اس حقیقت کا اعتراف کرتا ہوں کہ میں گزشتہ پچاس سال سے اس خطبہ کو ہزار مرتبہ سے زیادہ پڑھ چکا ہوں۔ یہ حقیقت ہے کہ میں نے جب بھی اسے پڑھا اس نے مجھ میں خوفِ خدا، قیامت کی یاد اور وعظ و نصیحت کی حالت کو زندہ کیا، اس کے ہر بار مطالعے سےمیرے دل کی دھڑکنیں تیز ہو گئیں اور اعضائے بدن پر لرزہ طاری ہو گیا۔ میں نے جب بھی اسے پڑھا میرے رشتہ داروں، عزیزوں اور پیاروں کی موت میرے سامنے مجسم ہو گئی اور ہر بار مجھے یہی احساس ہوا کہ جیسے میں ہی وہ شخص ہوں جس کی حالت کو امیر المومنین(ع)نے اس خطبہ میں بیان کیا ہے۔{ FR 4014 },,0
51,1,,1,,نہج البلاغہ میں توحید کے بیان کے بارے میں ابن ابی الحدید رقمطراز ہیں:,,0
52,1,,3,,½وَ اعْلَمْ اَنَّ التَّوْحِيْدَ وَ الْعَدْلَ وَ الْمَبَاحِثَ الشَّرِيْفَةَ الْاِلٰهيَّةَ مَا عُرِفَتْ اِلَّا مِنْ كَلَامِ هٰذَا الرَّجُلِ، وَ اَنَّ كَلَامَ غَيْرِهٖ مِنْ اَكَابِرِ الصَّحَابَةِ لَمْ يَتَضَمَّنْ شَيْئًا مِّنْ ذٰلِكَ اَصْلًا وَّ لَا كَانُوْا يَتَصَوَّرُوْنَهٗ، وَ لَوْ تَصَوَّرُوْهُ لَذَكَرُوْهُ، وَ هٰذِهِ الْفَضِيْلَةُ عِنْدِیْ اَعْظَمُ فَضَآئِلِهٖ ؑ.‏¼,,0
53,1,,4,,جان لیجئے! توحید و عدل اور دوسری عظیم الٰہی ابحاث کی معرفت اس ہستی کے علاوہ کسی سے حاصل نہیں ہوئی۔ کسی اور بزرگ صحابی کا کلام ان مطالب کو حاوی نہیں، بلکہ یہ مطالب ان کی فکر میں بھی نہیں تھے۔ اگر وہ ان موضوعات کا تصور رکھتے ہوتے تو اسے بیان کرتے اور علی(ع)کی یہ فضیلت میرے نزدیک سب سے بڑی فضیلت ہے۔{ FR 4015 },,0
54,1,,1,,مصر کےمشہور مفتی جناب علامہ شیخ محمد عبدہ متوفی ۱۳۲۳ ہجری اپنی شرح نہج البلاغہ کے مقدمہ میں تحریر فرماتے ہیں:,,0
55,1,,3,,½وَ اَحْيَانًا كُنْتُ اَشْهَدُ اَنَّ عَقْلًا نُوْرَانِيًّا لَّا يَشْبَهُ خَلْقًا جَسَدَانِيًّا، فَصَلَ عَنِ الْمَوْكِبِ الْاِلٰهِیِّ وَ اتَّصَلَ بِالرُّوْحِ الْاِنْسَانِیِّ، فَخَلَعَهٗ عَنْ غَاشِيَاتِ الطَّبِيْعَةِ، وَ سَمَا بِهٖ اِلَی الْمَلَكُوْتِ الْاَعْلٰی، وَ نَمَا بِهٖ اِلٰی مَشْهَدِ النُّوْرِ الْاَجْلٰی، وَ سَكَنَ بِهٖ اِلٰی عَمَارِ جَانِبِ التَّقْدِيْسِ، بَعْدَ اسْتِخَلَاصِهٖ مِنْ شَوَآئِبِ التَّلْبِيْسِ. ¼,,0
56,1,,4,,(کتاب نہج البلاغہ کے مطالعے کے دوران (بعض اوقات میں ایسے مشاہدہ کرتا تھا کہ ایک نورانی عقل جو جسمانی مخلوق سے کسی حیثیت سے بھی مشابہ نہیں ہے، بارگاہِ خداوندی سے الگ ہوئی اور انسانی روح سے متصل ہوکر اسے طبیعت کے پردوں اورمادیت کے حجابوں سے نکال کر اسے عالم ملکوت تک پہنچادیا اورتجلیات ربانی کے مرکز تک بلند کردیا اور لے جاکر عالم قدسی کا ساکن بنا دیا۔{ FR 4016 },,0
57,1,,1,,نہج البلاغہ کے بارے میں آیت اللہ خمینی(رہ) فرماتے ہیں:,,0
58,1,,4,,یہ ایک شفا بخش معجون اور فردی و اجتماعی دردوں کی دوا ہے۔{ FR 4017 },,0
59,1,,1,,آیت اللہ خامنہ ای فرماتے ہیں:,,0
60,1,,4,,نہج البلاغہ حقیقت میں علی بن ابی طالب(ع)کے تعارف اور پہچان کی کتاب ہے۔ نہج البلاغہ ایک مجسم انسانِ کامل ہے۔ نہج البلاغہ، اسلام کی بے نظیر میراث ہے جسے زندہ رکھنا فقط شیعہ نہیں، بلکہ تمام مسلمانوں کا اولین فریضہ ہے۔{ FR 4018 },,0
61,1,,1,,نہج البلاغہ سے علی(ع)کی صدائیں سنائی دیتی ہیں۔ گویا آپؑ آج صدا دے رہے ہیں:,,0
62,1,,3,,½﴿فَاَیْنَ تَذْهَبُوْنَ﴾! وَ ﴿اَنّٰی تُؤْفَكُوْنَ﴾! وَ الْاَعْلَامُ قَآئِمَةٌ، وَ الْاٰیَاتُ وَاضِحَةٌ، وَ الْمَنَارُ مَنْصُوْبَةٌ. ¼,,0
63,1,,4,,تم کہاں جا رہے ہو اور تمہیں کدھر موڑا جا رہا ہے؟ حالانکہ ہدایت کے پرچم بلند ہیں، نشانیاں ظاہر و روشن ہیں اور حق کے مینار نصب ہیں۔{ FR 4019 },,0
64,1,,1,,نہج البلاغہ میں حضرت امیر المومنین علی(ع)ہماری نجات کا حقیقی نسخہ بیان کرتے ہوں ارشاد فرماتے ہیں:,,0
65,1,,3,,½فَاتَّقُوا اللهَ عِبَادَ اللهِ، وَ فِرُّوْا اِلَى اللهِ مِنَ اللهِ وَ امْضُوْا فِیْ الَّذِیْ نَهَجَهٗ لَكُمْ، وَ قُوْمُوْا بِمَا عَصَبَهٗ بِكُمْ، فَعَلِیٌّ ضَامِنٌ لِّفَلْجِكُمْ اٰجِلًا، اِنْ لَمْ تُمْنَحُوْهُ عَاجِلًا. ¼,,0
66,1,,4,,اللہ کے بندو! اللہ سے ڈرو اور اس کے غضب سے بھاگ کر اُس کے دامنِ رحمت میں پناہ لو، اللہ کی دکھائی ہوئی راہ پر چلو اور اس کے عائد کردہ احکام بجا لاؤ۔ اگر یہ روش اپناؤ تو علیؑ تمہاری نجات اُخروی کا ضامن ہے، اگرچہ اس دنیا میں کامیابی و کامرانی تمہیں نصیب نہ ہو۔{ FR 4020 },,0
67,1,,1,,نہج البلاغہ سے ایسے اقتباسات نقل کئے جائیں تو یہ خود ایک ضخیم کتاب بنتی ہے اور ان اقتباسات پر مشتمل کئی کتابیں لکھی جا چکی ہیں، اس لئے ہم اسے قارئین کے مطالعہ پر چھوڑتے ہیں۔,,0
68,1,,1,,المختصر یہ کہ نہج البلاغہ اللہ کے ولی کا، اللہ کے بندوں کو، اللہ کی طرف بلانے کا دعوت نامہ ہے۔ نیز یہ اللہ کے بندوں کو اللہ کا تعارف کرانے کا جامع و کامل ذریعہ اور اللہ کی کتاب کی بہترین تفسیر ہے۔,,0
69,1,,1,,علامہ مفتی جعفر حسین(رہ)نے اردو دان طبقہ پر احسان کیا کہ نہج البلاغہ کا اردو میں ترجمہ کیا اور نہج البلاغہ کےعربی ادب کے معیار کو سامنے رکھتے ہوئے اردو ادب کی تمام باریکیاں ترجمہ میں ملحوظ خاطر رکھیں۔ مفتی صاحب نے ۱۸ رجب ۱۳۷۵ ہجری کو یہ ترجمہ مکمل کیا۔ اگرچہ اس سے پہلے اور بعد میں نہج البلاغہ کے اردو میں کئی ترجمے ہوئے مگر علم دوست حلقوں میں جو مقبولیت اسے ملی وہ کسی اور ترجمہ کو نہیں ملی۔ اس وقت جب اردو اور فارسی میں درجنوں ترجمے موجود ہیں ان کو سامنے رکھتے ہوئے مفتی صاحب کے ترجمہ کو دقت سے دیکھا جائے تو مفتی صاحب کے کمال علمی کا اندازہ ہوتا ہے۔,,0
70,1,,1,,علامہ مفتی جعفر حسین اعلی اللہ مقامہ کی زندگی میں پہلی بار نہج البلاغہ تین جلدوں میں ”ادارۂ علمیہ پاکستان لاہور“کی طرف سے شائع ہوا۔ مفتی صاحب کی زندگی میں ہی دوسری بار چند نئے حواشی اور کچھ تصحیح کے ساتھ ”اضافہ شدہ ایڈیشن“ امامیہ کتب خانہ لاہور کی طرف سے شائع ہوا۔,,0
71,1,,1,,دوسرے ایڈیشن میں جو اضافات شامل کئے گئے ان کی چند مثالیں پیش خدمت ہیں:,,0
72,1,,1,,مثلا خطبہ ۱۵۳ میں ادارۂ علمیہ والے ایڈیشن میں حاشیہ نہیں ہے اور امامیہ کتب خانہ والے میں چمگادڑ سے متعلق حاشیہ کا اضافہ کیا گیا ہے۔,,0
73,1,,1,,یا خطبہ ۱۶۳ میں پہلے ایڈیشن میں حاشیہ نہیں ہے اور دوسرے ایڈیشن میں حاشیہ موجود ہے۔,,0
74,1,,1,,یا خطبہ ۱۹ میں علامہ سیّد رضیؒ کی تشریح کی عربی عبارت نہیں ہے، جبکہ دوسرے ایڈیشن میں درج ہے۔,,0
75,1,,1,,عربی اور اردو عبارات میں بھی کئی مقامات پر دوسرے ایڈیشن میں تصحیح کی گئی ہے۔,,0
76,1,,1,,پہلے ایڈیشن کی تیسری جلد کے آخر میں اٹھاون (۵۸) اغلاط کی نشاندہی کی گئی جن کی دوسرے ایڈیشن میں تصحیح کر دی گئی۔,,0
77,1,,1,,البتہ دوسرے ایڈیشن میں تصحیح کے بعد جو اغلاط رہ گئیں وہ پھر مسلسل اسی انداز سے چھپتی رہیں۔ ایک کوشش امامیہ پبلیکیشنز لاہور والوں نے کی جو قابل قدر ہے مگر اس میں بھی درجنوں غلطیاں موجود ہیں اور پیراگراف بھی نہیں بنائے گئے۔,,0
78,1,,5,,موجودہ ایڈیشن کی انفرادیت,,0
79,1,,1,,الحمدللہ نہج البلاغہ کی مقبولیت روز بروز بڑ ھ رہی ہے اور متعدد ادارے اچھے سے اچھے انداز میں نہج البلاغہ کو طبع کرانے میں مشغول ہیں اور درجنوں قسم کے ایڈیشن بازار میں موجود ہیں۔ مرکزِ افکار اسلامی بھی ایک مدت سے کلام امیر المومنینؑ کو محبان امیر المومنینؑ تک پہنچانے کیلئے کوشاں ہے اور اس کیلئے متعدد قدم اٹھائے جن کے یہاں بیان کی ضرورت نہیں۔ طباعت کے حوالے سے ہمیشہ جن عمومی یا خصوصی کمزوریوں کا سامنا ہوتا تھا ان کو مدنظر رکھتے ہوئے مرکز افکار اسلامی نے مکمل طور پر نئے سرے سے نہج البلاغہ کے زیر نظر ایڈیشن کو شائع کرانے کا ارادہ کیا۔ اس اشاعت میں جن امور کو مدنظر رکھا گیا ان میں سے کچھ درج ذیل ہیں:,,0
80,1,,1,,[1] سب سے پہلے عربی متن کی تصحیح کیلئے کام شروع کیا گیا تو اس نسخے کی تلاش شروع ہوئی جس سے مفتی صاحب نے استفادہ کیا تھا۔ چونکہ عربی میں کئی نسخے ہیں اور مفتی صاحب نے کہیں تحریر نہیں فرمایا کہ ان کے سامنے کونسا نسخہ تھا، تاکہ اس کے مطابق عربی کو دیکھاجائے۔ چنانچہ چند ماہ کی مسلسل کوشش اور ایران و عراق اور دیگر اسلامی ممالک میں دستیاب نہج البلاغہ کے درجن بھر نسخوں سے مفتی صاحب والے نسخہ کی تطبیق کے بعد واضح ہوا کہ مفتی صاحب نے عربی کتابت کیلئے شیخ محمد عبدہ مصری کا ”مطبعۃ الاستقامة مصر“ والا تین جلدی نسخہ استعمال کیا۔,,0
81,1,,1,,چنانچہ اس نسخہ کو سامنے رکھتے ہوئے عربی عبارات کو مفتی صاحب کے نسخہ سے تطبیق دی اور اگر کہیں مفتی صاحب کا نسخہ شیخ محمد عبدہ والے نسخہ سے الگ تھا تو درج ذیل نسخوں کو دیکھا گیا جس میں اس بات کو ملحوظ رکھا گیا کہ اگر کوئی ایک نسخہ مفتی صاحب والے نسخہ سے مطابقت رکھتا ہے تو مفتی صاحب والی عربی عبارت کو باقی رکھا گیا اور اگر مفتی صاحب والا نسخہ کسی سے مطابقت نہیں رکھتا تو مفتی صاحب کے ترجمہ کو دیکھا گیا کہ جس عربی عبارت سے مفتی صاحب کا ترجمہ ملتا ہے اس عربی عبارت کو درج کیا گیا اوراگر ترجمہ میں کوئی فرق واضح نہیں ہوتا تھا تو جو عبارت اکثر نسخوں میں تھی اس کے مطابق عبارت کو رکھا گیا۔ اس مرحلہ پر جن نسخوں کو مدنظر رکھا گیا ان میں:,,0
82,1,,1,,شیخ محمد عبدہ کا مصری نسخہ,,0
83,1,,1,,حرم امیر المؤمنینؑ سے طبع شدہ الشیخ قیس بہجت العطار کا تحقیق شدہ نسخہ,,0
84,1,,1,,حرم امیر المؤمنینؑ ہی سے طبع شدہ السید ہاشم میلانی کا تحقیق شدہ نسخہ,,0
85,1,,1,,بنیاد نہج البلاغہ کا نسخہ,,0
86,1,,1,,صبحی صالح کا نسخہ,,0
87,1,,1,,منہاج البراعہ شرح نہج البلاغہ کا نسخہ,,0
88,1,,1,,ابن میثم بحرانی کی شرح والا نسخہ,,0
89,1,,1,,مصادر نہج البلاغہ، سیّد عبدالزہرا والا نسخہ,,0
90,1,,1,,شیخ محمد عبدہ کا موسسۃ التاریخ العربی، بیروت لبنان والا نسخہ,,0
91,1,,1,,آقائے دشتی کا نسخہ,,0
92,1,,1,,پیام امام آقای مکارم والا نسخہ,,0
93,1,,1,,اور چند موارد میں آقای مرعشی نجفی کے مکتبہ سے شائع ہونے والے پانچویں صدی کے مخطوطہ سے استفادہ کیا گیا۔,,0
94,1,,1,,[2] اردو نہج البلاغہ کے پہلے شائع ہونے والے نسخوں میں عربی عبارت اور اردو ترجمہ ایک دوسرے کے مقابل نہیں تھا، بلکہ طولانی خطبات میں ایسا بھی تھا کہ عربی ایک صفحہ پر ہے تو اردو اس سے اگلے صفحہ پر۔ جبکہ اس نسخہ میں عربی کے سامنے اس کا اردو ترجمہ لایا گیا۔,,0
95,1,,1,,[3] عربی اور اردو عبارتوں میں پیراگراف کا کوئی خیال نہیں رکھا گیا تھا۔ بعض عبارتیں مسلسل تین صفحات پر جاری تھیں۔ اس نسخہ میں انہیں بڑی محنت سے چھوٹے پیرا گرافوں میں تقسیم کیا گیا جس کیلئے متعدد فارسی تراجم اور عربی میں چھپنے والے نسخوں کو مدنظر رکھا گیا۔,,0
96,1,,1,,[4] عربی رسم الخط کیلئے اردو دان طبقہ کے ہاں رائج قرآنی رسم الخط کو استعمال کیا گیا۔,,0
97,1,,1,,[5] اردو عبارت کیلئے بہترین فونٹ کو استعمال کیا گیا۔,,0
98,1,,1,,[6] عربی اور اردو عبارتوں کی (،) (.)۔(جیسی علامات لگا کر دقت سے جملہ بندی کی گئی تاکہ ترجمہ سمجھنے میں آسانی ہو اور کسی کو آپؑ کا کلام حفظ کرنا یا اس کی تلاوت کرنی ہو تو اسے بھی دقت نہ ہو۔,,0
99,1,,1,,[7] حواشی کی عربی عبارات کو حتی المقدور حد تک اصل ماخذ سے تطبیق کیا گیا۔,,0
100,1,,1,,[8] حواشی میں موجود عربی عبارتوں اور اشعارکی مکمل اعراب گزاری کی گئی تاکہ عام قارئین کو عربی عبارت پڑھنے میں آسانی ہو۔,,0
101,1,,1,,[9] نہج البلاغہ کے متن یا حواشی میں جہاں آیات آئیں ان کیلئے مخصوص علامات کا استعمال کر کے انہیں واضح اور نمایاں کیا گیا۔ اس سلسلے میں عربی کیلئے اور اردو میں () کی علامتوں کا استعمال کیا گیا تاکہ کتاب کے اصل متن یا حاشیہ میں موجود قرآنی آیات کا قاری کو با آسانی علم ہو جائے) ۔,,0
102,1,,1,,[10] نہج البلاغہ کے متن میں موجود احادیث نبوی اور مخصوص جملات و عبارات کو (» «) کی علامتوں کے درمیان لکھ کر نمایاں کیا گیا۔,,0
103,1,,1,,[11] حواشی کی عبارتوں میں موجود آیات کے مکمل حوالہ جات درج کئے گئے۔,,0
104,1,,1,,[12] حواشی میں جہاں کلام معصوم ہے اس میں نہج البلاغہ کے اصل متنِ والا فونٹ استعمال کیا گیا اور متن یا جواشی میں عام عربی عبارت کیلئے متن سے الگ رسم الخط استعمال کیا گیا۔,,0
105,1,,1,,[13] حواشی کی عربی عبارات کے جہاں مفتی صاحب نے حوالے درج کئے انہیں اسی طرح پیراگراف کے آخر میں بریکٹوں میں درج کر دیا اور جہاں حوالے موجود نہ تھے وہاں ہم نے اپنے پاس دستیاب ماخذ سے دیکھ کر حوالہ جات کو فٹ نوٹ کی صورت میں شامل کر دیا۔,,0
106,1,,1,,[14] پرنٹنگ کے مرحلے میں کاغذ و جلد اور دیگر چیزوں کا معیار آپ کے سامنے موجود ہے اس کا فیصلہ آپ خود کریں گے۔,,0
107,1,,1,,[15] تحقیق و تطبیق کے دوران گزشتہ نسخوں میں چند موارد ایسے بھی دیکھنے میں آئے جہاں عربی عبارت تھی مگر ترجمہ نہیں تھا یا اردو ترجمہ موجود تھا مگر عربی عبارت درج نہ تھی۔ چنانچہ اس کی باریک بینی سے اصلاح کی گئی۔ اس کے چند موارد درج ذیل تھے:,,0
108,1,,1,,خطبہ ۱۵۳ میں پہلے ایڈیشن میں: ”اور ان کی پناہ میں ہوتے ہیں ”کا جملہ موجود ہے اور دوسرے ایڈیشن میں موجود نہیں۔,,0
109,1,,1,,خطبہ ۱۷۴ میں پہلے ایڈیشن میں جملہ”اور اس کے خلاف خود اپنی رایوں پر بھروسا نہ کرو“ موجود ہے، جبکہ دوسرے ایڈیشن میں یہ موجود نہیں ہے۔,,0
110,1,,1,,خطبہ ۱۹۱ خطبۃ المتقین میں ”حِرْصًا فِی الْعِلْمِ“ کا ترجمہ نہیں ہے۔,,0
111,1,,1,,خطبہ ۲۱۸ میں ½”كَانَ فِی الدُّنْیَا غَذِیَّ تَرَفٍ، وَ رَبِیْبَ شَرَفٍ“¼ کا ترجمہ درج نہیں ہے۔,,0
112,1,,1,,مکتوب ۵۳ میں ½ ”وَ الْحَقُّ کُلُّہٗ ثَقِیْلٌ“¼ کا ترجمہ درج نہیں تھا۔,,0
113,1,,1,,خطبہ ۲۰۳ میں ½ ”وَ لَا وَقَعَ حُكْمٌ جَهِلْتُهٗ، ۔۔۔“¼ سے تین جملوں کا ترجمہ نہیں ہے۔,,0
114,1,,1,,ایسے کئی اور موارد بھی ہیں جن کی مناسب انداز میں تصحیح کر دی گئی۔,,0
