ID,Type,TypeNo,ParaNo,ParaFormat,hawashiflag,hawashi,status
22,1,1,22.0,3,,½لَمْ يَزَلِ اللّٰهُ عَزَّ وَ جَلَّ رَبَّنَا وَ الْعِلْمُ ذَاتُهٗ وَ لَا مَعْلُوْمَ وَ السَّمْعُ ذَاتُهٗ وَ لَا مَسْمُوْعَ وَ الْبَصَرُ ذَاتُهٗ وَ لَا مُبْصَرَ وَ الْقُدْرَةُ ذَاتُهٗ وَ لَا مَقْدُوْرَ، فَلَمَّاۤ اَحْدَثَ الْاَشْيَآءَ وَ كَانَ الْمَعْلُوْمُ وَقَعَ الْعِلْمُ مِنْهُ عَلَى الْمَعْلُوْمِ وَ السَّمْعُ عَلَى الْمَسْمُوْعِ وَ الْبَصَرُ عَلَى الْمُبْصَرِ وَ الْقُدْرَةُ عَلَى الْمَقْدُوْرِ.¼,
23,1,1,23.0,4,,ہمارا خدائے بزرگ و بر تر ہمیشہ سے عینِ علم رہا حالانکہ معلوم ابھی کتم عدم میں تھا، اور عین سمع و بصر رہا حالانکہ نہ کسی آواز کی گونج بلند ہوئی تھی اور نہ کوئی دکھائی دینے والی چیز تھی، اور عین قدرت رہا، حالانکہ قدرت کے اثرات کو قبول کرنے والی کوئی شے نہ تھی۔ پھر جب اس نے ان چیزوں کو پیدا کیا اور معلوم کا وجود ہوا تو اس کا علم معلومات پر پوری طرح منطبق ہوا، خواہ وہ سنی جانے والی صدائیں ہوں یا دیکھی جانے والی چیزیں ہوں اور مقدور کے تعلق سے اس کی قدرت نمایاں ہوئی۔(توحید صدوق، ص۱۳۹),
24,1,1,24.0,1,,یہ وہ عقیدہ ہے جس پر آئمہ اہل بیت علیہم السلام کا اجماع ہے، مگر سواد اعظم نے اس کے خلاف دوسرا راستہ اختیار کیا ہے اور ذات و صفات میں علیحدگی کا تصور پیدا کر دیا ہے۔ چنانچہ شہر ستانی نے تحریر کیا ہے کہ:,
25,1,1,25.0,1,,½قَالَ اَبُو الْحَسَنِ: الْبَارِیْ تَعَالٰى عَالِمٌۢ بِعِلْمٍ، قَادِرٌۢ بِقُدْرَةٍ، حَیٌّۢ بِحَيَاةٍ، مُرِيْدٌۢ بِاِرَادَةٍ، مُتَكَلِّمٌۢ بِكَلَامٍ، سَمِيْعٌۢ بِسَمْعٍ، بَصِيْرٌۢ بِبَصَرٍ. ¼,
26,1,1,26.0,1,,ابوالحسن اشعری کہتے ہیں کہ: باری تعالیٰ علم، قدرت ، حیات، ارادہ، کلام اور سمع و بصر کے ذریعہ عالم، قادر، زندہ، مرید، متکلم اور سمیع و بصیر ہے۔ (الملل و النحل، شہرستانی، ج۱، ص۹۳),
27,1,1,27.0,1,e۱,اگر صفتوں کو اس طرح زائد بر ذات مانا جائے گا تو دو حال سے خالی نہیں: یا تو یہ صفتیں ہمیشہ سے اس میں ہوں گی یا بعد میں طاری ہوئی ہوں گی۔ پہلی صورت میں جتنی اس کی صفتیں مانی جائیں گی اتنے ہی قدیم اور ماننا پڑیں گے جو قدامت میں اس کے شریک ہوں گے §﴿تَعٰلَى اللہُ عَمَّا يُشْرِكُوْنَ﴾¦۔ اور دوسری صورت میں اس کی ذات کو محلِ حوادث قرار دینے کے علاوہ یہ لازم آئے گا کہ وہ ان صفتوں کے پیدا ہونے سے پہلے نہ عالم ہو، نہ قادر، نہ سمیع ہو اور نہ بصیر ۔اور یہ عقیدہ اساسی طور پر اسلام کے خلاف ہے۔,
28,1,1,28.0,1,s۲,۲قرآن مجید کے احکام کے سلسلہ میں فرماتے ہیں کہ:,
29,1,1,29.0,1,,اس میں حلال و حرام کا بیان ہے، جیسے: §﴿وَاَحَلَّ اللّٰهُ الْبَيْعَ وَحَرَّمَ الرِّبٰوا‌ ؕ﴾¦ ©۷®: ’’اللہ نے خرید و فروخت کو جائز کیا ہے اور سود کو حرام کر دیا ہے‘‘۔,
30,1,1,30.0,1,,اس میں فرائض و مستحبات کا ذکر ہے، جیسے: §﴿فَاِذَا قَضَيْتُمُ الصَّلٰوةَ فَاذْكُرُوا اللّٰهَ قِيَامًا وَّقُعُوْدًا وَّعَلٰى جُنُوْبِكُمْ ۚؕ فَاِذَا اطْمَاْنَنْتُمْ فَاَقِيْمُوا الصَّلٰوةَ‌ ۚ﴾¦ ©۸®: ’’جب نماز (خوف) ادا کر چکو تو اٹھتے بیٹھتے لیٹتے اللہ کو یاد کرو اور جب (دشمن کی طرف سے) مطمئن ہو جاؤ تو پھر (معمول کے مطابق) نماز پڑھا کرو‘‘۔ نماز فرض ہے اور دوسرے اذکار مستحب ہیں۔,
31,1,1,31.0,1,,اس میں ناسخ و منسوخ بھی ہیں۔ ’’ناسخ‘‘ جیسے عدہ وفات میں: §﴿اَرْبَعَةَ اَشْهُرٍ وَّعَشْرًا﴾¦©۹®: ’’چار مہینے دس دن‘‘ اور ’’منسوخ‘‘ جیسے: §﴿مَتَاعًا اِلَى الْحَوْلِ غَيْرَ اِخْرَاجٍ۝۰ۚ﴾¦ (سورۂ بقرہ، آیت۲۴۰) جس سے ظاہر ہوتا ہے کہ عدہ وفات ایک سال ہے۔,
32,1,1,32.0,1,,اس میں مخصوص مواقع پر حرام چیزوں کیلئے رخصت و اجازت بھی ہے، جیسے: §﴿فَمَنِ اضْطُرَّ غَيْرَ بَاغٍ وَّلَا عَادٍ فَلَاۤ اِثْمَ عَلَيْهِ‌ؕ ﴾¦©۱۰®: ’’اگر کوئی شخص بحالت مجبوری (حرام چیزوں میں سے) کچھ کھالے تو اس پر کوئی گناہ نہیں، درآں صورتیکہ حدود شریعت کو توڑنا اور ان سے متجاوز ہونا نہ چاہتا ہو‘‘۔,
33,1,1,33.0,1,,اس میں اٹل احکام بھی ہیں جیسے: §﴿وَّلَايُشْرِكْ بِعِبَادَةِ رَبِّهٖۤ اَحَدًا‏ ۝﴾¦©۱۱®: ’’چاہئے کہ وہ اپنے پروردگار کی عبادت میں کسی کو شریک نہ کرے‘‘۔,
34,1,1,34.0,1,,اس میں خاص و عام بھی ہیں۔ ’’خاص‘‘ وہ کہ جس کے لفظ میں وسعت ہو اور معنی مقصود کا دائرہ محدود ہو، جیسے: §﴿وَاَنِّىْ فَضَّلْتُكُمْ عَلَى الْعٰلَمِيْنَ‏۝﴾¦©۱۲®: ’’اے بنی اسرائیل ہم نے تمہیں عالمین پر فضیلت دی ہے‘‘۔ اس میں ’’عالمین‘‘ سے صرف انہی کا زمانہ مراد ہے، اگرچہ لفظ تمام جہانوں کو شامل ہے، اور ’’عام‘‘ وہ ہے جو اپنے معنی میں پھیلاؤ رکھتا ہو، جیسے: §﴿وَاللّٰهُ بِكُلِّ شَىْءٍ عَلِيْمٌ ۙ‏۝﴾¦©۱۳®: ’’اللہ ہر چیز کا جاننے والا ہے‘‘۔,
35,1,1,35.0,1,,اس میں عبرتیں اور مثالیں بھی ہیں: ’’عبرتیں‘‘ جیسے: §﴿فَاَخَذَهُ اللّٰهُ نَڪَالَ الْاٰخِرَةِ وَالْاُوْلٰى ؕ‏ ۝  اِنَّ فِىْ ذٰلِكَ لَعِبْرَةً لِّمَنْ يَّخْشٰىؕ  ۝﴾¦©۱۴®: ’’خدا نے اسے دنیا و آخرت کے عذاب میں دھر لیا، جو اللہ سے ڈرے اس کیلئے اس میں عبرت کا سامان ہے‘‘۔ اور ’’مثالیں‘‘ جیسے: §﴿ مَثَلُ الَّذِيْنَ يُنْفِقُوْنَ اَمْوَالَهُمْ فِىْ سَبِيْلِ اللّٰهِ كَمَثَلِ حَبَّةٍ اَنْۢبَتَتْ سَبْعَ سَنَابِلَ فِىْ كُلِّ سُنْۢبُلَةٍ مِّائَةُ حَبَّةٍ‌ؕ﴾¦©۱۵®: ’’جو لوگ اللہ کی راہ میں اپنا مال خرچ کرتے ہیں ان کی مثال اس بیج کی سی ہے جس سے سات بالیاں نکلیں اور ہر بالی میں سو سو دانے ہوں‘‘۔,
36,1,1,36.0,1,,اس میں مطلق و مقید ہیں۔ ’’مطلق‘‘ وہ کہ جس میں کسی قسم کی تقیید و پابندی نہ ہو، جیسے: §﴿وَاِذْ قَالَ مُوْسٰى لِقَوْمِهٖۤ اِنَّ اللّٰهَ يَاْمُرُكُمْ اَنْ تَذْبَحُوْا بَقَرَةً ؕ﴾¦©۱۶®: ’’اس موقعہ کو یاد کرو کہ جب موسیٰ علیہ السلام نے اپنی قوم سے کہا کہ تمہیں اللہ کا یہ حکم ہے کہ تم کوئی سی گائے ذبح کرو‘‘۔ اور ’’مقید‘‘ وہ کہ جس میں تشخص و قیود کی پابندی ہو، جیسے: §﴿اِنَّهٗ يَقُوْلُ اِنَّهَا بَقَرَةٌ لَّا ذَلُوْلٌ تُثِيْرُ الْاَرْضَ وَلَا تَسْقِى الْحَـرْثَ﴾¦©۱۷®: ’’اللہ فرماتا ہے کہ وہ ایسی گائے ہو . جو نہ ہل میں جوتی گئی ہو اور نہ اس سے کھیتوں کو سینچا گیا ہو‘‘۔,
37,1,1,37.0,1,,اس میں محکم و متشابہہ بھی ہیں۔ ’’محکم‘‘ وہ کہ جس میں کوئی گنجلک نہ ہو جیسے: §﴿اِنَّ اللّٰهَ عَلٰى کُلِّ شَىْءٍ قَدِيْرٌ‏﴾¦©۱۸®: ’’بے شک اللہ ہر چیز پر قادر ہے‘‘۔ اور ’’متشابہ‘‘ وہ کہ جس کے معنی الجھے ہوئے ہوں جیسے: §﴿اَلرَّحْمٰنُ عَلَى الْعَرْشِ اسْتَوٰى﴾¦©۱۹® جس کے ظاہر مفہوم سے یہ توہم بھی ہوتا ہے کہ وہ جسمانی طور سے عرش پر برقرار ہے، لیکن مقصود غلبہ و تسلط ہے۔,
38,1,1,38.0,1,,اس میں بعض احکام مجمل ہیں، جیسے: §﴿وَّاَقِيْمُوا الصَّلٰوةَ﴾¦©۲۰®:‘‘ نماز قائم کرو‘‘۔,
39,1,1,39.0,1,,اس میں گہرے مطالب بھی ہیں جیسے وہ آیات کہ جن کے متعلق قدرت کا ارشاد ہے کہ: §﴿وَمَا يَعْلَمُ تَاْوِيْلَهٗۤ اِلَّا اللّٰهُ ؔ‌ۘ وَ الرّٰسِخُوْنَ فِى الْعِلْمِ﴾¦©۲۱®: ’’ان کی تاویل کو اللہ اور رسولؐ اور علم کی گہرائیوں میں اترے ہوئے لوگوں کے علاوہ کوئی دوسرا نہیں جانتا‘‘۔,
40,1,1,40.0,1,,پھر ایک دوسرے عنوان سے تفصیل بیان فرماتے ہیں کہ:,
41,1,1,41.0,1,,اس میں کچھ چیزیں وہ ہیں جن کا جاننا ضروری ہے، جیسے: §﴿فَاعْلَمْ اَنَّهٗ لَاۤ اِلٰهَ اِلَّا اللّٰهُ﴾¦©۲۲®: ’’اس بات کو جانے رہو کہ اللہ کے علاوہ کوئی معبود نہیں‘‘۔ اور کچھ چیزیں وہ ہیں جن کا جاننا ضروری نہیں ہے، جیسے: §﴿الٓمّٓۚ‏﴾¦ (سورۂ بقرہ، آیت۱)وغیرہ۔,
42,1,1,42.0,1,,اور اس میں کچھ احکام ایسے ہیں جو سنت پیغمبرؐ سے منسوخ ہو گئے ہیں، جیسے: §﴿وَالّٰتِىْ يَاْتِيْنَ الْفَاحِشَةَ مِنْ نِّسَآٮِٕكُمْ فَاسْتَشْهِدُوْا عَلَيْهِنَّ اَرْبَعَةً مِّنْكُمْ‌ ۚ فَاِنْ شَهِدُوْا فَاَمْسِكُوْهُنَّ فِى الْبُيُوْتِ حَتّٰى يَتَوَفّٰٮهُنَّ الْمَوْتُ﴾¦ ©۲۳®: ’’تمہاری عورتوں میں سے جو بد چلنی کی مرتکب ہوں ان کی بدکاری پر اپنے آدمیوں میں سے چار کی گواہی لو، اگر وہ گواہی دیں تو ایسی عورتوں کو گھروں میں بند کر دو، یہاں تک کہ موت ان کی زندگی ختم کر دے‘‘۔ یہ سزا اوائل اسلام میں تھی لیکن بعد میں شوہر دار عورتوں کیلئے اس حکم کو حکم رجم سے منسوخ کر دیا گیا۔ اس میں کچھ احکام ایسے ہیں جن سے سنت پیغمبرؐ منسوخ ہو گئی، جیسے: §﴿فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْجِدِ الْحَـرَامِؕ﴾¦©۲۴®: ’’چاہئے کہ تم اپنا رخ مسجد حرام کی طرف موڑ لو‘‘۔ اس سے بیت المقدس کی طرف رخ کرنے کا حکم منسوخ کر دیا گیا۔,
43,1,1,43.0,1,,اس میں ایسے احکام بھی ہیں جو صرف مقررہ وقت پر واجب ہوتے ہیں اور اس کے بعد ان کا وجوب باقی نہیں رہتا، جیسے: §﴿اِذَا نُوْدِىَ لِلصَّلٰوةِ مِنْ يَّوْمِ الْجُمُعَةِ فَاسْعَوْا اِلٰى ذِكْرِ اللّٰهِ﴾¦ ©۲۵®: ’’جب جمعہ کے دن نماز کیلئے پکارا جائے تو ذکر الٰہی کی طرف جلدی سے بڑھو‘‘۔,
44,1,1,44.0,1,,اس میں حرام کردہ چیزوں کی تفریق بھی قائم کی گئی ہے،جیسے گناہوں کا صغیرہ و کبیرہ ہونا۔ صغیرہ جیسے: §﴿قُلْ لِّـلْمُؤْمِنِيْنَ يَغُـضُّوْا مِنْ اَبْصَارِهِمْ﴾¦©۲۶®: ’’ایمان والوں سے کہو کہ وہ اپنی آنکھیں نیچی رکھیں‘‘۔ اور کبیرہ جیسے: §﴿وَمَنْ يَّقْتُلْ مُؤْمِنًا مُّتَعَمِّدًا فَجَزَآؤُهٗ جَهَـنَّمُ خَالِدًا فِيْهَا﴾¦©۲۷®: ’’جو شخص کسی مومن کو جان بوجھ کر مار ڈالے اس کی سزا دوزخ ہے جس میں وہ ہمیشہ رہے گا‘‘۔,
45,1,1,45.0,1,e۲,اس میں ان اعمال کا بھی ذکر ہے جنہیں تھوڑا سا بجا لانا بھی کفایت کرتا ہے اور زیادہ سے زیادہ بجا لانے کی بھی گنجائش ہے. جیسے: §﴿فَاقْرَءُوْا مَا تَيَسَّرَ مِنَ الْقُرْاٰنِ﴾¦©۲۸®: ’’جتنا بآسانی قرآن پڑھ سکو اتنا پڑھ لیا کرو‘‘۔,
47,1,1,47.0,10,۰,خطبہ ۱:,
48,1,1,48.0,10,۱,سورۂ ابراہیم، آیت ۱۰۔,
49,1,1,49.0,10,۲,سورۂ انبیاء، آیت ۲۲۔,
50,1,1,50.0,10,۳,سورۂ اخلاص، آیت ۱-۴۔,
51,1,1,51.0,10,۴,سورۂ انعام، آیت ۱۰۳۔,
52,1,1,52.0,10,۵, سورۂ نحل، آیت  ۷۴۔,
53,1,1,53.0,10,۶,سورۂ شوریٰ آیت، ۱۱۔,
54,1,1,54.0,10,۷,سورۂ بقرہ، آیت ۲۷۵۔,
55,1,1,55.0,10,۸,سورۂ نساء، آیت ۱۰۳۔,
56,1,1,56.0,10,۹,سورۂ بقرہ، آیت ۲۳۴۔ ,
57,1,1,57.0,10,۱۰,سورۂ بقرہ، آیت ۱۷۳۔,
58,1,1,58.0,10,۱۱,سورۂ کہف، آیت ۱۱۰۔,
59,1,1,59.0,10,۱۲,سورۂ بقرہ، آیت ۱۲۲۔,
60,1,1,60.0,10,۱۳,سورۂ نور، آیت ۳۵۔,
